id,name,forme_name,forme_base_pokemon_id,evolution_chain_id,evolution_parent_pokemon_id,evolution_method_id,evolution_parameter,height,weight,species,color,habitat,gender_rate,capture_rate,base_experience,base_happiness,gen1_internal_id,is_baby,has_dp_fem_sprite,has_dp_fem_back_sprite
22,Fearow,,,8,21,1,20,12,380,Beak,brown,rough terrain,4,90,162,70,35,0,0,0
23,Ekans,,,9,,,,20,69,Snake,purple,grassland,4,255,62,70,108,0,0,0
24,Arbok,,,9,23,1,22,35,650,Cobra,purple,grassland,4,90,147,70,45,0,0,0
25,Pikachu,,,10,172,12,,4,60,Mouse,yellow,forest,4,190,82,70,84,0,0,0
26,Raichu,,,10,25,6,Thunderstone,8,300,Mouse,yellow,forest,4,75,122,70,85,0,1,0
27,Sandshrew,,,11,,,,6,120,Mouse,yellow,rough terrain,4,255,93,70,96,0,0,0
28,Sandslash,,,11,27,1,22,10,295,Mouse,yellow,rough terrain,4,90,163,70,97,0,0,0
29,Nidoran♀,,,12,,,,4,70,Poison Pin,blue,grassland,8,235,59,70,15,0,0,0
30,Nidorina,,,12,29,1,16,8,200,Poison Pin,blue,grassland,8,120,117,70,168,0,0,0
31,Nidoqueen,,,12,30,6,Moon Stone,13,600,Drill,blue,grassland,8,45,194,70,16,0,0,0
32,Nidoran♂,,,13,,,,5,90,Poison Pin,purple,grassland,0,235,60,70,3,0,0,0
33,Nidorino,,,13,32,1,16,9,195,Poison Pin,purple,grassland,0,120,118,70,167,0,0,0
34,Nidoking,,,13,33,6,Moon Stone,14,620,Drill,purple,grassland,0,45,195,70,7,0,0,0
35,Clefairy,,,14,173,12,,6,75,Fairy,pink,mountain,6,150,68,140,4,0,0,0
36,Clefable,,,14,35,6,Moon Stone,13,400,Fairy,pink,mountain,6,25,129,140,142,0,0,0
37,Vulpix,,,15,,,,6,99,Fox,brown,grassland,6,190,63,70,82,0,0,0
38,Ninetales,,,15,37,6,Fire Stone,11,199,Fox,yellow,grassland,6,75,178,70,83,0,0,0
39,Jigglypuff,,,16,174,12,,5,55,Balloon,pink,grassland,6,170,76,70,100,0,0,0
40,Wigglytuff,,,16,39,6,Moon Stone,10,120,Balloon,pink,grassland,6,50,109,70,101,0,0,0
41,Zubat,,,17,,,,8,75,Bat,purple,cave,4,255,54,70,107,0,0,0
42,Golbat,,,17,41,1,22,16,550,Bat,purple,cave,4,90,171,70,130,0,0,0
43,Oddish,,,18,,,,5,54,Weed,blue,grassland,4,255,78,70,185,0,0,0
44,Gloom,,,18,43,1,21,8,86,Weed,blue,grassland,4,120,132,70,186,0,0,0
45,Vileplume,,,18,44,6,Leaf Stone,12,186,Flower,red,grassland,4,45,184,70,187,0,0,0
46,Paras,,,19,,,,3,54,Mushroom,red,forest,4,190,70,70,109,0,0,0
47,Parasect,,,19,46,1,24,10,295,Mushroom,red,forest,4,75,128,70,46,0,0,0
48,Venonat,,,20,,,,10,300,Insect,purple,forest,4,190,75,70,65,0,0,0
49,Venomoth,,,20,48,1,31,15,125,Poison Moth,purple,forest,4,75,138,70,119,0,0,0
50,Diglett,,,21,,,,2,8,Mole,brown,cave,4,255,81,70,59,0,0,0
51,Dugtrio,,,21,50,1,26,7,333,Mole,brown,cave,4,50,153,70,118,0,0,0
52,Meowth,,,22,,,,4,42,Scratch Cat,yellow,urban,4,255,69,70,77,0,0,0
53,Persian,,,22,52,1,28,10,320,Classy Cat,yellow,urban,4,90,148,70,144,0,0,0
54,Psyduck,,,23,,,,8,196,Duck,yellow,water's edge,4,190,80,70,47,0,0,0
55,Golduck,,,23,54,1,33,17,766,Duck,blue,water's edge,4,75,174,70,128,0,0,0
56,Mankey,,,24,,,,5,280,Pig Monkey,brown,mountain,4,190,74,70,57,0,0,0
57,Primeape,,,24,56,1,28,10,320,Pig Monkey,brown,mountain,4,75,149,70,117,0,0,0
58,Growlithe,,,25,,,,7,190,Puppy,brown,grassland,2,190,91,70,33,0,0,0
59,Arcanine,,,25,58,6,Fire Stone,19,1550,Legendary,brown,grassland,2,75,213,70,20,0,0,0
60,Poliwag,,,26,,,,6,124,Tadpole,blue,water's edge,4,255,77,70,71,0,0,0
61,Poliwhirl,,,26,60,1,25,10,200,Tadpole,blue,water's edge,4,120,131,70,110,0,0,0
62,Poliwrath,,,26,61,6,Water Stone,13,540,Tadpole,blue,water's edge,4,45,185,70,111,0,0,0
63,Abra,,,27,,,,9,195,Psi,brown,urban,2,200,75,70,148,0,0,0
64,Kadabra,,,27,63,1,16,13,565,Psi,brown,urban,2,100,145,70,38,0,0,0
65,Alakazam,,,27,64,5,,15,480,Psi,brown,urban,2,50,186,70,149,0,0,0
66,Machop,,,28,,,,8,195,Superpower,gray,mountain,2,180,75,70,106,0,0,0
67,Machoke,,,28,66,1,28,15,705,Superpower,gray,mountain,2,90,146,70,41,0,0,0
68,Machamp,,,28,67,5,,16,1300,Superpower,gray,mountain,2,45,193,70,126,0,0,0
69,Bellsprout,,,29,,,,7,40,Flower,green,forest,4,255,84,70,188,0,0,0
70,Weepinbell,,,29,69,1,21,10,64,Flycatcher,green,forest,4,120,151,70,189,0,0,0
71,Victreebel,,,29,70,6,Leaf Stone,17,155,Flycatcher,green,forest,4,45,191,70,190,0,0,0
72,Tentacool,,,30,,,,9,455,Jellyfish,blue,sea,4,190,105,70,24,0,0,0
73,Tentacruel,,,30,72,1,30,16,550,Jellyfish,blue,sea,4,60,205,70,155,0,0,0
74,Geodude,,,31,,,,4,200,Rock,brown,mountain,4,255,73,70,169,0,0,0
75,Graveler,,,31,74,1,25,10,1050,Rock,brown,mountain,4,120,134,70,39,0,0,0
76,Golem,,,31,75,5,,14,3000,Megaton,brown,mountain,4,45,177,70,49,0,0,0
77,Ponyta,,,32,,,,10,300,Fire Horse,yellow,grassland,4,190,152,70,163,0,0,0
78,Rapidash,,,32,77,1,40,17,950,Fire Horse,yellow,grassland,4,60,192,70,164,0,0,0
79,Slowpoke,,,33,,,,12,360,Dopey,pink,water's edge,4,190,99,70,37,0,0,0
80,Slowbro,,,33,79,1,37,16,785,Hermit Crab,pink,water's edge,4,75,164,70,8,0,0,0
81,Magnemite,,,34,,,,3,60,Magnet,gray,rough terrain,-1,190,89,70,173,0,0,0
82,Magneton,,,34,81,1,30,10,600,Magnet,gray,rough terrain,-1,60,161,70,54,0,0,0
83,Farfetch'd,,,35,,,,8,150,Wild Duck,brown,grassland,4,45,94,70,64,0,0,0
84,Doduo,,,36,,,,14,392,Twin Bird,brown,grassland,4,190,96,70,70,0,0,0
85,Dodrio,,,36,84,1,31,18,852,Triple Bird,brown,grassland,4,45,158,70,116,0,0,0
86,Seel,,,37,,,,11,900,Sea Lion,white,sea,4,190,100,70,58,0,0,0
87,Dewgong,,,37,86,1,34,17,1200,Sea Lion,white,sea,4,75,176,70,120,0,0,0
88,Grimer,,,38,,,,9,300,Sludge,purple,urban,4,190,90,70,13,0,0,0
89,Muk,,,38,88,1,38,12,300,Sludge,purple,urban,4,75,157,70,136,0,0,0
90,Shellder,,,39,,,,3,40,Bivalve,purple,sea,4,190,97,70,23,0,0,0
91,Cloyster,,,39,90,6,Water Stone,15,1325,Bivalve,purple,sea,4,60,203,70,139,0,0,0
92,Gastly,,,40,,,,13,1,Gas,purple,cave,4,190,95,70,25,0,0,0
93,Haunter,,,40,92,1,25,16,1,Gas,purple,cave,4,90,126,70,147,0,0,0
94,Gengar,,,40,93,5,,15,405,Shadow,purple,cave,4,45,190,70,14,0,0,0
95,Onix,,,41,,,,88,2100,Rock Snake,gray,cave,4,45,108,70,34,0,0,0
96,Drowzee,,,42,,,,10,324,Hypnosis,yellow,grassland,4,190,102,70,48,0,0,0
97,Hypno,,,42,96,1,26,16,756,Hypnosis,yellow,grassland,4,75,165,70,129,0,0,0
98,Krabby,,,43,,,,4,65,River Crab,red,water's edge,4,225,115,70,78,0,0,0
99,Kingler,,,43,98,1,28,13,600,Pincer,red,water's edge,4,60,206,70,138,0,0,0
100,Voltorb,,,44,,,,5,104,Ball,red,urban,-1,190,103,70,6,0,0,0
101,Electrode,,,44,100,1,30,12,666,Ball,red,urban,-1,60,150,70,141,0,0,0
102,Exeggcute,,,45,,,,4,25,Egg,pink,forest,4,90,98,70,12,0,0,0
103,Exeggutor,,,45,102,6,Leaf Stone,20,1200,Coconut,yellow,forest,4,45,212,70,10,0,0,0
104,Cubone,,,46,,,,4,65,Lonely,brown,mountain,4,190,87,70,17,0,0,0
105,Marowak,,,46,104,1,28,10,450,Bone Keeper,brown,mountain,4,75,124,70,145,0,0,0
106,Hitmonlee,,,47,236,17,20,15,498,Kicking,brown,urban,0,45,139,70,43,0,0,0
107,Hitmonchan,,,47,236,18,20,14,502,Punching,brown,urban,0,45,140,70,44,0,0,0
108,Lickitung,,,48,,,,12,655,Licking,pink,grassland,4,45,127,70,11,0,0,0
109,Koffing,,,49,,,,6,10,Poison Gas,purple,urban,4,190,114,70,55,0,0,0
110,Weezing,,,49,109,1,35,12,95,Poison Gas,purple,urban,4,60,173,70,143,0,0,0
111,Rhyhorn,,,50,,,,10,1150,Spikes,gray,rough terrain,4,120,135,70,1,0,0,0
112,Rhydon,,,50,111,1,42,19,1200,Drill,gray,rough terrain,4,60,204,70,18,0,0,0
113,Chansey,,,51,440,9,Oval Stone,11,346,Egg,pink,urban,8,30,255,140,40,0,0,0
114,Tangela,,,52,,,,10,350,Vine,blue,grassland,4,45,166,70,30,0,0,0
115,Kangaskhan,,,53,,,,22,800,Parent,brown,grassland,8,45,175,70,2,0,0,0
116,Horsea,,,54,,,,4,80,Dragon,blue,sea,4,225,83,70,92,0,0,0
117,Seadra,,,54,116,1,32,12,250,Dragon,blue,sea,4,75,155,70,93,0,0,0
118,Goldeen,,,55,,,,6,150,Goldfish,red,water's edge,4,225,111,70,157,0,0,0
119,Seaking,,,55,118,1,33,13,390,Goldfish,red,water's edge,4,60,170,70,158,0,0,0
120,Staryu,,,56,,,,8,345,Star Shape,brown,sea,-1,225,106,70,27,0,0,0
121,Starmie,,,56,120,6,Water Stone,11,800,Mysterious,purple,sea,-1,60,207,70,152,0,0,0
122,Mr. Mime,,,57,439,11,102,13,545,Barrier,pink,urban,4,45,136,70,42,0,0,0
123,Scyther,,,58,,,,15,560,Mantis,green,grassland,4,45,187,70,26,0,1,0
124,Jynx,,,59,238,1,30,14,406,Human Shape,red,urban,8,45,137,70,72,0,0,0
125,Electabuzz,,,60,239,1,30,11,300,Electric,yellow,grassland,2,45,156,70,53,0,0,0
126,Magmar,,,61,240,1,30,13,445,Spitfire,red,mountain,2,45,167,70,51,0,0,0
127,Pinsir,,,62,,,,15,550,Stag Beetle,brown,forest,4,45,200,70,29,0,0,0
128,Tauros,,,63,,,,14,884,Wild Bull,brown,grassland,0,45,211,70,60,0,0,0
129,Magikarp,,,64,,,,9,100,Fish,red,water's edge,4,255,20,70,133,0,0,0
130,Gyarados,,,64,129,1,20,65,2350,Atrocious,blue,water's edge,4,45,214,70,22,0,0,0
131,Lapras,,,65,,,,25,2200,Transport,blue,sea,4,45,219,70,19,0,0,0
132,Ditto,,,66,,,,3,40,Transform,purple,urban,-1,35,61,70,76,0,0,0
133,Eevee,,,67,,,,3,65,Evolution,brown,urban,1,45,92,70,102,0,0,0
134,Vaporeon,,,67,133,6,Water Stone,10,290,Bubble Jet,blue,urban,1,45,196,70,105,0,0,0
135,Jolteon,,,67,133,6,Thunderstone,8,245,Lightning,yellow,urban,1,45,197,70,104,0,0,0
136,Flareon,,,67,133,6,Fire Stone,9,250,Flame,red,urban,1,45,198,70,103,0,0,0
137,Porygon,,,68,,,,8,365,Virtual,pink,urban,-1,45,130,70,170,0,0,0
138,Omanyte,,,69,,,,4,75,Spiral,blue,sea,1,45,99,70,98,0,0,0
139,Omastar,,,69,138,1,40,10,350,Spiral,blue,sea,1,45,199,70,99,0,0,0
140,Kabuto,,,70,,,,5,115,Shellfish,brown,sea,1,45,99,70,90,0,0,0
141,Kabutops,,,70,140,1,40,13,405,Shellfish,brown,sea,1,45,199,70,91,0,0,0
142,Aerodactyl,,,71,,,,18,590,Fossil,purple,mountain,1,45,202,70,171,0,0,0
143,Snorlax,,,72,446,12,,21,4600,Sleeping,black,mountain,1,25,154,70,132,0,0,0
144,Articuno,,,73,,,,17,554,Freeze,blue,rare,-1,3,215,35,74,0,0,0
145,Zapdos,,,74,,,,16,526,Electric,yellow,rare,-1,3,216,35,75,0,0,0
146,Moltres,,,75,,,,20,600,Flame,yellow,rare,-1,3,217,35,73,0,0,0
147,Dratini,,,76,,,,18,33,Dragon,blue,water's edge,4,45,67,35,88,0,0,0
148,Dragonair,,,76,147,1,30,40,165,Dragon,blue,water's edge,4,45,144,35,89,0,0,0
149,Dragonite,,,76,148,1,55,22,2100,Dragon,brown,water's edge,4,45,218,35,66,0,0,0
150,Mewtwo,,,77,,,,20,1220,Genetic,purple,rare,-1,3,220,0,131,0,0,0
151,Mew,,,78,,,,4,40,New Species,pink,rare,-1,45,64,100,21,0,0,0
152,Chikorita,,,79,,,,9,64,Leaf,green,grassland,1,45,64,70,,0,0,0
153,Bayleef,,,79,152,1,16,12,158,Leaf,green,grassland,1,45,141,70,,0,0,0
154,Meganium,,,79,153,1,32,18,1005,Herb,green,grassland,1,45,208,70,,0,0,0
155,Cyndaquil,,,80,,,,5,79,Fire Mouse,yellow,grassland,1,45,65,70,,0,0,0
156,Quilava,,,80,155,1,14,9,190,Volcano,yellow,grassland,1,45,142,70,,0,0,0
157,Typhlosion,,,80,156,1,36,17,795,Volcano,yellow,grassland,1,45,209,70,,0,0,0
158,Totodile,,,81,,,,6,95,Big Jaw,blue,water's edge,1,45,66,70,,0,0,0
159,Croconaw,,,81,158,1,18,11,250,Big Jaw,blue,water's edge,1,45,143,70,,0,0,0
160,Feraligatr,,,81,159,1,30,23,888,Big Jaw,blue,water's edge,1,45,210,70,,0,0,0
161,Sentret,,,82,,,,8,60,Scout,brown,grassland,4,255,57,70,,0,0,0
162,Furret,,,82,161,1,15,18,325,Long Body,brown,grassland,4,90,116,70,,0,0,0
163,Hoothoot,,,83,,,,7,212,Owl,brown,forest,4,255,58,70,,0,0,0
164,Noctowl,,,83,163,1,20,16,408,Owl,brown,forest,4,90,162,70,,0,0,0
165,Ledyba,,,84,,,,10,108,Five Star,red,forest,4,255,54,70,,0,0,0
166,Ledian,,,84,165,1,18,14,356,Five Star,red,forest,4,90,134,70,,0,0,0
167,Spinarak,,,85,,,,5,85,String Spit,green,forest,4,255,54,70,,0,0,0
168,Ariados,,,85,167,1,22,11,335,Long Leg,red,forest,4,90,134,70,,0,0,0
169,Crobat,,,17,42,12,,18,750,Bat,purple,cave,4,90,204,70,,0,0,0
170,Chinchou,,,86,,,,5,120,Angler,blue,sea,4,190,90,70,,0,0,0
171,Lanturn,,,86,170,1,27,12,225,Light,blue,sea,4,75,156,70,,0,0,0
172,Pichu,,,10,,,,3,20,Tiny Mouse,yellow,forest,4,190,42,70,,1,0,0
173,Cleffa,,,14,,,,3,30,Star Shape,pink,mountain,6,150,37,140,,1,0,0
174,Igglybuff,,,16,,,,3,10,Balloon,pink,grassland,6,170,39,70,,1,0,0
175,Togepi,,,87,,,,3,15,Spike Ball,white,forest,1,190,74,70,,0,0,0
176,Togetic,,,87,175,12,,6,32,Happiness,white,forest,1,75,114,70,,0,0,0
177,Natu,,,88,,,,2,20,Tiny Bird,green,forest,4,190,73,70,,0,0,0
178,Xatu,,,88,177,1,25,15,150,Mystic,green,forest,4,75,171,70,,0,0,0
179,Mareep,,,89,,,,6,78,Wool,white,grassland,4,235,59,70,,0,0,0
180,Flaaffy,,,89,179,1,15,8,133,Wool,pink,grassland,4,120,117,70,,0,0,0
181,Ampharos,,,89,180,1,30,14,615,Light,yellow,grassland,4,45,194,70,,0,0,0
182,Bellossom,,,18,44,6,Sun Stone,4,58,Flower,green,grassland,4,45,184,70,,0,0,0
183,Marill,,,90,298,12,,4,85,Aqua Mouse,blue,water's edge,4,190,58,70,,0,0,0
184,Azumarill,,,90,183,1,18,8,285,Aqua Rabbit,blue,water's edge,4,75,153,70,,0,0,0
185,Sudowoodo,,,91,438,11,102,12,380,Imitation,brown,forest,4,65,135,70,,0,0,0
186,Politoed,,,26,61,5,King's Rock,11,339,Frog,green,water's edge,4,45,185,70,,0,0,0
187,Hoppip,,,92,,,,4,5,Cottonweed,pink,grassland,4,255,74,70,,0,0,0
188,Skiploom,,,92,187,1,18,6,10,Cottonweed,green,grassland,4,120,136,70,,0,0,0
189,Jumpluff,,,92,188,1,27,8,30,Cottonweed,blue,grassland,4,45,176,70,,0,0,0
190,Aipom,,,93,,,,8,115,Long Tail,purple,forest,4,45,94,70,,0,0,0
191,Sunkern,,,94,,,,3,18,Seed,yellow,grassland,4,235,52,70,,0,0,0
192,Sunflora,,,94,191,6,Sun Stone,8,85,Sun,yellow,grassland,4,120,146,70,,0,0,0
193,Yanma,,,95,,,,12,380,Clear Wing,red,forest,4,75,147,70,,0,0,0
194,Wooper,,,96,,,,4,85,Water Fish,blue,water's edge,4,255,52,70,,0,0,0
195,Quagsire,,,96,194,1,20,14,750,Water Fish,blue,water's edge,4,90,137,70,,0,0,0
196,Espeon,,,67,133,13,Sun Shard,9,265,Sun,purple,urban,1,45,197,70,,0,0,0
197,Umbreon,,,67,133,14,Moon Shard,10,270,Moonlight,black,urban,1,45,197,35,,0,0,0
198,Murkrow,,,97,,,,5,21,Darkness,black,forest,4,30,107,35,,0,0,0
199,Slowking,,,33,79,5,King's Rock,20,795,Royal,pink,water's edge,4,70,164,70,,0,0,0
200,Misdreavus,,,98,,,,7,10,Screech,gray,cave,4,45,147,35,,0,0,0
201,Unown,,,99,,,,5,50,Symbol,black,rare,-1,225,61,70,,0,0,0
202,Wobbuffet,,,100,360,1,15,13,285,Patient,blue,cave,4,45,177,70,,0,0,0
203,Girafarig,,,101,,,,15,415,Long Neck,yellow,grassland,4,60,149,70,,0,0,0
204,Pineco,,,102,,,,6,72,Bagworm,gray,forest,4,190,60,70,,0,0,0
205,Forretress,,,102,204,1,31,12,1258,Bagworm,purple,forest,4,75,118,70,,0,0,0
206,Dunsparce,,,103,,,,15,140,Land Snake,yellow,cave,4,190,125,70,,0,0,0
207,Gligar,,,104,,,,11,648,FlyScorpion,purple,mountain,4,60,108,70,,0,1,0
208,Steelix,,,41,95,5,Metal Coat,92,4000,Iron Snake,gray,cave,4,25,196,70,,0,0,0
209,Snubbull,,,105,,,,6,78,Fairy,pink,urban,6,190,63,70,,0,0,0
210,Granbull,,,105,209,1,23,14,487,Fairy,purple,urban,6,75,178,70,,0,0,0
211,Qwilfish,,,106,,,,5,39,Balloon,gray,sea,4,45,100,70,,0,0,0
212,Scizor,,,58,123,5,Metal Coat,18,1180,Pincer,red,grassland,4,25,200,70,,0,1,0
213,Shuckle,,,107,,,,6,205,Mold,yellow,mountain,4,190,80,70,,0,0,0
214,Heracross,,,108,,,,15,540,Single Horn,blue,forest,4,45,200,70,,0,0,0
215,Sneasel,,,109,,,,9,280,Sharp Claw,black,forest,4,60,132,35,,0,0,0
216,Teddiursa,,,110,,,,6,88,Little Bear,brown,mountain,4,120,124,70,,0,0,0
217,Ursaring,,,110,216,1,30,18,1258,Hibernator,brown,mountain,4,60,189,70,,0,0,0
218,Slugma,,,111,,,,7,350,Lava,red,mountain,4,190,78,70,,0,0,0
219,Magcargo,,,111,218,1,38,8,550,Lava,red,mountain,4,75,154,70,,0,0,0
220,Swinub,,,112,,,,4,65,Pig,brown,cave,4,225,78,70,,0,0,0
221,Piloswine,,,112,220,1,33,11,558,Swine,brown,cave,4,75,160,70,,0,0,0
222,Corsola,,,113,,,,6,50,Coral,pink,sea,6,60,113,70,,0,0,0
223,Remoraid,,,114,,,,6,120,Jet,gray,sea,4,190,78,70,,0,0,0
224,Octillery,,,114,223,1,25,9,285,Jet,red,sea,4,75,164,70,,0,0,0
225,Delibird,,,115,,,,9,160,Delivery,red,mountain,4,45,183,70,,0,0,0
226,Mantine,,,116,458,20,223,21,2200,Kite,purple,sea,4,25,168,70,,0,0,0
227,Skarmory,,,117,,,,17,505,Armor Bird,gray,rough terrain,4,25,168,70,,0,0,0
228,Houndour,,,118,,,,6,108,Dark,black,rough terrain,4,120,114,35,,0,0,0
229,Houndoom,,,118,228,1,24,14,350,Dark,black,rough terrain,4,45,204,35,,0,0,0
230,Kingdra,,,54,117,5,Dragon Scale,18,1520,Dragon,blue,sea,4,45,207,70,,0,0,0
231,Phanpy,,,119,,,,5,335,Long Nose,blue,rough terrain,4,120,124,70,,0,0,0
232,Donphan,,,119,231,1,25,11,1200,Armor,gray,rough terrain,4,60,189,70,,0,0,0
233,Porygon2,,,68,137,5,Up-Grade,6,325,Virtual,red,urban,-1,45,180,70,,0,0,0
234,Stantler,,,120,,,,14,712,Big Horn,brown,forest,4,45,165,70,,0,0,0
235,Smeargle,,,121,,,,12,580,Painter,white,urban,4,45,106,70,,0,0,0
236,Tyrogue,,,47,,,,7,210,Scuffle,purple,urban,0,75,91,70,,1,0,0
237,Hitmontop,,,47,236,19,20,14,480,Handstand,brown,urban,0,45,138,70,,0,0,0
238,Smoochum,,,59,,,,4,60,Kiss,pink,urban,8,45,87,70,,1,0,0
239,Elekid,,,60,,,,6,235,Electric,yellow,grassland,2,45,106,70,,1,0,0
240,Magby,,,61,,,,7,214,Live Coal,red,mountain,2,45,117,70,,1,0,0
241,Miltank,,,122,,,,12,755,Milk Cow,pink,grassland,8,45,200,70,,0,0,0
242,Blissey,,,51,113,12,,15,468,Happiness,pink,urban,8,30,255,140,,0,0,0
243,Raikou,,,123,,,,19,1780,Thunder,yellow,grassland,-1,3,216,35,,0,0,0
244,Entei,,,124,,,,21,1980,Volcano,brown,grassland,-1,3,217,35,,0,0,0
245,Suicune,,,125,,,,20,1870,Aurora,blue,grassland,-1,3,215,35,,0,0,0
246,Larvitar,,,126,,,,6,720,Rock Skin,green,mountain,4,45,67,35,,0,0,0
247,Pupitar,,,126,246,1,30,12,1520,Hard Shell,gray,mountain,4,45,144,35,,0,0,0
248,Tyranitar,,,126,247,1,55,20,2020,Armor,green,mountain,4,45,218,35,,0,0,0
249,Lugia,,,127,,,,52,2160,Diving,white,rare,-1,3,220,0,,0,0,0
250,Ho-oh,,,128,,,,38,1990,Rainbow,red,rare,-1,3,220,0,,0,0,0
251,Celebi,,,129,,,,6,50,Time Travel,green,forest,-1,45,64,100,,0,0,0
252,Treecko,,,130,,,,5,50,Wood Gecko,green,forest,1,45,65,70,,0,0,0
253,Grovyle,,,130,252,1,16,9,216,Wood Gecko,green,forest,1,45,141,70,,0,0,0
254,Sceptile,,,130,253,1,36,17,522,Forest,green,forest,1,45,208,70,,0,0,0
255,Torchic,,,131,,,,4,25,Chick,red,grassland,1,45,65,70,,0,0,1
256,Combusken,,,131,255,1,16,9,195,Young Fowl,red,grassland,1,45,142,70,,0,0,0
257,Blaziken,,,131,256,1,36,19,520,Blaze,red,grassland,1,45,209,70,,0,0,0
258,Mudkip,,,132,,,,4,76,Mud Fish,blue,water's edge,1,45,65,70,,0,0,0
259,Marshtomp,,,132,258,1,16,7,280,Mud Fish,blue,water's edge,1,45,143,70,,0,0,0
260,Swampert,,,132,259,1,36,15,819,Mud Fish,blue,water's edge,1,45,210,70,,0,0,0
261,Poochyena,,,133,,,,5,136,Bite,gray,grassland,4,255,55,70,,0,0,0
262,Mightyena,,,133,261,1,18,10,370,Bite,gray,grassland,4,127,128,70,,0,0,0
263,Zigzagoon,,,134,,,,4,175,TinyRaccoon,brown,grassland,4,255,60,70,,0,0,0
264,Linoone,,,134,263,1,20,5,325,Rushing,white,grassland,4,90,128,70,,0,0,0
265,Wurmple,,,135,,,,3,36,Worm,red,forest,4,255,54,70,,0,0,0
266,Silcoon,,,135,265,1,7,6,100,Cocoon,white,forest,4,120,72,70,,0,0,0
267,Beautifly,,,135,266,1,10,10,284,Butterfly,yellow,forest,4,45,161,70,,0,0,0
268,Cascoon,,,135,265,1,7,7,115,Cocoon,purple,forest,4,120,72,70,,0,0,0
269,Dustox,,,135,268,1,10,12,316,Poison Moth,green,forest,4,45,161,70,,0,0,0
270,Lotad,,,136,,,,5,26,Water Weed,green,water's edge,4,255,74,70,,0,0,0
271,Lombre,,,136,270,1,14,12,325,Jolly,green,water's edge,4,120,141,70,,0,0,0
272,Ludicolo,,,136,271,6,Water Stone,15,550,Carefree,green,water's edge,4,45,181,70,,0,0,0
273,Seedot,,,137,,,,5,40,Acorn,brown,forest,4,255,74,70,,0,0,0
274,Nuzleaf,,,137,273,1,14,10,280,Wily,brown,forest,4,120,141,70,,0,0,0
275,Shiftry,,,137,274,6,Leaf Stone,13,596,Wicked,brown,forest,4,45,181,70,,0,0,0
276,Taillow,,,138,,,,3,23,TinySwallow,blue,grassland,4,200,59,70,,0,0,0
277,Swellow,,,138,276,1,22,7,198,Swallow,blue,grassland,4,45,162,70,,0,0,0
278,Wingull,,,139,,,,6,95,Seagull,white,sea,4,190,64,70,,0,0,0
279,Pelipper,,,139,278,1,25,12,280,Water Bird,yellow,sea,4,45,164,70,,0,0,0
280,Ralts,,,140,,,,4,66,Feeling,white,urban,4,235,70,35,,0,0,0
281,Kirlia,,,140,280,1,20,8,202,Emotion,white,urban,4,120,140,35,,0,0,0
282,Gardevoir,,,140,281,1,30,16,484,Embrace,white,urban,4,45,208,35,,0,0,0
283,Surskit,,,141,,,,5,17,Pond Skater,blue,water's edge,4,200,63,70,,0,0,0
