id,priority,short_effect,effect
245,0,User swaps Defense and Special Defense with the target.,User swaps Defense and Special Defense with the target.
246,0,Inflicts more damage to targets with more positive stat changes.,"Power increases by 20 for every level each of the target's stats (excluding Accuracy and Evasion) is raised in total, up to a maximum of 200.  Stat drops have no effect."
247,0,Can only be used after all of the user's other moves have been used.,Can only be used after all of the user's other moves have been used at least once since it entered battle.
248,0,Changes the target's ability to Insomnia.,Changes the target's ability to Insomnia.
249,1,Only works if the target uses a damaging move this turn.,Only works if the target uses a damaging move this turn.
250,0,"Scatters poisoned Spikes, poisoning opposing Pokemon that switch in.","Scatters poisoned Spikes around the opposing field, which will poison Pokemon that switch in.  Flying, Poison, and Steel Pokemon and Pokemon with Levitate are immune to this effect.  A second layer of poisoned Spikes will inflict Toxic poisoning instead."
251,0,User and target swap stat changes.,User and target swap stat changes.
252,0,Restores 1/16 of the user's max HP every turn.,Restores 1/16 of the user's max HP every turn as long as it remains in battle.
253,0,Changes the user's ability to Levitate.,Changes the user's ability to Levitate.
254,0,User receives 1/3 the damage inflicted in recoil.  Has a chance to Burn the target.,User receives 1/3 the damage inflicted in recoil.  Has a chance to Burn the target.
255,0,Inflicts typeless damage.  User receives 1/4 its max HP in recoil.,Inflicts typeless damage.  User receives 1/4 its max HP in recoil.
256,0,"User dives underwater, dodging all attacks, and hits next turn.",User dives underwater for one turn and becomes immune to all moves except Surf and Whirlpool and takes no damage from Sandstorm or Hail; damage is inflicted on the second turn.
257,0,"User digs underground, dodging all attacks, and hits next turn.","User digs a hole for one turn and becomes immune to all moves except Earthquake, Magnitude, and Fissure; damage is inflicted on the second turn."
258,0,Inflicts regular damage.,Inflicts double damage against Pokemon using Dive.
259,0,Lowers the target's Evade.  Cancels the effects of Reflect and Light Screen.,Lowers the target's Evade.  Cancels the effects of Reflect and Light Screen.
260,-7,"For five turns, slower Pokemon will act before faster Pokemon.","For five turns, slower Pokemon will act before faster Pokemon."
261,0,Has a chance to Freeze the target. Chance to hit becomes 100% during Hail.,Has a chance to Freeze the target. Chance to hit becomes 100% during Hail.
262,0,Prevents the target from leaving battle and inflicts 1/16 its max HP in damage for 2-5 turns.,Prevents the target from leaving battle and inflicts 1/16 its max HP in damage for 2-5 turns.
263,0,User receives 1/3 the damage inflicted in recoil.  Has a chance to Paralyze the target.,User receives 1/3 the damage inflicted in recoil.  Has a chance to Paralyze the target.
264,0,"User bounces high into the air, dodging all attacks, and hits next turn.","User bounces high into the air for one turn and becomes immune to all moves except Gust, Thunder, Twister, and Whirlwind; damage is inflicted on the second turn.  Has a chance to Paralyze the target."
266,0,Lowers the target's Special Attack by two levels if it is the opposite gender.,Lowers the target's Special Attack by two levels.  Only works if the user has a gender and the target has the opposite gender.
267,0,Causes damage when Pokemon switch in to where the target is now.,Causes damage when Pokemon switch in to where the target is now.
268,0,Target becomes Confused.,Confuses the target and inflicts damage using words the user has learned.
269,0,"If the user is holding a plate, the damage inflicted will match it.","If the user is holding a plate, the damage inflicted will match it."
270,0,User receives 1/2 the damage inflicted in recoil.,User receives 1/2 the damage inflicted in recoil.
271,0,"User faints, and its replacement's HP is completely restored.","User faints, and its replacement's HP is completely restored."
272,0,Lowers the target's Special Defense.,Lowers the target's Special Defense.
273,0,"User vanishes, dodging all attacks, and hits next turn.  Works against Protect and Detect.",User vanishes the first turn and becomes immune to all moves; damage is inflicted on the second turn.  Protect and Detect do not work against this move.
