pokemon_id,generation_id,pokedex_number
166,1,166
167,1,167
168,1,168
169,1,169
170,1,170
171,1,171
172,1,172
173,1,173
174,1,174
175,1,175
176,1,176
177,1,177
178,1,178
179,1,179
180,1,180
181,1,181
182,1,182
183,1,183
184,1,184
185,1,185
186,1,186
187,1,187
188,1,188
189,1,189
190,1,190
191,1,191
192,1,192
193,1,193
194,1,194
195,1,195
196,1,196
197,1,197
198,1,198
199,1,199
200,1,200
201,1,201
202,1,202
203,1,203
204,1,204
205,1,205
206,1,206
207,1,207
208,1,208
209,1,209
210,1,210
211,1,211
212,1,212
213,1,213
214,1,214
215,1,215
216,1,216
217,1,217
218,1,218
219,1,219
220,1,220
221,1,221
222,1,222
223,1,223
224,1,224
225,1,225
226,1,226
227,1,227
228,1,228
229,1,229
230,1,230
231,1,231
232,1,232
233,1,233
234,1,234
235,1,235
236,1,236
237,1,237
238,1,238
239,1,239
240,1,240
241,1,241
242,1,242
243,1,243
244,1,244
245,1,245
246,1,246
247,1,247
248,1,248
249,1,249
250,1,250
251,1,251
252,1,252
253,1,253
254,1,254
255,1,255
256,1,256
257,1,257
258,1,258
259,1,259
260,1,260
261,1,261
262,1,262
263,1,263
264,1,264
265,1,265
266,1,266
267,1,267
268,1,268
269,1,269
270,1,270
271,1,271
272,1,272
273,1,273
274,1,274
275,1,275
276,1,276
277,1,277
278,1,278
279,1,279
280,1,280
281,1,281
282,1,282
283,1,283
284,1,284
285,1,285
286,1,286
287,1,287
288,1,288
289,1,289
290,1,290
291,1,291
292,1,292
293,1,293
294,1,294
295,1,295
296,1,296
297,1,297
298,1,298
299,1,299
300,1,300
301,1,301
302,1,302
303,1,303
304,1,304
305,1,305
306,1,306
307,1,307
308,1,308
309,1,309
310,1,310
311,1,311
312,1,312
313,1,313
314,1,314
315,1,315
316,1,316
317,1,317
318,1,318
319,1,319
320,1,320
321,1,321
322,1,322
323,1,323
324,1,324
325,1,325
326,1,326
327,1,327
328,1,328
329,1,329
330,1,330
331,1,331
332,1,332
333,1,333
334,1,334
335,1,335
336,1,336
337,1,337
338,1,338
339,1,339
340,1,340
341,1,341
342,1,342
343,1,343
344,1,344
345,1,345
346,1,346
347,1,347
348,1,348
349,1,349
350,1,350
351,1,351
352,1,352
353,1,353
354,1,354
355,1,355
356,1,356
357,1,357
358,1,358
359,1,359
360,1,360
361,1,361
362,1,362
363,1,363
364,1,364
365,1,365
366,1,366
367,1,367
368,1,368
369,1,369
370,1,370
371,1,371
372,1,372
373,1,373
374,1,374
375,1,375
376,1,376
377,1,377
378,1,378
379,1,379
380,1,380
381,1,381
382,1,382
383,1,383
384,1,384
385,1,385
386,1,386
387,1,387
388,1,388
389,1,389
390,1,390
391,1,391
392,1,392
393,1,393
394,1,394
395,1,395
396,1,396
397,1,397
398,1,398
399,1,399
400,1,400
401,1,401
402,1,402
403,1,403
404,1,404
405,1,405
406,1,406
407,1,407
408,1,408
409,1,409
410,1,410
411,1,411
412,1,412
413,1,413
414,1,414
415,1,415
416,1,416
417,1,417
418,1,418
419,1,419
420,1,420
421,1,421
422,1,422
423,1,423
424,1,424
425,1,425
426,1,426
427,1,427
428,1,428
429,1,429
430,1,430
431,1,431
432,1,432
433,1,433
434,1,434
435,1,435
436,1,436
437,1,437
438,1,438
439,1,439
440,1,440
441,1,441
442,1,442
443,1,443
444,1,444
445,1,445
446,1,446
447,1,447
448,1,448
449,1,449
450,1,450
451,1,451
452,1,452
453,1,453
454,1,454
455,1,455
456,1,456
457,1,457
458,1,458
459,1,459
460,1,460
461,1,461
462,1,462
463,1,463
464,1,464
465,1,465
466,1,466
467,1,467
468,1,468
469,1,469
470,1,470
471,1,471
472,1,472
473,1,473
474,1,474
475,1,475
476,1,476
477,1,477
478,1,478
479,1,479
480,1,480
481,1,481
482,1,482
483,1,483
484,1,484
485,1,485
486,1,486
487,1,487
488,1,488
489,1,489
490,1,490
491,1,491
492,1,492
493,1,493
1,2,226
2,2,227
3,2,228
4,2,229
5,2,230
6,2,231
7,2,232
8,2,233
9,2,234
10,2,24
11,2,25
12,2,26
13,2,27
14,2,28
15,2,29
16,2,10
17,2,11
18,2,12
19,2,17
20,2,18
21,2,13
22,2,14
23,2,50
24,2,51
25,2,22
26,2,23
27,2,48
28,2,49
29,2,95
30,2,96
31,2,97
32,2,98
33,2,99
34,2,100
35,2,41
36,2,42
37,2,125
38,2,126
39,2,44
40,2,45
41,2,37
42,2,38
43,2,83
44,2,84
45,2,85
46,2,70
47,2,71
48,2,108
49,2,109
50,2,132
51,2,133
52,2,136
53,2,137
54,2,138
55,2,139
56,2,134
57,2,135
58,2,127
59,2,128
60,2,72
61,2,73
62,2,74
63,2,89
64,2,90
65,2,91
66,2,140
67,2,141
68,2,142
69,2,64
70,2,65
71,2,66
72,2,162
73,2,163
74,2,34
75,2,35
76,2,36
77,2,201
78,2,202
79,2,80
80,2,81
81,2,118
82,2,119
83,2,158
84,2,199
85,2,200
86,2,176
87,2,177
88,2,116
89,2,117
90,2,169
91,2,170
92,2,58
93,2,59
94,2,60
95,2,62
96,2,87
97,2,88
98,2,164
99,2,165
100,2,120
101,2,121
102,2,104
103,2,105
104,2,203
105,2,204
106,2,144
107,2,145
108,2,178
109,2,114
110,2,115
111,2,206
112,2,207
113,2,217
114,2,179
115,2,205
116,2,186
117,2,187
118,2,78
119,2,79
120,2,167
121,2,168
122,2,156
123,2,110
124,2,153
125,2,155
126,2,151
127,2,112
128,2,148
129,2,76
130,2,77
131,2,219
132,2,92
133,2,180
134,2,181
135,2,182
136,2,183
137,2,215
138,2,220
139,2,221
140,2,222
141,2,223
142,2,224
143,2,225
144,2,235
145,2,236
146,2,237
147,2,241
148,2,242
149,2,243
150,2,249
151,2,250
152,2,1
153,2,2
154,2,3
155,2,4
156,2,5
157,2,6
158,2,7
159,2,8
160,2,9
161,2,19
162,2,20
163,2,15
164,2,16
165,2,30
166,2,31
167,2,32
168,2,33
169,2,39
170,2,174
171,2,175
172,2,21
173,2,40
174,2,43
175,2,46
176,2,47
177,2,159
178,2,160
179,2,53
180,2,54
181,2,55
182,2,86
183,2,130
184,2,131
185,2,106
186,2,75
187,2,67
188,2,68
189,2,69
190,2,122
191,2,102
192,2,103
193,2,101
194,2,56
195,2,57
196,2,184
197,2,185
198,2,208
199,2,82
200,2,214
201,2,61
202,2,107
203,2,147
204,2,93
205,2,94
206,2,52
207,2,189
208,2,63
209,2,123
210,2,124
211,2,161
212,2,111
213,2,166
214,2,113
215,2,213
216,2,193
217,2,194
218,2,211
219,2,212
220,2,191
221,2,192
222,2,171
223,2,172
224,2,173
225,2,190
226,2,197
227,2,198
228,2,209
229,2,210
230,2,188
231,2,195
232,2,196
233,2,216
234,2,129
235,2,157
236,2,143
237,2,146
238,2,152
239,2,154
240,2,150
241,2,149
242,2,218
243,2,238
244,2,239
245,2,240
246,2,244
247,2,245
248,2,246
249,2,247
250,2,248
251,2,251
25,3,156
26,3,157
27,3,112
28,3,113
37,3,153
38,3,154
39,3,138
40,3,139
41,3,63
42,3,64
43,3,88
44,3,89
45,3,90
54,3,158
55,3,159
63,3,39
64,3,40
65,3,41
66,3,73
67,3,74
68,3,75
72,3,66
73,3,67
74,3,57
75,3,58
76,3,59
81,3,82
82,3,83
84,3,92
85,3,93
88,3,106
89,3,107
100,3,84
101,3,85
109,3,108
110,3,109
111,3,169
112,3,170
116,3,184
117,3,185
118,3,50
119,3,51
120,3,143
121,3,144
127,3,167
129,3,52
130,3,53
169,3,65
170,3,181
171,3,182
172,3,155
174,3,137
177,3,162
178,3,163
182,3,91
183,3,55
184,3,56
202,3,161
203,3,164
214,3,168
218,3,103
219,3,104
222,3,180
227,3,115
230,3,186
231,3,165
232,3,166
252,3,1
253,3,2
254,3,3
255,3,4
256,3,5
257,3,6
258,3,7
259,3,8
260,3,9
261,3,10
262,3,11
263,3,12
264,3,13
265,3,14
266,3,15
267,3,16
268,3,17
269,3,18
270,3,19
271,3,20
272,3,21
273,3,22
274,3,23
275,3,24
276,3,25
277,3,26
278,3,27
279,3,28
280,3,29
281,3,30
282,3,31
283,3,32
284,3,33
285,3,34
286,3,35
287,3,36
288,3,37
289,3,38
290,3,42
291,3,43
292,3,44
293,3,45
294,3,46
295,3,47
296,3,48
297,3,49
298,3,54
299,3,60
300,3,61
301,3,62
302,3,68
303,3,69
304,3,70
305,3,71
306,3,72
307,3,76
308,3,77
309,3,78
310,3,79
311,3,80
312,3,81
313,3,86
314,3,87
315,3,94
316,3,95
317,3,96
318,3,97
319,3,98
320,3,99
321,3,100
322,3,101
323,3,102
324,3,105
325,3,110
326,3,111
327,3,114
328,3,116
329,3,117
330,3,118
331,3,119
332,3,120
333,3,121
334,3,122
335,3,123
336,3,124
337,3,125
338,3,126
339,3,127
340,3,128
341,3,129
342,3,130
343,3,131
344,3,132
345,3,133
346,3,134
347,3,135
348,3,136
349,3,140
350,3,141
351,3,142
352,3,145
353,3,146
354,3,147
355,3,148
356,3,149
357,3,150
358,3,151
359,3,152
360,3,160
361,3,171
362,3,172
363,3,173
364,3,174
365,3,175
366,3,176
367,3,177
368,3,178
369,3,179
370,3,183
371,3,187
372,3,188
373,3,189
374,3,190
375,3,191
376,3,192
377,3,193
378,3,194
379,3,195
380,3,196
381,3,197
382,3,198
383,3,199
384,3,200
385,3,201
386,3,202
496,3,202
497,3,202
498,3,202
25,4,104
26,4,105
35,4,100
36,4,101
41,4,28
42,4,29
54,4,43
55,4,44
63,4,20
64,4,21
65,4,22
66,4,40
67,4,41
68,4,42
72,4,136
73,4,137
74,4,31
75,4,32
76,4,33
77,4,90
78,4,91
92,4,69
93,4,70
94,4,71
95,4,34
113,4,97
118,4,78
119,4,79
122,4,95
129,4,23
130,4,24
143,4,113
163,4,106
164,4,107
169,4,30
172,4,103
173,4,99
183,4,125
184,4,126
185,4,93
190,4,63
194,4,117
195,4,118
198,4,74
200,4,72
201,4,114
203,4,121
208,4,35
214,4,62
215,4,144
223,4,132
224,4,133
226,4,141
242,4,98
265,4,48
266,4,49
267,4,50
268,4,51
269,4,52
278,4,119
279,4,120
298,4,124
307,4,86
308,4,87
315,4,26
339,4,80
340,4,81
349,4,138
350,4,139
358,4,83
387,4,1
388,4,2
389,4,3
390,4,4
391,4,5
392,4,6
393,4,7
394,4,8
395,4,9
396,4,10
397,4,11
398,4,12
399,4,13
400,4,14
401,4,15
402,4,16
403,4,17
404,4,18
405,4,19
406,4,25
407,4,27
408,4,36
409,4,37
410,4,38
411,4,39
412,4,45
413,4,46
414,4,47
415,4,53
416,4,54
417,4,55
418,4,56
419,4,57
420,4,58
421,4,59
422,4,60
423,4,61
424,4,64
425,4,65
426,4,66
427,4,67
428,4,68
429,4,73
430,4,75
431,4,76
432,4,77
433,4,82
434,4,84
435,4,85
436,4,88
437,4,89
438,4,92
439,4,94
440,4,96
441,4,102
442,4,108
443,4,109
444,4,110
445,4,111
446,4,112
447,4,115
448,4,116
449,4,122
450,4,123
451,4,127
452,4,128
453,4,129
454,4,130
455,4,131
456,4,134
457,4,135
458,4,140
459,4,142
460,4,143
461,4,145
480,4,146
481,4,147
482,4,148
483,4,149
484,4,150
490,4,151
499,4,46
500,4,46
