item_id,local_language_id,short_effect,effect
73,9,No effect.,"No effect.

In Diamond and Pearl, trade ten for a [Rain Dance]{move:rain-dance} [TM]{item:tm18} in the house midway along the southern section of [Route 212]{location:sinnoh-route-212}.

In Platinum, trade to [move tutors]{mechanic:move tutor} on [Route 212]{location:sinnoh-route-212}, in [Snowpoint City]{location:snowpoint-city}, and in the [Survival Area]{location:survival-area}.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a [Chesto Berry]{item:chesto-berry}, an [Oran Berry]{item:oran-berry}, and a [Wiki Berry]{item:wiki-berry} with the Juggler near the Pokémon Center in [Violet City]{location:violet-city}.

In HeartGold and SoulSilver, trade one for a [Bluk Berry]{item:bluk-berry}, a [Cornn Berry]{item:cornn-berry}, and a [Kelpsy Berry]{item:kelpsy-berry} with the Juggler near the [Pal Park]{location:pal-park} entrance in [Fuchsia City]{location:fuchsia-city}."
74,9,No effect.,"No effect.

In Diamond and Pearl, trade ten for a [Sandstorm]{move:sandstorm} [TM]{item:tm37} in the house midway along the southern section of [Route 212]{location:sinnoh-route-212}.

In Platinum, trade to [move tutors]{mechanic:move tutor} on [Route 212]{location:sinnoh-route-212}, in [Snowpoint City]{location:snowpoint-city}, and in the [Survival Area]{location:survival-area}.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an [Aspear Berry]{item:aspear-berry}, a [Iapapa Berry]{item:iapapa-berry}, and a [Sitrus Berry]{item:sitrus-berry} with the Juggler near the Pokémon Center in [Violet City]{location:violet-city}.

In HeartGold and SoulSilver, trade one for a [Grepa Berry]{item:grepa-berry}, a [Nomel Berry]{item:nomel-berry}, and a [Pinap Berry]{item:pinap-berry} with the Juggler near the [Pal Park]{location:pal-park} entrance in [Fuchsia City]{location:fuchsia-city}."
75,9,No effect.,"No effect.

In Diamond and Pearl, trade ten for a [Hail]{move:hail} [TM]{item:tm07} in the house midway along the southern section of [Route 212]{location:sinnoh-route-212}.

In Platinum, trade to [move tutors]{mechanic:move tutor} on [Route 212]{location:sinnoh-route-212}, in [Snowpoint City]{location:snowpoint-city}, and in the [Survival Area]{location:survival-area}.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an [Aguav Berry]{item:aguav-berry}, a [Lum Berry]{item:lum-berry}, and a [Rawst Berry]{item:rawst-berry} with the Juggler near the Pokémon Center in [Violet City]{location:violet-city}.

In HeartGold and SoulSilver, trade one for a [Durin Berry]{item:durin-berry}, a [Hondew Berry]{item:hondew-berry}, and a [Wepear Berry]{item:wepear-berry} with the Juggler near the [Pal Park]{location:pal-park} entrance in [Fuchsia City]{location:fuchsia-city}."
76,9,,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 200 steps."
77,9,,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 250 steps."
78,9,,"Used outside of battle
:   Transports the trainer to the last-entered dungeon entrance.  Cannot be used outside, in buildings, or in [Distortion World]{location:distortion-world}, [Hall of Origin]{location:Hall of Origin}, [Spear Pillar]{location:spear-pillar}, or [Turnback Cave]{location:turnback-cave}."
79,9,,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 100 steps."
80,9,,"Used on a party Pokémon
:   Evolves a [Cottonee]{pokemon:cottonee} into [Whimsicott]{pokemon:whimsicott}, a [Gloom]{pokemon:gloom} into [Bellossom]{pokemon:bellossom}, a [Petilil]{pokemon:petilil} into [Lilligant]{pokemon:lilligant}, or a [Sunkern]{pokemon:sunkern} into [Sunflora]{pokemon:sunflora}."
81,9,,"Used on a party Pokémon
:   Evolves a [Clefairy]{pokemon:clefairy} into [Clefable]{pokemon:clefable}, a [Jigglypuff]{pokemon:jigglypuff} into [Wigglytuff]{pokemon:wigglytuff}, a [Munna]{pokemon:munna} into [Musharna]{pokemon:musharna}, a [Nidorina]{pokemon:nidorina} into [Nidoqueen]{pokemon:nidoqueen}, a [Nidorino]{pokemon:nidorino} into [Nidoking]{pokemon:nidoking}, or a [Skitty]{pokemon:skitty} into [Delcatty]{pokemon:delcatty}."
82,9,,"Used on a party Pokémon
:   Evolves an [Eevee]{pokemon:eevee} into [Flareon]{pokemon:flareon}, a [Growlithe]{pokemon:growlithe} into [Arcanine]{pokemon:arcanine}, a [Pansear]{pokemon:pansear} into [Simisear]{pokemon:simisear}, or a [Vulpix]{pokemon:vulpix} into [Ninetales]{pokemon:ninetales}."
83,9,,"Used on a party Pokémon
:   Evolves an [Eelektrik]{pokemon:eelektrik} into [Eelektross]{pokemon:eelektross}, an [Eevee]{pokemon:eevee} into [Jolteon]{pokemon:jolteon}, or a [Pikachu]{pokemon:pikachu} into [Raichu]{pokemon:raichu}."
84,9,,"Used on a party Pokémon
:   Evolves an [Eevee]{pokemon:eevee} into [Vaporeon]{pokemon:vaporeon}, a [Lombre]{pokemon:lombre} into [Ludicolo]{pokemon:ludicolo}, a [Panpour]{pokemon:panpour} into [Simipour]{pokemon:simipour}, a [Poliwhirl]{pokemon:poliwhirl} into [Poliwrath]{pokemon:poliwrath}, a [Shellder]{pokemon:shellder} into [Cloyster]{pokemon:cloyster}, or a [Staryu]{pokemon:staryu} into [Starmie]{pokemon:starmie}."
85,9,,"Used on a party Pokémon
:   Evolves an [Exeggcute]{pokemon:exeggcute} into [Exeggutor]{pokemon:exeggutor}, a [Gloom]{pokemon:gloom} into [Vileplume]{pokemon:vileplume}, a [Nuzleaf]{pokemon:nuzleaf} into [Shiftry]{pokemon:shiftry}, a [Pansage]{pokemon:pansage} into [Simisage]{pokemon:simisage}, or a [Weepinbell]{pokemon:weepinbell} into [Victreebel]{pokemon:victreebel}."
86,9,Vendor trash.,Vendor trash.
87,9,Vendor trash.,Vendor trash.
88,9,Vendor trash.,Vendor trash.
89,9,Vendor trash.,Vendor trash.
90,9,Vendor trash.,Vendor trash.
91,9,Vendor trash.,Vendor trash.
92,9,Vendor trash.,Vendor trash.
93,9,,Trade one to the Move Relearner near the shore in [Pastoria City]{location:pastoria-city} or with the Move Deleter in [Blackthorn City]{location:blackthorn-city} to teach one party Pokémon a prior level-up move.
94,9,,"Used outside of battle
:   Immediately triggers a wild Pokémon battle, as long as the trainer is somewhere with wild Pokémon—i.e., in tall grass, in a cave, or surfing.

Can be smeared on sweet-smelling trees to attract tree-dwelling Pokémon after six hours."
95,9,,"Used on a patch of soil
:   Plant's growth stages will each last 25% less time.  Dries soil out more quickly."
96,9,,"Used on a patch of soil
:   Plant's growth stages will each last 25% more time.  Dries soil out more slowly."
97,9,,"Used on a patch of soil
:   Fully-grown plant will last 25% longer before dying and possibly regrowing."
98,9,,"Used on a path of soil
:   Plant will regrow after dying 25% more times."
99,9,,Give to a scientist in the [Oreburgh Mining Museum]{location:mining-museum} or [Pewter Museum of Science]{location:pewter-city} to receive a [Lileep]{pokemon:lileep}.
100,9,,Give to a scientist in the [Oreburgh Mining Museum]{location:mining-museum} or [Pewter Museum of Science]{location:pewter-city} to receive a [Anorith]{pokemon:anorith}.
101,9,,Give to a scientist in the [Oreburgh Mining Museum]{location:mining-museum} or [Pewter Museum of Science]{location:pewter-city} to receive a [Omanyte]{pokemon:omanyte}.
102,9,,Give to a scientist in the [Oreburgh Mining Museum]{location:mining-museum} or [Pewter Museum of Science]{location:pewter-city} to receive a [Kabuto]{pokemon:kabuto}.
103,9,,Give to a scientist in the [Oreburgh Mining Museum]{location:mining-museum} or [Pewter Museum of Science]{location:pewter-city} to receive a [Aerodactyl]{pokemon:aerodactyl}.
104,9,,Give to a scientist in the [Oreburgh Mining Museum]{location:mining-museum} or [Pewter Museum of Science]{location:pewter-city} to receive a [Shieldon]{pokemon:shieldon}.
105,9,,Give to a scientist in the [Oreburgh Mining Museum]{location:mining-museum} or [Pewter Museum of Science]{location:pewter-city} to receive a [Cranidos]{pokemon:cranidos}.
106,9,Vendor trash.,Vendor trash.
107,9,,"Used on a party Pokémon
:   Evolves a [Minccino]{pokemon:minccino} into [Cinccino]{pokemon:cinccino}, a [Roselia]{pokemon:roselia} into [Roserade]{pokemon:roserade}, or a [Togetic]{pokemon:togetic} into [Togekiss]{pokemon:togekiss}."
108,9,,"Used on a party Pokémon
:   Evolves a [Lampent]{pokemon:lampent} into [Chandelure]{pokemon:chandelure}, a [Misdreavus]{pokemon:misdreavus} into [Mismagius]{pokemon:mismagius}, or a [Murkrow]{pokemon:murkrow} into [Honchkrow]{pokemon:honchkrow}."
109,9,,"Used on a party Pokémon
:   Evolves a male [Kirlia]{pokemon:kirlia} into [Gallade]{pokemon:gallade} or a female [Snorunt]{pokemon:snorunt} into [Froslass]{pokemon:froslass}."
110,9,,"Held by [Happiny]{pokemon:happiny}
:   Holder evolves into [Chansey]{pokemon:chansey} when it levels up during the daytime."
111,9,,"Place in the tower on [Route 209]{location:sinnoh-route-209}.  Check the stone to encounter a [Spiritomb]{pokemon:spiritomb}, as long as the trainer's Underground status card counts at least 32 greetings."
112,9,,"Held by [Dialga]{pokemon:dialga}
:   Holder's [dragon]{type:dragon}- and [steel]{type:steel}-type moves have 1.2× their usual power."
113,9,,"Held by [Palkia]{pokemon:palkia}
:   Holder's [dragon]{type:dragon}- and [water]{type:water}-type moves have 1.2× their usual power."
114,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
115,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
116,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
117,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
118,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
119,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
120,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
121,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
122,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
123,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
124,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
125,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
126,9,,"Held in battle
:   When the holder is [paralyzed]{mechanic:paralysis}, it consumes this item to cure the paralysis.

Used on a party Pokémon
:   Cures [paralysis]{mechanic:paralysis}."
127,9,,"Held in battle
:   When the holder is [asleep]{mechanic:sleep}, it consumes this item to wake up.

Used on a party Pokémon
:   Cures [sleep]{mechanic:sleep}."
128,9,,"Held in battle
:   When the holder is [poisoned]{mechanic:poison}, it consumes this item to cure the poison.

Used on a party Pokémon
:   Cures [poison]{mechanic:poison}."
129,9,,"Held in battle
:   When the holder is [burned]{mechanic:burn}, it consumes this item to cure the burn.

Used on a party Pokémon
:   Cures a [burn]{mechanic:burn}."
130,9,,"Held in battle
:   When the holder is [frozen]{mechanic:freezing}, it consumes this item to thaw itself.

Used on a party Pokémon
:   Cures [freezing]{mechanic:freezing}."
131,9,,"Held in battle
:   When the holder is out of [PP]{mechanic:pp} for one of its moves, it consumes this item to restore 10 of that move's PP.

Used on a party Pokémon
:   Restores 10 [PP]{mechanic:pp} for a selected move."
132,9,,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 10 HP.

Used on a party Pokémon
:   Restores 10 [HP]{mechanic:hp}."
133,9,,"Held in battle
:   When the holder is [confused]{mechanic:confusion}, it consumes this item to cure the confusion.

Used on a party Pokémon
:   Cures [confusion]{mechanic:confusion}."
134,9,,"Held in battle
:   When the holder is afflicted with a [major status ailment]{mechanic:major status ailment}, it consumes this item to cure the ailment.

Used on a party Pokémon
:   Cures any [major status ailment]{mechanic:major status ailment}."
