id,evolved_species_id,evolution_trigger_id,trigger_item_id,minimum_level,gender_id,location_id,held_item_id,time_of_day,known_move_id,minimum_happiness,minimum_beauty,relative_physical_stats,party_species_id,trade_species_id
178,348,1,,40,,,,,,,,,,
179,350,1,,,,,,,,,171,,,
180,354,1,,37,,,,,,,,,,
181,356,1,,37,,,,,,,,,,
182,358,1,,,,,,night,,220,,,,
183,362,1,,42,,,,,,,,,,
184,364,1,,32,,,,,,,,,,
185,365,1,,44,,,,,,,,,,
186,367,2,,,,,203,,,,,,,
187,368,2,,,,,204,,,,,,,
188,372,1,,30,,,,,,,,,,
189,373,1,,50,,,,,,,,,,
190,375,1,,20,,,,,,,,,,
191,376,1,,45,,,,,,,,,,
192,388,1,,18,,,,,,,,,,
193,389,1,,32,,,,,,,,,,
194,391,1,,14,,,,,,,,,,
195,392,1,,36,,,,,,,,,,
196,394,1,,16,,,,,,,,,,
197,395,1,,36,,,,,,,,,,
198,397,1,,14,,,,,,,,,,
199,398,1,,34,,,,,,,,,,
200,400,1,,15,,,,,,,,,,
201,402,1,,10,,,,,,,,,,
202,404,1,,15,,,,,,,,,,
203,405,1,,30,,,,,,,,,,
204,407,3,107,,,,,,,,,,,
205,409,1,,30,,,,,,,,,,
206,411,1,,30,,,,,,,,,,
207,413,1,,20,1,,,,,,,,,
208,414,1,,20,2,,,,,,,,,
209,416,1,,21,1,,,,,,,,,
210,419,1,,26,,,,,,,,,,
211,421,1,,25,,,,,,,,,,
212,423,1,,30,,,,,,,,,,
213,424,1,,,,,,,458,,,,,
214,426,1,,28,,,,,,,,,,
215,428,1,,,,,,,,220,,,,
216,429,3,108,,,,,,,,,,,
217,430,3,108,,,,,,,,,,,
218,432,1,,38,,,,,,,,,,
219,435,1,,34,,,,,,,,,,
220,437,1,,33,,,,,,,,,,
221,444,1,,24,,,,,,,,,,
222,445,1,,48,,,,,,,,,,
223,448,1,,,,,,day,,220,,,,
224,450,1,,34,,,,,,,,,,
225,452,1,,40,,,,,,,,,,
226,454,1,,37,,,,,,,,,,
227,457,1,,31,,,,,,,,,,
228,460,1,,40,,,,,,,,,,
229,461,1,,,,,303,night,,,,,,
230,462,1,,,,10,,,,,,,,
231,463,1,,,,,,,205,,,,,
232,464,2,,,,,298,,,,,,,
233,465,1,,,,,,,246,,,,,
234,466,2,,,,,299,,,,,,,
235,467,2,,,,,300,,,,,,,
236,468,3,107,,,,,,,,,,,
237,469,1,,,,,,,246,,,,,
238,470,1,,,,8,,,,,,,,
239,471,1,,,,48,,,,,,,,
240,472,1,,,,,304,night,,,,,,
241,473,1,,,,,,,246,,,,,
242,474,2,,,,,301,,,,,,,
243,475,3,109,,2,,,,,,,,,
244,476,1,,,,10,,,,,,,,
245,477,2,,,,,302,,,,,,,
246,478,3,109,,1,,,,,,,,,
247,496,1,,17,,,,,,,,,,
248,497,1,,36,,,,,,,,,,
249,499,1,,17,,,,,,,,,,
250,500,1,,36,,,,,,,,,,
251,502,1,,17,,,,,,,,,,
252,503,1,,36,,,,,,,,,,
253,505,1,,20,,,,,,,,,,
254,507,1,,16,,,,,,,,,,
255,508,1,,32,,,,,,,,,,
256,510,1,,20,,,,,,,,,,
257,512,3,85,,,,,,,,,,,
258,514,3,82,,,,,,,,,,,
259,516,3,84,,,,,,,,,,,
260,518,3,81,,,,,,,,,,,
261,520,1,,21,,,,,,,,,,
262,521,1,,32,,,,,,,,,,
263,523,1,,27,,,,,,,,,,
264,525,1,,25,,,,,,,,,,
265,526,2,,,,,,,,,,,,
266,528,1,,,,,,,,220,,,,
267,530,1,,31,,,,,,,,,,
268,533,1,,25,,,,,,,,,,
269,534,2,,,,,,,,,,,,
270,536,1,,25,,,,,,,,,,
271,537,1,,36,,,,,,,,,,
272,541,1,,20,,,,,,,,,,
273,542,1,,,,,,,,220,,,,
274,544,1,,22,,,,,,,,,,
275,545,1,,30,,,,,,,,,,
276,547,3,80,,,,,,,,,,,
277,549,3,80,,,,,,,,,,,
278,552,1,,29,,,,,,,,,,
279,553,1,,40,,,,,,,,,,
280,555,1,,35,,,,,,,,,,
281,558,1,,34,,,,,,,,,,
282,560,1,,39,,,,,,,,,,
283,563,1,,34,,,,,,,,,,
284,565,1,,37,,,,,,,,,,
285,567,1,,37,,,,,,,,,,
286,569,1,,36,,,,,,,,,,
287,571,1,,30,,,,,,,,,,
288,573,3,107,,,,,,,,,,,
289,575,1,,32,,,,,,,,,,
290,576,1,,41,,,,,,,,,,
291,578,1,,32,,,,,,,,,,
292,579,1,,41,,,,,,,,,,
293,581,1,,35,,,,,,,,,,
294,583,1,,35,,,,,,,,,,
295,584,1,,47,,,,,,,,,,
296,586,1,,34,,,,,,,,,,
297,589,2,,,,,,,,,,,,616
298,591,1,,39,,,,,,,,,,
299,593,1,,40,,,,,,,,,,
300,596,1,,36,,,,,,,,,,
301,598,1,,40,,,,,,,,,,
302,600,1,,38,,,,,,,,,,
303,601,1,,49,,,,,,,,,,
304,603,1,,39,,,,,,,,,,
305,604,3,83,,,,,,,,,,,
306,606,1,,42,,,,,,,,,,
307,608,1,,41,,,,,,,,,,
308,609,3,108,,,,,,,,,,,
309,611,1,,38,,,,,,,,,,
310,612,1,,48,,,,,,,,,,
311,614,1,,37,,,,,,,,,,
312,617,2,,,,,,,,,,,,588
313,620,1,,50,,,,,,,,,,
314,623,1,,43,,,,,,,,,,
315,625,1,,52,,,,,,,,,,
316,628,1,,54,,,,,,,,,,
317,630,1,,54,,,,,,,,,,
318,634,1,,50,,,,,,,,,,
319,635,1,,64,,,,,,,,,,
320,637,1,,59,,,,,,,,,,
321,350,2,,,,,580,,,,,,,
322,462,1,,,,379,,,,,,,,
323,476,1,,,,379,,,,,,,,
324,470,1,,,,375,,,,,,,,
325,471,1,,,,380,,,,,,,,
