id,identifier,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id,forms_switchable,order,conquest_order,is_legendary,is_mythical
135,jolteon,1,133,67,10,8,8,1,45,70,0,35,0,2,0,159,3,0,0
136,flareon,1,133,67,8,8,8,1,45,70,0,35,0,2,0,160,4,0,0
137,porygon,1,,68,6,7,8,-1,45,70,0,20,0,2,0,166,,0,0
138,omanyte,1,,69,2,10,7,1,45,70,0,30,0,2,0,169,,0,0
139,omastar,1,138,69,2,10,7,1,45,70,0,30,0,2,0,170,,0,0
140,kabuto,1,,70,3,14,7,1,45,70,0,30,0,2,0,171,,0,0
141,kabutops,1,140,70,3,6,7,1,45,70,0,30,0,2,0,172,,0,0
142,aerodactyl,1,,71,7,9,4,1,45,70,0,35,0,1,1,173,,0,0
143,snorlax,1,446,72,1,12,4,1,25,70,0,40,0,1,0,175,179,0,0
144,articuno,1,,73,2,9,5,-1,3,35,0,80,0,1,0,176,192,1,0
145,zapdos,1,,74,10,9,5,-1,3,35,0,80,0,1,0,177,,1,0
146,moltres,1,,75,10,9,5,-1,3,35,0,80,0,1,0,178,,1,0
147,dratini,1,,76,2,2,9,4,45,35,0,40,0,1,0,179,76,0,0
148,dragonair,1,147,76,2,2,9,4,45,35,0,40,0,1,0,180,77,0,0
149,dragonite,1,148,76,3,6,9,4,45,35,0,40,0,1,0,181,78,0,0
150,mewtwo,1,,77,7,6,5,-1,3,0,0,120,0,1,1,182,196,1,0
151,mew,1,,78,6,6,5,-1,45,100,0,120,0,4,0,183,,0,1
152,chikorita,2,,79,5,8,3,1,45,70,0,20,0,4,0,184,,0,0
153,bayleef,2,152,79,5,8,3,1,45,70,0,20,0,4,0,185,,0,0
154,meganium,2,153,79,5,8,3,1,45,70,0,20,1,4,0,186,,0,0
155,cyndaquil,2,,80,10,12,3,1,45,70,0,20,0,4,0,187,,0,0
156,quilava,2,155,80,10,8,3,1,45,70,0,20,0,4,0,188,,0,0
157,typhlosion,2,156,80,10,8,3,1,45,70,0,20,0,4,0,189,,0,0
158,totodile,2,,81,2,6,9,1,45,70,0,20,0,4,0,190,,0,0
159,croconaw,2,158,81,2,6,9,1,45,70,0,20,0,4,0,191,,0,0
160,feraligatr,2,159,81,2,6,9,1,45,70,0,20,0,4,0,192,,0,0
161,sentret,2,,82,3,8,3,4,255,70,0,15,0,2,0,193,,0,0
162,furret,2,161,82,3,8,3,4,90,70,0,15,0,2,0,194,,0,0
163,hoothoot,2,,83,3,9,2,4,255,70,0,15,0,2,0,195,,0,0
164,noctowl,2,163,83,3,9,2,4,90,70,0,15,0,2,0,196,,0,0
165,ledyba,2,,84,8,9,2,4,255,70,0,15,1,3,0,197,,0,0
166,ledian,2,165,84,8,9,2,4,90,70,0,15,1,3,0,198,,0,0
167,spinarak,2,,85,5,14,2,4,255,70,0,15,0,3,0,199,,0,0
168,ariados,2,167,85,8,14,2,4,90,70,0,15,0,3,0,200,,0,0
169,crobat,2,42,17,7,13,1,4,90,70,0,15,0,2,0,46,25,0,0
170,chinchou,2,,86,2,3,7,4,190,70,0,20,0,1,0,201,,0,0
171,lanturn,2,170,86,2,3,7,4,75,70,0,20,0,1,0,202,,0,0
172,pichu,2,,10,10,8,2,4,190,70,1,10,0,2,0,25,15,0,0
173,cleffa,2,,14,6,6,4,6,150,140,1,10,0,3,0,36,,0,0
174,igglybuff,2,,16,6,12,3,6,170,70,1,10,0,3,0,41,20,0,0
175,togepi,2,,87,9,12,2,1,190,70,1,10,0,3,0,203,,0,0
176,togetic,2,175,87,9,12,2,1,75,70,0,10,0,3,0,204,,0,0
177,natu,2,,88,5,9,2,4,190,70,0,20,0,2,0,206,,0,0
178,xatu,2,177,88,5,9,2,4,75,70,0,20,1,2,0,207,,0,0
179,mareep,2,,89,9,8,3,4,235,70,0,20,0,4,0,208,45,0,0
180,flaaffy,2,179,89,6,6,3,4,120,70,0,20,0,4,0,209,46,0,0
181,ampharos,2,180,89,10,6,3,4,45,70,0,20,0,4,1,210,47,0,0
182,bellossom,2,44,18,5,12,3,4,45,70,0,20,0,4,0,50,,0,0
183,marill,2,298,90,2,6,9,4,190,70,0,10,0,3,0,212,,0,0
184,azumarill,2,183,90,2,6,9,4,75,70,0,10,0,3,0,213,,0,0
185,sudowoodo,2,438,91,3,12,2,4,65,70,0,20,1,2,0,215,,0,0
186,politoed,2,61,26,5,12,9,4,45,70,0,20,1,4,0,68,,0,0
187,hoppip,2,,92,6,6,3,4,255,70,0,20,0,4,0,216,,0,0
188,skiploom,2,187,92,5,6,3,4,120,70,0,20,0,4,0,217,,0,0
189,jumpluff,2,188,92,2,6,3,4,45,70,0,20,0,4,0,218,,0,0
190,aipom,2,,93,7,6,2,4,45,70,0,20,1,3,0,219,,0,0
191,sunkern,2,,94,10,1,3,4,235,70,0,20,0,4,0,221,,0,0
192,sunflora,2,191,94,10,12,3,4,120,70,0,20,0,4,0,222,,0,0
193,yanma,2,,95,8,13,2,4,75,70,0,20,0,2,0,223,,0,0
194,wooper,2,,96,2,7,9,4,255,70,0,20,1,2,0,225,18,0,0
195,quagsire,2,194,96,2,6,9,4,90,70,0,20,1,2,0,226,19,0,0
196,espeon,2,133,67,7,8,8,1,45,70,0,35,0,2,0,161,5,0,0
197,umbreon,2,133,67,1,8,8,1,45,35,0,35,0,2,0,162,6,0,0
198,murkrow,2,,97,1,9,2,4,30,35,0,20,1,4,0,227,,0,0
199,slowking,2,79,33,6,6,9,4,70,70,0,20,0,2,0,87,,0,0
200,misdreavus,2,,98,4,1,1,4,45,35,0,25,0,3,0,229,183,0,0
201,unown,2,,99,1,1,5,-1,225,70,0,40,0,2,0,231,,0,0
202,wobbuffet,2,360,100,2,5,1,4,45,70,0,20,1,2,0,233,,0,0
203,girafarig,2,,101,10,8,3,4,60,70,0,20,1,2,0,234,,0,0
204,pineco,2,,102,4,1,2,4,190,70,0,20,0,2,0,235,56,0,0
205,forretress,2,204,102,7,1,2,4,75,70,0,20,0,2,0,236,57,0,0
206,dunsparce,2,,103,10,2,1,4,190,70,0,20,0,2,0,237,,0,0
207,gligar,2,,104,7,9,4,4,60,70,0,20,1,4,0,238,,0,0
208,steelix,2,95,41,4,2,1,4,25,70,0,25,1,2,1,104,176,0,0
209,snubbull,2,,105,6,12,8,6,190,70,0,20,0,3,0,240,,0,0
210,granbull,2,209,105,7,6,8,6,75,70,0,20,0,3,0,241,,0,0
211,qwilfish,2,,106,4,3,7,4,45,70,0,20,0,2,0,242,,0,0
212,scizor,2,123,58,8,13,3,4,25,70,0,25,1,2,1,142,189,0,0
213,shuckle,2,,107,10,14,4,4,190,70,0,20,0,4,0,243,,0,0
214,heracross,2,,108,2,12,2,4,45,70,0,25,1,1,1,244,,0,0
215,sneasel,2,,109,1,6,2,4,60,35,0,20,1,4,0,245,181,0,0
216,teddiursa,2,,110,3,6,4,4,120,70,0,20,0,2,0,247,,0,0
217,ursaring,2,216,110,3,6,4,4,60,70,0,20,1,2,0,248,,0,0
218,slugma,2,,111,8,2,4,4,190,70,0,20,0,2,0,249,,0,0
219,magcargo,2,218,111,8,2,4,4,75,70,0,20,0,2,0,250,,0,0
220,swinub,2,,112,3,8,1,4,225,70,0,20,0,1,0,251,,0,0
221,piloswine,2,220,112,3,8,1,4,75,70,0,20,1,1,0,252,,0,0
222,corsola,2,,113,6,14,7,6,60,70,0,20,0,3,0,254,,0,0
223,remoraid,2,,114,4,3,7,4,190,70,0,20,0,2,0,255,,0,0
224,octillery,2,223,114,8,10,7,4,75,70,0,20,1,2,0,256,,0,0
225,delibird,2,,115,8,9,4,4,45,70,0,20,0,3,0,257,,0,0
226,mantine,2,458,116,7,9,7,4,25,70,0,25,0,1,0,259,,0,0
227,skarmory,2,,117,4,9,6,4,25,70,0,25,0,1,0,260,,0,0
228,houndour,2,,118,1,8,6,4,120,35,0,20,0,1,0,261,,0,0
229,houndoom,2,228,118,1,8,6,4,45,35,0,20,1,1,1,262,,0,0
230,kingdra,2,117,54,2,5,7,4,45,70,0,20,0,2,0,134,,0,0
231,phanpy,2,,119,2,8,6,4,120,70,0,20,0,2,0,263,,0,0
232,donphan,2,231,119,4,8,6,4,60,70,0,20,1,2,0,264,,0,0
233,porygon2,2,137,68,8,7,8,-1,45,70,0,20,0,2,0,167,,0,0
234,stantler,2,,120,3,8,2,4,45,70,0,20,0,1,0,265,,0,0
235,smeargle,2,,121,9,6,8,4,45,70,0,20,0,3,0,266,,0,0
236,tyrogue,2,,47,7,12,8,0,75,70,1,25,0,2,0,115,,0,0
237,hitmontop,2,236,47,3,6,8,0,45,70,0,25,0,2,0,118,,0,0
238,smoochum,2,,59,6,12,8,8,45,70,1,25,0,2,0,143,,0,0
239,elekid,2,,60,10,12,3,2,45,70,1,25,0,2,0,145,,0,0
240,magby,2,,61,8,6,4,2,45,70,1,25,0,2,0,148,,0,0
241,miltank,2,,122,6,6,3,8,45,70,0,20,0,1,0,267,,0,0
242,blissey,2,113,51,6,12,8,8,30,140,0,40,0,3,0,128,,0,0
243,raikou,2,,123,10,8,3,-1,3,35,0,80,0,1,0,268,,1,0
244,entei,2,,124,3,8,3,-1,3,35,0,80,0,1,0,269,,1,0
245,suicune,2,,125,2,8,3,-1,3,35,0,80,0,1,0,270,,1,0
246,larvitar,2,,126,5,6,4,4,45,35,0,40,0,1,0,271,79,0,0
247,pupitar,2,246,126,4,2,4,4,45,35,0,40,0,1,0,272,80,0,0
248,tyranitar,2,247,126,5,6,4,4,45,35,0,40,0,1,1,273,81,0,0
249,lugia,2,,127,9,9,5,-1,3,0,0,120,0,1,0,274,,1,0
250,ho-oh,2,,128,8,9,5,-1,3,0,0,120,0,1,0,275,,1,0
251,celebi,2,,129,5,12,2,-1,45,100,0,120,0,4,0,276,,0,1
252,treecko,3,,130,5,6,2,1,45,70,0,20,0,4,0,277,130,0,0
253,grovyle,3,252,130,5,6,2,1,45,70,0,20,0,4,0,278,131,0,0
254,sceptile,3,253,130,5,6,2,1,45,70,0,20,0,4,1,279,132,0,0
255,torchic,3,,131,8,7,3,1,45,70,0,20,1,4,0,280,,0,0
256,combusken,3,255,131,8,6,3,1,45,70,0,20,1,4,0,281,,0,0
257,blaziken,3,256,131,8,6,3,1,45,70,0,20,1,4,1,282,,0,0
258,mudkip,3,,132,2,8,9,1,45,70,0,20,0,4,0,283,,0,0
259,marshtomp,3,258,132,2,6,9,1,45,70,0,20,0,4,0,284,,0,0
260,swampert,3,259,132,2,6,9,1,45,70,0,20,0,4,1,285,,0,0
261,poochyena,3,,133,4,8,3,4,255,70,0,15,0,2,0,286,,0,0
262,mightyena,3,261,133,4,8,3,4,127,70,0,15,0,2,0,287,,0,0
263,zigzagoon,3,,134,3,8,3,4,255,70,0,15,0,2,0,288,,0,0
264,linoone,3,263,134,9,8,3,4,90,70,0,15,0,2,0,289,,0,0
265,wurmple,3,,135,8,14,2,4,255,70,0,15,0,2,0,290,,0,0
266,silcoon,3,265,135,9,1,2,4,120,70,0,15,0,2,0,291,,0,0
267,beautifly,3,266,135,10,13,2,4,45,70,0,15,1,2,0,292,,0,0
268,cascoon,3,265,135,7,1,2,4,120,70,0,15,0,2,0,293,,0,0
269,dustox,3,268,135,5,13,2,4,45,70,0,15,1,2,0,294,,0,0
270,lotad,3,,136,5,14,9,4,255,70,0,15,0,4,0,295,,0,0
271,lombre,3,270,136,5,12,9,4,120,70,0,15,0,4,0,296,,0,0
272,ludicolo,3,271,136,5,12,9,4,45,70,0,15,1,4,0,297,,0,0
273,seedot,3,,137,3,7,2,4,255,70,0,15,0,4,0,298,,0,0
274,nuzleaf,3,273,137,3,12,2,4,120,70,0,15,1,4,0,299,,0,0
275,shiftry,3,274,137,3,12,2,4,45,70,0,15,1,4,0,300,,0,0
276,taillow,3,,138,2,9,3,4,200,70,0,15,0,4,0,301,,0,0
277,swellow,3,276,138,2,9,3,4,45,70,0,15,0,4,0,302,,0,0
278,wingull,3,,139,9,9,7,4,190,70,0,20,0,2,0,303,,0,0
279,pelipper,3,278,139,10,9,7,4,45,70,0,20,0,2,0,304,,0,0
280,ralts,3,,140,9,12,8,4,235,35,0,20,0,1,0,305,9,0,0
281,kirlia,3,280,140,9,12,8,4,120,35,0,20,0,1,0,306,10,0,0
282,gardevoir,3,281,140,9,12,8,4,45,35,0,20,0,1,1,307,11,0,0
283,surskit,3,,141,2,14,9,4,200,70,0,15,0,2,0,309,,0,0
284,masquerain,3,283,141,2,13,9,4,75,70,0,15,0,2,0,310,,0,0
285,shroomish,3,,142,3,7,2,4,255,70,0,15,0,6,0,311,,0,0
286,breloom,3,285,142,5,6,2,4,90,70,0,15,0,6,0,312,,0,0
287,slakoth,3,,143,3,8,2,4,255,70,0,15,0,1,0,313,,0,0
288,vigoroth,3,287,143,9,6,2,4,120,70,0,15,0,1,0,314,,0,0
289,slaking,3,288,143,3,12,2,4,45,70,0,15,0,1,0,315,,0,0
290,nincada,3,,144,4,14,2,4,255,70,0,15,0,5,0,316,,0,0
291,ninjask,3,290,144,10,13,2,4,120,70,0,15,0,5,0,317,,0,0
292,shedinja,3,290,144,3,5,2,-1,45,70,0,15,0,5,0,318,,0,0
293,whismur,3,,145,6,6,1,4,190,70,0,20,0,4,0,319,,0,0
294,loudred,3,293,145,2,6,1,4,120,70,0,20,0,4,0,320,,0,0
295,exploud,3,294,145,2,6,1,4,45,70,0,20,0,4,0,321,,0,0
296,makuhita,3,,146,10,12,4,2,180,70,0,20,0,6,0,322,,0,0
297,hariyama,3,296,146,3,12,4,2,200,70,0,20,0,6,0,323,,0,0
298,azurill,3,,90,2,7,9,6,150,70,1,10,0,3,0,211,,0,0
299,nosepass,3,,147,4,12,1,4,255,70,0,20,0,2,0,324,,0,0
300,skitty,3,,148,6,8,2,6,255,70,0,15,0,3,0,326,,0,0
301,delcatty,3,300,148,7,8,2,6,60,70,0,15,0,3,0,327,,0,0
302,sableye,3,,149,7,12,1,4,45,35,0,25,0,4,1,328,,0,0
303,mawile,3,,150,1,12,1,4,45,70,0,20,0,3,1,329,,0,0
304,aron,3,,151,4,8,4,4,180,35,0,35,0,1,0,330,149,0,0
305,lairon,3,304,151,4,8,4,4,90,35,0,35,0,1,0,331,150,0,0
306,aggron,3,305,151,4,6,4,4,45,35,0,35,0,1,1,332,151,0,0
307,meditite,3,,152,2,12,4,4,180,70,0,20,1,2,0,333,,0,0
308,medicham,3,307,152,8,12,4,4,90,70,0,20,1,2,1,334,,0,0
309,electrike,3,,153,5,8,3,4,120,70,0,20,0,1,0,335,,0,0
310,manectric,3,309,153,10,8,3,4,45,70,0,20,0,1,1,336,,0,0
311,plusle,3,,154,10,6,3,4,200,70,0,20,0,2,0,337,,0,0
312,minun,3,,155,10,6,3,4,200,70,0,20,0,2,0,338,,0,0
313,volbeat,3,,156,4,6,2,0,150,70,0,15,0,5,0,339,,0,0
314,illumise,3,,157,7,12,2,8,150,70,0,15,0,6,0,340,,0,0
315,roselia,3,406,158,5,12,3,4,150,70,0,20,1,4,0,342,,0,0
316,gulpin,3,,159,5,4,3,4,225,70,0,20,1,6,0,344,,0,0
317,swalot,3,316,159,7,4,3,4,75,70,0,20,1,6,0,345,,0,0
318,carvanha,3,,160,8,3,7,4,225,35,0,20,0,1,0,346,,0,0
319,sharpedo,3,318,160,2,3,7,4,60,35,0,20,0,1,1,347,,0,0
320,wailmer,3,,161,2,3,7,4,125,70,0,40,0,6,0,348,,0,0
321,wailord,3,320,161,2,3,7,4,60,70,0,40,0,6,0,349,,0,0
322,numel,3,,162,10,8,4,4,255,70,0,20,1,2,0,350,,0,0
323,camerupt,3,322,162,8,8,4,4,150,70,0,20,1,2,1,351,,0,0
324,torkoal,3,,163,3,8,4,4,90,70,0,20,0,2,0,352,,0,0
325,spoink,3,,164,1,4,4,4,255,70,0,20,0,3,0,353,,0,0
326,grumpig,3,325,164,7,6,4,4,60,70,0,20,0,3,0,354,,0,0
327,spinda,3,,165,3,6,4,4,255,70,0,15,0,3,0,355,,0,0
328,trapinch,3,,166,3,14,6,4,255,70,0,20,0,4,0,356,,0,0
329,vibrava,3,328,166,5,13,6,4,120,70,0,20,0,4,0,357,,0,0
330,flygon,3,329,166,5,9,6,4,45,70,0,20,0,4,0,358,,0,0
331,cacnea,3,,167,5,12,6,4,190,35,0,20,0,4,0,359,,0,0
