ability_id,version_group_id,language_id,flavor_text
15,11,9,"Prevents the Pokémon
from falling asleep."
15,14,9,"Prevents the Pokémon
from falling asleep."
16,5,9,Changes type to foe’s move.
16,6,9,Changes type to foe’s move.
16,7,9,Changes type to foe’s move.
16,8,9,"Changes the Pokémon’s
type to the foe’s move."
16,9,9,"Changes the Pokémon’s
type to the foe’s move."
16,10,9,"Changes the Pokémon’s
type to the foe’s move."
16,11,5,"Le Pokémon adopte le type
de la capacité ennemie."
16,11,9,"Changes the Pokémon’s
type to the foe’s move."
16,14,9,"Changes the Pokémon’s
type to the foe’s move."
17,5,9,Prevents poisoning.
17,6,9,Prevents poisoning.
17,7,9,Prevents poisoning.
17,8,9,"Prevents the Pokémon
from getting poisoned."
17,9,9,"Prevents the Pokémon
from getting poisoned."
17,10,9,"Prevents the Pokémon
from getting poisoned."
17,11,5,"Empêche le Pokémon d’être
empoisonné."
17,11,9,"Prevents the Pokémon
from getting poisoned."
17,14,9,"Prevents the Pokémon
from getting poisoned."
18,5,9,Powers up if hit by fire.
18,6,9,Powers up if hit by fire.
18,7,9,Powers up if hit by fire.
18,8,9,"Powers up Fire-type moves
if hit by a fire move."
18,9,9,"Powers up Fire-type moves
if hit by a fire move."
18,10,9,"It powers up Fire-type
moves if it’s hit by one."
18,11,5,"Booste capacités Feu si
touché par attaques Feu."
18,11,9,"It powers up Fire-type
moves if it’s hit by one."
18,14,9,"It powers up Fire-type
moves if it’s hit by one."
19,5,9,Prevents added effects.
19,6,9,Prevents added effects.
19,7,9,Prevents added effects.
19,8,9,"Blocks the added effects
of attacks taken."
19,9,9,"Blocks the added effects
of attacks taken."
19,10,9,"Blocks the added effects
of attacks taken."
19,11,5,"Annule les effets cumulés
d’une attaque ennemie."
19,11,9,"Blocks the added effects
of attacks taken."
19,14,9,"Blocks the added effects
of attacks taken."
20,5,9,Prevents confusion.
20,6,9,Prevents confusion.
20,7,9,Prevents confusion.
20,8,9,"Prevents the Pokémon
from becoming confused."
20,9,9,"Prevents the Pokémon
from becoming confused."
20,10,9,"Prevents the Pokémon
from becoming confused."
20,11,5,Empêche la confusion.
20,11,9,"Prevents the Pokémon
from becoming confused."
20,14,9,"Prevents the Pokémon
from becoming confused."
21,5,9,Firmly anchors the body.
21,6,9,Firmly anchors the body.
21,7,9,Firmly anchors the body.
21,8,9,"Negates moves that
force switching out."
21,9,9,"Negates moves that
force switching out."
21,10,9,"Negates foes’ moves that
force switching out."
21,11,5,"Annule les cap. et obj. qui
font changer de Pokémon."
21,11,9,"Negates all moves that
force switching out."
21,14,9,"Negates all moves that
force switching out."
22,5,9,Lowers the foe’s ATTACK.
22,6,9,Lowers the foe’s ATTACK.
22,7,9,Lowers the foe’s ATTACK.
22,8,9,"Lowers the foe’s Attack
stat."
22,9,9,"Lowers the foe’s Attack
stat."
22,10,9,"Lowers the foe’s
Attack stat."
22,11,5,Baisse l’Attaque ennemie.
22,11,9,"Lowers the foe’s
Attack stat."
22,14,9,"Lowers the foe’s
Attack stat."
23,5,9,Prevents the foe’s escape.
23,6,9,Prevents the foe’s escape.
23,7,9,Prevents the foe’s escape.
23,8,9,"Prevents the foe from
escaping."
23,9,9,"Prevents the foe from
escaping."
23,10,9,"Prevents the foe from
escaping."
23,11,5,"Empêche le Pokémon ennemi
de quitter le combat."
23,11,9,"Prevents the foe from
escaping."
23,14,9,"Prevents the foe from
escaping."
24,5,9,Hurts to touch.
24,6,9,Hurts to touch.
24,7,9,Hurts to touch.
24,8,9,"Inflicts damage to the
foe on contact."
24,9,9,"Inflicts damage to the
foe on contact."
24,10,9,"Inflicts damage to the
foe on contact."
24,11,5,"Le Pokémon blesse
l’ennemi qui le touche."
24,11,9,"Inflicts damage to the
attacker on contact."
24,14,9,"Inflicts damage to the
attacker on contact."
25,5,9,“Super effective” hits.
25,6,9,“Super effective” hits.
25,7,9,“Super effective” hits.
25,8,9,"Only supereffective
moves will hit."
25,9,9,"Only supereffective
moves will hit."
25,10,9,"Only supereffective
moves will hit."
25,11,5,"Seules capacités “super
efficaces” l’atteignent."
25,11,9,"Only supereffective
moves will hit."
25,14,9,"Only supereffective
moves will hit."
26,5,9,Not hit by GROUND attacks.
26,6,9,Not hit by GROUND attacks.
26,7,9,Not hit by GROUND attacks.
26,8,9,"Gives full immunity to all
Ground-type moves."
26,9,9,"Gives full immunity to all
Ground-type moves."
26,10,9,"Gives full immunity to all
Ground-type moves."
26,11,5,"Immunise contre toutes
les capacités de type Sol."
26,11,9,"Gives full immunity to all
Ground-type moves."
26,14,9,"Gives full immunity to all
Ground-type moves."
27,5,9,Leaves spores on contact.
27,6,9,Leaves spores on contact.
27,7,9,Leaves spores on contact.
27,8,9,"Contact may paralyze,
poison, or cause sleep."
27,9,9,"Contact may paralyze,
poison, or cause sleep."
27,10,9,"Contact may paralyze,
poison, or cause sleep."
27,11,5,"Peut paralyser, empoison-
ner, endormir au contact."
27,11,9,"Contact may poison or
cause paralysis or sleep."
27,14,9,"Contact may poison or
cause paralysis or sleep."
28,5,9,Passes on status problems.
28,6,9,Passes on status problems.
28,7,9,Passes on status problems.
28,8,9,"Passes on a burn, poison,
or paralysis to the foe."
28,9,9,"Passes on a burn, poison,
or paralysis to the foe."
28,10,9,"Passes a burn, poison,
or paralysis to the foe."
28,11,5,"Transmet brûlure, poison
ou paralysie à l’ennemi."
28,11,9,"Passes a burn, poison,
or paralysis to the foe."
28,14,9,"Passes a burn, poison,
or paralysis to the foe."
29,5,9,Prevents ability reduction.
29,6,9,Prevents ability reduction.
29,7,9,Prevents ability reduction.
29,8,9,"Prevents the Pokémon’s
stats from being lowered."
29,9,9,"Prevents the Pokémon’s
stats from being lowered."
29,10,9,"Prevents its stats from
being lowered."
29,11,5,"Empêche les stats
du Pokémon de baisser."
29,11,9,"Prevents other Pokémon
from lowering its stats."
29,14,9,"Prevents other Pokémon
from lowering its stats."
30,5,9,Heals upon switching out.
30,6,9,Heals upon switching out.
30,7,9,Heals upon switching out.
30,8,9,"All status problems are
healed upon switching out."
30,9,9,"All status problems are
healed upon switching out."
30,10,9,"All status problems heal
when it switches out."
30,11,5,"Quitter le combat soigne
les problèmes de statut."
30,11,9,"All status problems heal
when it switches out."
30,14,9,"All status problems heal
when it switches out."
31,5,9,Draws electrical moves.
31,6,9,Draws electrical moves.
31,7,9,Draws electrical moves.
31,8,9,"The Pokémon draws in all
Electric-type moves."
31,9,9,"The Pokémon draws in all
Electric-type moves."
31,10,9,"The Pokémon draws in all
Electric-type moves."
31,11,5,"Attire l’électricité et
augmente l’Atq. Spé."
31,11,9,"Draws in all Electric-type
moves to up Sp. Attack."
31,14,9,"Draws in all Electric-type
moves to up Sp. Attack."
32,5,9,Promotes added effects.
32,6,9,Promotes added effects.
32,7,9,Promotes added effects.
32,8,9,"Boosts the likelihood of
added effects appearing."
32,9,9,"Boosts the likelihood of
added effects appearing."
32,10,9,"Boosts the likelihood of
added effects appearing."
32,11,5,"Augmente la fréquence
du cumul d’effets."
32,11,9,"Boosts the likelihood of
added effects appearing."
32,14,9,"Boosts the likelihood of
added effects appearing."
33,5,9,Raises SPEED in rain.
33,6,9,Raises SPEED in rain.
33,7,9,Raises SPEED in rain.
33,8,9,"Boosts the Pokémon’s
Speed in rain."
33,9,9,"Boosts the Pokémon’s
Speed in rain."
33,10,9,"Boosts the Pokémon’s
Speed in rain."
33,11,5,"Augmente la Vitesse du
Pokémon s’il pleut."
33,11,9,"Boosts the Pokémon’s
Speed in rain."
33,14,9,"Boosts the Pokémon’s
Speed in rain."
34,5,9,Raises SPEED in sunshine.
34,6,9,Raises SPEED in sunshine.
34,7,9,Raises SPEED in sunshine.
34,8,9,"Boosts the Pokémon’s
Speed in sunshine."
34,9,9,"Boosts the Pokémon’s
Speed in sunshine."
34,10,9,"Boosts the Pokémon’s
Speed in sunshine."
34,11,5,"Augmente la Vitesse du
Pokémon s’il y a du soleil."
34,11,9,"Boosts the Pokémon’s
Speed in sunshine."
34,14,9,"Boosts the Pokémon’s
Speed in sunshine."
35,5,9,Encounter rate increases.
35,6,9,Encounter rate increases.
35,7,9,Encounter rate increases.
35,8,9,"Raises the likelihood of
meeting wild Pokémon."
35,9,9,"Raises the likelihood of
meeting wild Pokémon."
35,10,9,"Raises the likelihood of
meeting wild Pokémon."
35,11,5,"Augmente les rencontres
avec Pokémon sauvages."
35,11,9,"Raises the likelihood of
meeting wild Pokémon."
35,14,9,"Raises the likelihood of
meeting wild Pokémon."
36,5,9,Copies special ability.
36,6,9,Copies special ability.
36,7,9,Copies special ability.
36,8,9,"The Pokémon copies the
foe’s ability."
36,9,9,"The Pokémon copies the
foe’s ability."
36,10,9,"The Pokémon copies the
foe’s ability."
36,11,5,"Imite la capacité spéciale
de l’ennemi."
36,11,9,"The Pokémon copies a
foe’s Ability."
36,14,9,"The Pokémon copies a
foe’s Ability."
37,5,9,Raises ATTACK.
37,6,9,Raises ATTACK.
37,7,9,Raises ATTACK.
37,8,9,"Raises the Pokémon’s
Attack stat."
37,9,9,"Raises the Pokémon’s
Attack stat."
37,10,9,"Raises the Pokémon’s
Attack stat."
37,11,5,"Augmente l’Attaque du
Pokémon."
37,11,9,"Raises the Pokémon’s
Attack stat."
37,14,9,"Raises the Pokémon’s
Attack stat."
38,5,9,Poisons foe on contact.
38,6,9,Poisons foe on contact.
38,7,9,Poisons foe on contact.
38,8,9,"Contact with the Pokémon
may poison the foe."
38,9,9,"Contact with the Pokémon
may poison the foe."
38,10,9,"Contact with the Pokémon
may poison the foe."
38,11,5,"Peut empoisonner l’ennemi
s’il y a contact."
38,11,9,"Contact with the Pokémon
may poison the attacker."
38,14,9,"Contact with the Pokémon
may poison the attacker."
39,5,9,Prevents flinching.
39,6,9,Prevents flinching.
39,7,9,Prevents flinching.
39,8,9,"The Pokémon is protected
from flinching."
39,9,9,"The Pokémon is protected
from flinching."
39,10,9,"The Pokémon is protected
from flinching."
39,11,5,"Empêche le Pokémon
d’avoir peur."
39,11,9,"The Pokémon is protected
from flinching."
39,14,9,"The Pokémon is protected
from flinching."
40,5,9,Prevents freezing.
40,6,9,Prevents freezing.
40,7,9,Prevents freezing.
40,8,9,"Prevents the Pokémon
from becoming frozen."
40,9,9,"Prevents the Pokémon
from becoming frozen."
40,10,9,"Prevents the Pokémon
from becoming frozen."
40,11,5,"Protège le Pokémon
contre le gel."
40,11,9,"Prevents the Pokémon
from becoming frozen."
40,14,9,"Prevents the Pokémon
from becoming frozen."
41,5,9,Prevents burns.
41,6,9,Prevents burns.
41,7,9,Prevents burns.
41,8,9,"Prevents the Pokémon
from getting a burn."
41,9,9,"Prevents the Pokémon
from getting a burn."
41,10,9,"Prevents the Pokémon
from getting a burn."
41,11,5,"Protège le Pokémon
des brûlures."
41,11,9,"Prevents the Pokémon
from getting a burn."
41,14,9,"Prevents the Pokémon
from getting a burn."
42,5,9,Traps STEEL-type POKéMON.
42,6,9,Traps STEEL-type POKéMON.
42,7,9,Traps STEEL-type POKéMON.
42,8,9,"Prevents Steel-type
Pokémon from escaping."
42,9,9,"Prevents Steel-type
Pokémon from escaping."
42,10,9,"Prevents Steel-type
Pokémon from escaping."
42,11,5,"Empêche les Pokémon Acier
de fuir."
42,11,9,"Prevents Steel-type
Pokémon from escaping."
42,14,9,"Prevents Steel-type
Pokémon from escaping."
43,5,9,Avoids sound-based moves.
43,6,9,Avoids sound-based moves.
43,7,9,Avoids sound-based moves.
43,8,9,"Gives full immunity to all
sound-based moves."
43,9,9,"Gives full immunity to all
sound-based moves."
43,10,9,"Gives full immunity to all
sound-based moves."
43,11,5,"Protège de toutes les
capacités sonores."
43,11,9,"Gives full immunity to all
sound-based moves."
43,14,9,"Gives full immunity to all
sound-based moves."
44,5,9,Slight HP recovery in rain.
44,6,9,Slight HP recovery in rain.
44,7,9,Slight HP recovery in rain.
44,8,9,"The Pokémon gradually
recovers HP in rain."
44,9,9,"The Pokémon gradually
recovers HP in rain."
44,10,9,"The Pokémon gradually
recovers HP in rain."
44,11,5,"Récupère progressivement
des PV par temps de pluie."
44,11,9,"The Pokémon gradually
regains HP in rain."
44,14,9,"The Pokémon gradually
regains HP in rain."
45,5,9,Summons a sandstorm.
45,6,9,Summons a sandstorm.
45,7,9,Summons a sandstorm.
45,8,9,"The Pokémon summons a
sandstorm in battle."
45,9,9,"The Pokémon summons a
sandstorm in battle."
45,10,9,"The Pokémon summons a
sandstorm in battle."
45,11,5,"Le Pokémon invoque une
tempête de sable."
45,11,9,"The Pokémon summons a
sandstorm in battle."
45,14,9,"The Pokémon summons a
sandstorm in battle."
46,5,9,Raises foe’s PP usage.
46,6,9,Raises foe’s PP usage.
46,7,9,Raises foe’s PP usage.
46,8,9,"The Pokémon raises the
foe’s PP usage."
46,9,9,"The Pokémon raises the
foe’s PP usage."
46,10,9,"The Pokémon raises the
foe’s PP usage."
46,11,5,"Force l’ennemi à
dépenser plus de PP."
46,11,9,"The Pokémon raises the
foe’s PP usage."
46,14,9,"The Pokémon raises the
foe’s PP usage."
47,5,9,Heat-and-cold protection.
47,6,9,Heat-and-cold protection.
47,7,9,Heat-and-cold protection.
47,8,9,"Raises resistance to Fire-​
and Ice-type moves."
47,9,9,"Raises resistance to Fire-​
and Ice-type moves."
47,10,9,"Ups resistance to Fire-​
and Ice-type moves."
47,11,5,"Augmente la résistance
aux cap. Feu et Glace."
47,11,9,"Ups resistance to Fire-
and Ice-type moves."
47,14,9,"Ups resistance to Fire-
and Ice-type moves."
48,5,9,Awakens quickly from sleep.
48,6,9,Awakens quickly from sleep.
48,7,9,Awakens quickly from sleep.
48,8,9,"The Pokémon awakens
quickly from sleep."
48,9,9,"The Pokémon awakens
quickly from sleep."
48,10,9,"The Pokémon awakens
quickly from sleep."
48,11,5,"Le Pokémon se réveille
plus rapidement."
48,11,9,"The Pokémon awakens
quickly from sleep."
48,14,9,"The Pokémon awakens
quickly from sleep."
49,5,9,Burns the foe on contact.
49,6,9,Burns the foe on contact.
49,7,9,Burns the foe on contact.
49,8,9,"Contact with the Pokémon
may burn the foe."
49,9,9,"Contact with the Pokémon
may burn the foe."
49,10,9,"Contact with the Pokémon
may burn the foe."
49,11,5,"Peut brûler l’ennemi s’il y
a contact."
49,11,9,"Contact with the Pokémon
may burn the attacker."
49,14,9,"Contact with the Pokémon
may burn the attacker."
50,5,9,Makes escaping easier.
50,6,9,Makes escaping easier.
50,7,9,Makes escaping easier.
50,8,9,"Enables sure getaway from
wild Pokémon."
50,9,9,"Enables sure getaway from
wild Pokémon."
50,10,9,"Enables sure getaway
from wild Pokémon."
50,11,5,"Permet de fuir n’importe
quel Pokémon sauvage."
50,11,9,"Enables a sure getaway
from wild Pokémon."
50,14,9,"Enables a sure getaway
from wild Pokémon."
51,5,9,Prevents loss of accuracy.
51,6,9,Prevents loss of accuracy.
51,7,9,Prevents loss of accuracy.
51,8,9,"Prevents the Pokémon
from losing accuracy."
51,9,9,"Prevents the Pokémon
from losing accuracy."
51,10,9,"Prevents the Pokémon
from losing accuracy."
51,11,5,"Empêche le Pokémon de
perdre en Précision."
51,11,9,"Prevents other Pokémon
from lowering accuracy."
51,14,9,"Prevents other Pokémon
from lowering accuracy."
52,5,9,Prevents ATTACK reduction.
52,6,9,Prevents ATTACK reduction.
52,7,9,Prevents ATTACK reduction.
52,8,9,"Prevents the Attack stat
from being lowered."
52,9,9,"Prevents the Attack stat
from being lowered."
52,10,9,"Prevents the Attack
stat from being lowered."
52,11,5,"Empêche la réduction de
l’Attaque."
52,11,9,"Prevents other Pokémon
from lowering Attack stat."
52,14,9,"Prevents other Pokémon
from lowering Attack stat."
53,5,9,May pick up items.
53,6,9,May pick up items.
53,7,9,May pick up items.
53,8,9,"The Pokémon may pick up
items."
53,9,9,"The Pokémon may pick up
items."
53,10,9,"The Pokémon may
pick up items."
53,11,5,"Permet parfois au Pokémon
de ramasser des objets."
53,11,9,"The Pokémon may
pick up items."
53,14,9,"The Pokémon may
pick up items."
54,5,9,Moves only every two turns.
54,6,9,Moves only every two turns.
54,7,9,Moves only every two turns.
54,8,9,"The Pokémon can’t attack
on consecutive turns."
54,9,9,"The Pokémon can’t attack
on consecutive turns."
54,10,9,"Pokémon can’t attack
on consecutive turns."
54,11,5,"Le Pokémon ne frappe
qu’un tour sur deux."
54,11,9,"Pokémon can’t attack
on consecutive turns."
54,14,9,"Pokémon can’t attack
on consecutive turns."
55,5,9,Trades accuracy for power.
55,6,9,Trades accuracy for power.
55,7,9,Trades accuracy for power.
55,8,9,"Boosts the Attack stat,
but lowers accuracy."
55,9,9,"Boosts the Attack stat,
but lowers accuracy."
55,10,9,"Boosts the Attack stat,
but lowers accuracy."
55,11,5,"Améliore l’Attaque mais
diminue la Précision."
55,11,9,"Boosts the Attack stat,
but lowers accuracy."
55,14,9,"Boosts the Attack stat,
but lowers accuracy."
56,5,9,Infatuates on contact.
56,6,9,Infatuates on contact.
56,7,9,Infatuates on contact.
56,8,9,"Contact with the Pokémon
may cause infatuation."
56,9,9,"Contact with the Pokémon
may cause infatuation."
56,10,9,"Contact with the Pokémon
may cause infatuation."
56,11,5,"Séduit parfois l’ennemi
au contact."
56,11,9,"Contact with the Pokémon
may cause infatuation."
56,14,9,"Contact with the Pokémon
may cause infatuation."
57,5,9,Powers up with MINUS.
57,6,9,Powers up with MINUS.
57,7,9,Powers up with MINUS.
57,8,9,"Boosts Sp. Atk if another
Pokémon has Minus."
57,9,9,"Boosts Sp. Atk if another
Pokémon has Minus."
57,10,9,"Ups Sp. Atk if another
Pokémon has Minus."
57,11,5,"Augmente l’Atq. Spé. si un
Pokémon a Minus ou Plus."
57,11,9,"Ups Sp. Atk if another
Pokémon has Plus or Minus."
57,14,9,"Ups Sp. Atk if another
Pokémon has Plus or Minus."
58,5,9,Powers up with PLUS.
58,6,9,Powers up with PLUS.
58,7,9,Powers up with PLUS.
58,8,9,"Boosts Sp. Atk if another
Pokémon has Plus."
58,9,9,"Boosts Sp. Atk if another
Pokémon has Plus."
58,10,9,"Ups Sp. Atk if another
Pokémon has Plus."
58,11,5,"Augmente l’Atq. Spé. si un
Pokémon a Minus ou Plus."
58,11,9,"Ups Sp. Atk if another
Pokémon has Plus or Minus."
58,14,9,"Ups Sp. Atk if another
Pokémon has Plus or Minus."
59,5,9,Changes with the weather.
59,6,9,Changes with the weather.
59,7,9,Changes with the weather.
59,8,9,"CASTFORM transforms with
the weather."
59,9,9,"CASTFORM transforms with
the weather."
59,10,9,"CASTFORM transforms with
the weather."
59,11,5,"Morphéo change de forme
selon le climat."
59,11,9,"Castform transforms with
the weather."
59,14,9,"Castform transforms with
the weather."
60,5,9,Prevents item theft.
60,6,9,Prevents item theft.
60,7,9,Prevents item theft.
60,8,9,"Protects the Pokémon
from item theft."
60,9,9,"Protects the Pokémon
from item theft."
60,10,9,"Protects the Pokémon
from item theft."
60,11,5,"Fait s’agripper à l’objet
pour en empêcher le vol."
60,11,9,"Protects the Pokémon
from item theft."
60,14,9,"Protects the Pokémon
from item theft."
61,5,9,Heals the body by shedding.
61,6,9,Heals the body by shedding.
61,7,9,Heals the body by shedding.
61,8,9,"The Pokémon may heal its
own status problems."
61,9,9,"The Pokémon may heal its
own status problems."
61,10,9,"The Pokémon may heal its
own status problems."
61,11,5,"Le Pokémon soigne parfois
ses problèmes de statut."
61,11,9,"The Pokémon may heal its
own status problems."
61,14,9,"The Pokémon may heal its
own status problems."
62,5,9,Ups ATTACK if suffering.
62,6,9,Ups ATTACK if suffering.
62,7,9,Ups ATTACK if suffering.
62,8,9,"Boosts Attack if there is
a status problem."
62,9,9,"Boosts Attack if there is
a status problem."
62,10,9,"Boosts Attack if there is
a status problem."
62,11,5,"Augmente l’Attaque s’il y
a un problème de statut."
62,11,9,"Boosts Attack if there is
a status problem."
62,14,9,"Boosts Attack if there is
a status problem."
63,5,9,Ups DEFENSE if suffering.
63,6,9,Ups DEFENSE if suffering.
63,7,9,Ups DEFENSE if suffering.
63,8,9,"Boosts Defense if there is
a status problem."
63,9,9,"Boosts Defense if there is
a status problem."
63,10,9,"Ups Defense if there is
a status problem."
63,11,5,"Augmente la Défense s’il y
a un problème de statut."
63,11,9,"Ups Defense if there is
a status problem."
63,14,9,"Ups Defense if there is
a status problem."
64,5,9,Draining causes injury.
64,6,9,Draining causes injury.
64,7,9,Draining causes injury.
64,8,9,"Inflicts damage on foes
using any draining move."
64,9,9,"Inflicts damage on foes
using any draining move."
64,10,9,"Inflicts damage on foes
using any draining move."
64,11,5,"Blesse l’ennemi qui draine
l’énergie du Pokémon."
64,11,9,"Damages attackers
using any draining move."
64,14,9,"Damages attackers
using any draining move."
65,5,9,Ups GRASS moves in a pinch.
65,6,9,Ups GRASS moves in a pinch.
65,7,9,Ups GRASS moves in a pinch.
65,8,9,"Powers up Grass-type
moves in a pinch."
65,9,9,"Powers up Grass-type
moves in a pinch."
65,10,9,"Powers up Grass-type
moves in a pinch."
65,11,5,"Booste les capacités
Plante en cas de besoin."
65,11,9,"Powers up Grass-type
moves in a pinch."
65,14,9,"Powers up Grass-type
moves in a pinch."
66,5,9,Ups FIRE moves in a pinch.
66,6,9,Ups FIRE moves in a pinch.
66,7,9,Ups FIRE moves in a pinch.
66,8,9,"Powers up Fire-type
moves in a pinch."
66,9,9,"Powers up Fire-type
moves in a pinch."
66,10,9,"Powers up Fire-type
moves in a pinch."
66,11,5,"Booste les capacités
Feu en cas de besoin."
66,11,9,"Powers up Fire-type
moves in a pinch."
66,14,9,"Powers up Fire-type
moves in a pinch."
67,5,9,Ups WATER moves in a pinch.
67,6,9,Ups WATER moves in a pinch.
67,7,9,Ups WATER moves in a pinch.
67,8,9,"Powers up Water-type
moves in a pinch."
