location_id,local_language_id,name,subtitle
52,5,Route 222,
52,9,Route 222,
53,5,Route 224,
53,9,Route 224,
54,5,Route 225,
54,9,Route 225,
55,5,Route 227,
55,9,Route 227,
56,5,Route 228,
56,9,Route 228,
57,5,Route 229,
57,9,Route 229,
58,5,Bonaugure,
58,9,Twinleaf Town,
59,5,Célestia,
59,9,Celestic Town,
60,5,Aire de Détente,
60,9,Resort Area,
61,5,Chenal 220,
61,9,Sea Route 220,
62,5,Chenal 223,
62,9,Sea Route 223,
63,5,Chenal 226,
63,9,Sea Route 226,
64,5,Chenal 230,
64,9,Sea Route 230,
65,5,Ebènelle,
65,9,Blackthorn City,
66,5,Tour Cendrée,
66,9,Burned Tower,
67,1,タマムシシティ,
67,3,무지개시티,
67,4,玉虹市,
67,5,Céladopole,
67,6,Prismania City,
67,7,Ciudad Azulona,
67,8,Azzurropoli,
67,9,Celadon City,
67,11,タマムシシティ,
67,12,玉虹市,
68,1,ハナダシティ,
68,3,블루시티,
68,4,華藍市,
68,5,Azuria,
68,6,Azuria City,
68,7,Ciudad Celeste,
68,8,Celestopoli,
68,9,Cerulean City,
68,11,ハナダシティ,
68,12,华蓝市,
69,5,Ville Griotte,
69,9,Cherrygrove City,
70,5,Irisia,
70,9,Cianwood City,
71,1,グレンタウン,
71,3,홍련마을,
71,4,紅蓮鎮,
71,5,Cramois’Île,
71,6,Zinnoberinsel,
71,7,Isla Canela,
71,8,Isola Cannella,
71,9,Cinnabar Island,
71,11,グレンタウン,
71,12,红莲镇,
72,5,Antre Noir,
72,9,Dark Cave,
73,1,ディグダのあな,
73,3,디그다의 굴,
73,4,地鼠洞穴,
73,5,Grotte Taupiqueur,
73,6,Digda-Höhle,
73,7,Cueva Diglett,
73,8,Grotta Diglett,
73,9,Diglett’s Cave,
73,11,ディグダの穴,
73,12,地鼠洞穴,
74,5,Antre du Dragon,
74,9,Dragon's Den,
75,5,Rosalia,
75,9,Ecruteak City,
76,1,セキチクシティ,
76,3,연분홍시티,
76,4,淺紅市,
76,5,Parmanie,
76,6,Fuchsania City,
76,7,Ciudad Fucsia,
76,8,Fucsiapoli,
76,9,Fuchsia City,
76,11,セキチクシティ,
76,12,浅红市,
77,5,Route de Glace,
77,9,Ice Path,
78,5,Bois aux Chênes,
78,9,Ilex Forest,
79,5,Lac Colère,
79,9,Lake of Rage,
80,1,オツキミやま,
80,3,달맞이산,
80,4,月見山,
80,5,Mont Sélénite,
80,6,Mondberg,
80,7,Monte Moon,
80,8,Monte Luna,
80,9,Mt. Moon,
80,11,お月見山,
80,12,月见山,
81,5,Mont Creuset,
81,9,Mt. Mortar,
82,5,Mont Argenté,
82,9,Mt. Silver,
83,5,Parc Naturel,
83,9,National Park,
84,5,Bourg Geon,
84,9,New Bark Town,
85,5,Oliville,
85,9,Olivine City,
86,1,マサラタウン,
86,3,태초마을,
86,4,真新鎮,
86,5,Bourg Palette,
86,6,Alabastia,
86,7,Pueblo Paleta,
86,8,Biancavilla,
86,9,Pallet Town,
86,11,マサラタウン,
86,12,真新镇,
87,1,イワヤマトンネル,
87,3,돌산터널,
87,4,岩山隧道,
87,5,Grotte Sombre,
87,6,Felstunnel,
87,7,Túnel Roca,
87,8,Tunnel Roccioso,
87,9,Rock Tunnel,
87,11,イワヤマトンネル,
87,12,岩山隧道,
88,1,１ばんどうろ,
88,3,1번도로,
88,4,１號道路,
88,5,Route 1,
88,6,Route 1,
88,7,Ruta 1,
88,8,Percorso 1,
88,9,Route 1,
88,11,１番道路,
88,12,１号道路,
89,1,１０ばんどうろ,
89,3,10번도로,
89,4,10號道路,
89,5,Route 10,
89,6,Route 10,
89,7,Ruta 10,
89,8,Percorso 10,
89,9,Route 10,
89,11,１０番道路,
89,12,10号道路,
90,1,１１ばんどうろ,
90,3,11번도로,
90,4,11號道路,
90,5,Route 11,
90,6,Route 11,
90,7,Ruta 11,
90,8,Percorso 11,
90,9,Route 11,
90,11,１１番道路,
90,12,11号道路,
91,1,１２ばんどうろ,
91,3,12번도로,
91,4,12號道路,
91,5,Route 12,
91,6,Route 12,
91,7,Ruta 12,
91,8,Percorso 12,
91,9,Route 12,
91,11,１２番道路,
91,12,12号道路,
92,1,１３ばんどうろ,
92,3,13번도로,
92,4,13號道路,
92,5,Route 13,
92,6,Route 13,
92,7,Ruta 13,
92,8,Percorso 13,
92,9,Route 13,
92,11,１３番道路,
92,12,13号道路,
93,1,１４ばんどうろ,
93,3,14번도로,
93,4,14號道路,
93,5,Route 14,
93,6,Route 14,
93,7,Ruta 14,
93,8,Percorso 14,
93,9,Route 14,
93,11,１４番道路,
93,12,14号道路,
94,1,１５ばんどうろ,
94,3,15번도로,
94,4,15號道路,
94,5,Route 15,
94,6,Route 15,
94,7,Ruta 15,
94,8,Percorso 15,
94,9,Route 15,
94,11,１５番道路,
94,12,15号道路,
95,1,１６ばんどうろ,
95,3,16번도로,
95,4,16號道路,
95,5,Route 16,
95,6,Route 16,
95,7,Ruta 16,
95,8,Percorso 16,
95,9,Route 16,
95,11,１６番道路,
95,12,16号道路,
96,1,１７ばんどうろ,
96,3,17번도로,
96,4,17號道路,
96,5,Route 17,
96,6,Route 17,
96,7,Ruta 17,
96,8,Percorso 17,
96,9,Route 17,
96,11,１７番道路,
96,12,17号道路,
97,1,１８ばんどうろ,
97,3,18번도로,
97,4,18號道路,
97,5,Route 18,
97,6,Route 18,
97,7,Ruta 18,
97,8,Percorso 18,
97,9,Route 18,
97,11,１８番道路,
97,12,18号道路,
98,1,１９ばんすいどう,
98,3,19번수로,
98,4,19號水路,
98,5,Chenal 19,
98,6,Route 19 (Wasserweg),
98,7,Ruta 19,
98,8,Percorso 19,
98,9,Route 19,
98,11,１９番水道,
98,12,19号水路,
99,1,２ばんどうろ,
99,3,2번도로,
99,4,２號道路,
99,5,Route 2,
99,6,Route 2,
99,7,Ruta 2,
99,8,Percorso 2,
99,9,Route 2,
99,11,２番道路,
99,12,２号道路,
100,1,２０ばんすいどう,
100,3,20번수로,
100,4,20號水路,
100,5,Chenal 20,
100,6,Route 20 (Wasserweg),
100,7,Ruta 20,
100,8,Percorso 20,
100,9,Route 20,
100,11,２０番水道,
100,12,20号水路,
101,1,２１ばんすいどう,
101,3,21번수로,
101,4,21號水路,
101,5,Chenal 21,
101,6,Route 21 (Wasserweg),
101,7,Ruta 21,
101,8,Percorso 21,
101,9,Route 21,
101,11,２１番水道,
101,12,21号水路,
102,1,２２ばんどうろ,
102,3,22번도로,
102,4,22號道路,
102,5,Route 22,
102,6,Route 22,
102,7,Ruta 22,
102,8,Percorso 22,
102,9,Route 22,
102,11,２２番道路,
102,12,22号道路,
103,1,２４ばんどうろ,
103,3,24번도로,
103,4,24號道路,
103,5,Route 24,
103,6,Route 24,
103,7,Ruta 24,
103,8,Percorso 24,
103,9,Route 24,
103,11,２４番道路,
103,12,24号道路,
104,1,２５ばんどうろ,
104,3,25번도로,
104,4,25號道路,
104,5,Route 25,
104,6,Route 25,
104,7,Ruta 25,
104,8,Percorso 25,
104,9,Route 25,
104,11,２５番道路,
104,12,25号道路,
105,5,Route 26,
105,9,Route 26,
106,5,Route 27,
106,9,Route 27,
107,5,Route 28,
107,9,Route 28,
108,5,Route 29,
108,9,Route 29,
109,1,３ばんどうろ,
109,3,3번도로,
109,4,３號道路,
109,5,Route 3,
109,6,Route 3,
109,7,Ruta 3,
109,8,Percorso 3,
109,9,Route 3,
109,11,３番道路,
109,12,３号道路,
110,5,Route 30,
110,9,Route 30,
111,5,Route 31,
111,9,Route 31,
112,5,Route 32,
112,9,Route 32,
113,5,Route 33,
113,9,Route 33,
114,5,Route 34,
114,9,Route 34,
115,5,Route 35,
115,9,Route 35,
116,5,Route 36,
116,9,Route 36,
117,5,Route 37,
117,9,Route 37,
118,5,Route 38,
118,9,Route 38,
119,5,Route 39,
119,9,Route 39,
120,1,４ばんどうろ,
120,3,4번도로,
120,4,４號道路,
120,5,Route 4,
120,6,Route 4,
120,7,Ruta 4,
120,8,Percorso 4,
120,9,Route 4,
120,11,４番道路,
120,12,４号道路,
121,5,Chenal 40,
121,9,Sea Route 40,
122,5,Chenal 41,
122,9,Sea Route 41,
123,5,Route 42,
123,9,Route 42,
124,5,Route 43,
124,9,Route 43,
125,5,Route 44,
125,9,Route 44,
126,5,Route 45,
126,9,Route 45,
127,5,Route 46,
127,9,Route 46,
128,5,Route 47,
128,9,Route 47,
129,5,Route 48,
129,9,Route 48,
130,1,５ばんどうろ,
130,3,5번도로,
130,4,５號道路,
130,5,Route 5,
130,6,Route 5,
130,7,Ruta 5,
130,8,Percorso 5,
130,9,Route 5,
130,11,５番道路,
130,12,５号道路,
131,1,６ばんどうろ,
131,3,6번도로,
131,4,６號道路,
131,5,Route 6,
131,6,Route 6,
131,7,Ruta 6,
131,8,Percorso 6,
131,9,Route 6,
131,11,６番道路,
131,12,６号道路,
132,1,７ばんどうろ,
132,3,7번도로,
132,4,７號道路,
132,5,Route 7,
132,6,Route 7,
132,7,Ruta 7,
132,8,Percorso 7,
132,9,Route 7,
132,11,７番道路,
132,12,７号道路,
133,1,８ばんどうろ,
133,3,8번도로,
133,4,８號道路,
133,5,Route 8,
133,6,Route 8,
133,7,Ruta 8,
133,8,Percorso 8,
133,9,Route 8,
133,11,８番道路,
133,12,８号道路,
134,1,９ばんどうろ,
134,3,9번도로,
134,4,９號道路,
134,5,Route 9,
134,6,Route 9,
134,7,Ruta 9,
134,8,Percorso 9,
134,9,Route 9,
134,11,９番道路,
134,12,９号道路,
135,5,Ruines d'Alpha,
135,9,Ruins of Alph,
136,1,ふたごじま,
136,3,쌍둥이섬,
136,4,雙子島,
136,5,Îles Écume,
136,6,Seeschauminseln,
136,7,Islas Espuma,
136,8,Isole Spumarine,
136,9,Seafoam Islands,
136,11,双子島,
136,12,双子岛,
137,5,Puits RAMOLOSS,
137,9,Slowpoke Well,
138,5,Tour CHETIFLOR,
138,9,Sprout Tower,
139,5,Tour Carillon,
139,9,Bell Tower,
140,5,Chutes Tohjo,
140,9,Tohjo Falls,
141,5,Caves Jumelles,
141,9,Union Cave,
147,1,ハナダのどうくつ,
147,3,블루시티동굴,
147,4,華藍洞窟,
147,5,Caverne Azurée,
147,6,Azuria-Höhle,
147,7,Cueva Celeste,
147,8,Grotta Celeste,
147,9,Cerulean Cave,
147,11,ハナダの洞窟,
147,12,华蓝洞窟,
148,5,Inconnu; que des Ptitard,
148,9,Unknown; all Poliwag,
149,5,Inconnu; que des Rattata,
149,9,Unknown; all Rattata,
150,5,Inconnu; que des insectes,
150,9,Unknown; all bugs,
151,1,クチバシティ,
151,3,갈색시티,
151,4,枯葉市,
151,5,Carmin sur Mer,
151,6,Orania City,
151,7,Ciudad Carmín,
151,8,Aranciopoli,
151,9,Vermilion City,
151,11,クチバシティ,
151,12,枯叶市,
152,5,Route Victoire,
152,9,Victory Road,
153,5,Mauville,
153,9,Violet City,
154,1,トキワシティ,
154,3,상록시티,
154,4,常青市,
154,5,Jadielle,
154,6,Vertania City,
154,7,Ciudad Verde,
154,8,Smeraldopoli,
154,9,Viridian City,
154,11,トキワシティ,
154,12,常青市,
155,1,トキワのもり,
155,3,상록숲,
155,4,常青森林,
155,5,Forêt de Jade,
155,6,Vertania-Wald,
155,7,Bosque Verde,
155,8,Bosco Smeraldo,
155,9,Viridian Forest,
155,11,トキワの森,
155,12,常青森林,
156,5,Tourb'Iles,
156,9,Whirl Islands,
157,1,２３ばんどうろ,
157,3,23번도로,
157,4,23號道路,
157,5,Route 23,
157,6,Route 23,
157,7,Ruta 23,
157,8,Percorso 23,
157,9,Route 23,
157,11,２３番道路,
157,12,23号道路,
158,1,むじんはつでんしょ,
158,3,무인발전소,
158,4,無人發電廠,
158,5,Centrale abandonnée,
158,6,Kraftwerk,
158,7,Central de Energía,
158,8,Centrale Elettrica,
158,9,Power Plant,
158,11,無人発電所,
158,12,无人发电厂,
159,1,チャンピオンロード,
159,3,챔피언로드,
159,4,冠軍之路,
159,5,Route Victoire,
159,6,Siegesstraße,
159,7,Calle Victoria,
159,8,Via Vittoria,
159,9,Victory Road,
159,11,チャンピオンロード,
159,12,冠军之路,
160,1,ポケモンタワー,
160,3,포켓몬타워,
160,4,寶可夢塔,
160,5,Tour Pokémon,
160,6,Pokémon-Turm,
160,7,Torre Pokémon,
160,8,Torre Pokémon,
160,9,Pokémon Tower,
160,11,ポケモンタワー,
160,12,宝可梦塔,
161,1,ポケモンやしき,
161,3,포켓몬저택,
161,4,寶可夢屋,
161,5,Manoir Pokémon,
161,6,Pokémon-Villa,
161,7,Mansión Pokémon,
161,8,Villa Pokémon,
161,9,Pokémon Mansion,
161,11,ポケモン屋敷,
161,12,宝可梦屋,
162,5,Parc Safari,
162,9,Safari Zone,
163,5,Littorella,
163,9,Sandgem Town,
164,5,Floraville,
164,9,Floaroma Town,
165,5,Bonville,
165,9,Solaceon Town,
167,5,Féli-Cité,
167,9,Jubilife City,
168,5,Charbourg,
168,9,Oreburgh City,
169,5,Unionpolis,
169,9,Hearthome City,
170,5,Voilaroc,
170,9,Veilstone City,
171,5,Frimapic,
171,9,Snowpoint City,
172,5,Colonnes Lances,
172,9,Spear Pillar,
173,5,Parc des Amis,
173,9,Pal Park,
174,5,Square Paisible,
174,9,Amity Square,
175,5,Pré Floraville,
175,9,Floaroma Meadow,
177,5,Ile Pleine Lune,
177,9,Fullmoon Island,
178,5,Source Adieu,
178,9,Sendoff Spring,
179,5,Paradis Fleuri,
179,9,Flower Paradise,
180,5,Tunnel Runiem.,
180,9,Maniac Tunnel,
181,5,QG Galaxie,
181,9,Galactic HQ,
182,5,Rive Lac Vérité,
182,9,Verity Lakefront,
183,5,Ile Nouvellelune,
183,9,Newmoon Island,
184,5,Tour de Combat,
184,9,Battle Tower,
185,5,Aire de Combat,
185,9,Fight Area,
186,5,Aire de Survie,
186,9,Survival Area,
187,5,Passage Marin,
187,9,Seabreak Path,
188,5,Salle Originelle,
188,9,Hall of Origin,
189,5,Salle Originelle,
189,9,Hall of Origin,
190,5,Caverne Vérité,
190,9,Verity Cavern,
191,5,Caverne Courage,
191,9,Valor Cavern,
192,5,Caverne Savoir,
192,9,Acuity Cavern,
193,5,Féli-Télé,
193,9,Jubilife TV,
194,5,Pokémontre S.A.,
194,9,Pokétch Co.,
195,5,GTS,
195,9,GTS,
196,5,Ecole Dresseurs,
196,9,Trainers’ School,
197,5,Musée Minier,
197,9,Mining Museum,
198,5,Fleuriste,
198,9,Flower Shop,
199,5,Boutique de Vélo,
199,9,Cycle Shop,
200,5,Salle Concours,
200,9,Contest Hall,
201,5,Poffinerie,
201,9,Poffin House,
202,5,Bâtiment Etrange,
202,9,Foreign Building,
203,5,Pension Pokémon,
203,9,Pokémon Day Care,
204,5,C. Com. Voilaroc,
204,9,Veilstone Store,
205,5,Casino,
205,9,Game Corner,
206,5,Bibl. Joliberges,
206,9,Canalave Library,
207,5,Phare Panorama,
207,9,Vista Lighthouse,
208,5,Marché Rivamar,
208,9,Sunyshore Market,
209,5,Abri Petitpas,
209,9,Footstep House,
210,5,Café,
210,9,Café,
211,5,Grand Lac,
211,9,Grand Lake,
212,5,Restaurant,
212,9,Restaurant,
213,5,Parc des Combats,
213,9,Battle Park,
214,5,Zone de Combat,
214,9,Battle Frontier,
215,5,Usine de Combat,
215,9,Battle Factory,
216,5,Castel de Combat,
216,9,Battle Castle,
217,5,Arcade de Combat,
217,9,Battle Arcade,
218,5,Scène de Combat,
218,9,Battle Hall,
219,5,Monde Distorsion,
219,9,Distortion World,
220,5,Terminal Mondial,
220,9,Global Terminal,
221,5,Villa,
221,9,Villa,
222,5,Café Combats,
222,9,Battleground,
223,5,Salle MOTISMA,
223,9,ROTOM's Room,
224,5,Team G Vestigion,
224,9,T.G. Eterna Bldg,
225,5,Ruines de Fer,
225,9,Iron Ruins,
226,5,Ruines Iceberg,
226,9,Iceberg Ruins,
227,5,Ruines Pic Roche,
227,9,Rock Peak Ruins,
228,5,Ecorcia,
228,9,Azalea Town,
229,5,Doublonville,
229,9,Goldenrod City,
230,5,Acajou,
230,9,Mahogany Town,
231,1,ニビシティ,
231,3,회색시티,
231,4,深灰市,
231,5,Argenta,
231,6,Marmoria City,
231,7,Ciudad Plateada,
231,8,Plumbeopoli,
231,9,Pewter City,
231,11,ニビシティ,
231,12,深灰市,
232,1,シオンタウン,
232,3,보라타운,
232,4,紫苑鎮,
232,5,Lavanville,
232,6,Lavandia,
232,7,Pueblo Lavanda,
232,8,Lavandonia,
232,9,Lavender Town,
232,11,シオンタウン,
232,12,紫苑镇,
233,1,セキエイこうげん,
233,3,석영고원,
233,4,石英高原,
233,5,Plateau Indigo,
233,6,Indigo-Plateau,
233,7,Meseta Añil,
233,8,Altopiano Blu,
233,9,Indigo Plateau,
233,11,セキエイ高原,
233,12,石英高原,
234,1,ヤマブキシティ,
234,3,노랑시티,
234,4,金黃市,
234,5,Safrania,
234,6,Saffronia City,
234,7,Ciudad Azafrán,
234,8,Zafferanopoli,
234,9,Saffron City,
234,11,ヤマブキシティ,
234,12,金黄市,
236,5,Phare,
236,9,Lighthouse,
237,5,Repaire Rocket d'Acajou,
237,9,Team Rocket HQ,
238,5,Doublon-Tunnel,
238,9,Goldenrod Tunnel,
239,5,Grotte Argentée,
239,9,Mt. Silver Cave,
241,5,Dôme Pokéathlon,
241,9,Pokéathlon Dome,
242,5,Aquaria,
242,9,S.S. Aqua,
243,5,Portail Safari,
243,9,Safari Zone Gate,
244,5,Grotte Falaise,
244,9,Cliff Cave,
245,5,Atrium Combat,
245,9,Frontier Access,
246,5,Sentier Carillon,
246,9,Bellchime Trail,
247,5,Ruines Sinjoh,
247,9,Sinjoh Ruins,
248,5,Tour Enfouie,
248,9,Embedded Tower,
249,5,Pokéwalker,
249,9,Pokéwalker,
250,5,Portail Falaise,
250,9,Cliff Edge Gate,
252,5,Tour Radio,
252,9,Radio Tower,
253,5,Couple Pension,
253,9,Day-Care Couple,
254,5,Echange Link,
254,9,Link trade (arrive),
255,5,Echange Link,
255,9,Link trade (met),
256,5,Kanto,
256,9,Kanto,
257,5,Johto,
257,9,Johto,
258,5,Hoenn,
258,9,Hoenn,
259,5,Sinnoh,
259,9,Sinnoh,
260,5,Pays lointain,
260,9,Distant land,
261,5,un voyageur,
261,9,Traveling Man,
262,5,Armand,
262,9,Riley,
263,5,Cynthia,
263,9,Cynthia,
264,1,なぞのばしょ,
264,3,수수께끼의 장소,
264,4,神秘的地方,
264,5,Endroit mystérieux,
264,6,Mysteriöser Ort,
264,7,Lugar misterioso,
264,8,Zona misteriosa,
264,9,Mystery Zone,
264,11,なぞの場所,
264,12,神秘的地方,
265,5,Endroit superbe,
265,9,Lovely place,
266,5,Pokémon Ranger,
266,9,Pokémon Ranger,
267,1,とおいばしょ,
267,3,먼 곳,
267,4,遙遠的地方,
267,5,Endroit lointain,
267,6,Ferner Ort,
267,7,Lugar lejano,
267,8,Luogo remoto,
267,9,Faraway place,
267,11,遠い場所,
267,12,遥远的地方,
268,5,Film Pokémon,
268,9,Pokémon Movie,
269,5,Film Pokémon 06,
269,9,Pokémon Movie 06,
270,5,Film Pokémon 07,
270,9,Pokémon Movie 07,
271,5,Film Pokémon 08,
271,9,Pokémon Movie 08,
272,5,Film Pokémon 09,
272,9,Pokémon Movie 09,
273,5,Film Pokémon 10,
273,9,Pokémon Movie 10,
274,5,Film Pokémon 11,
274,9,Pokémon Movie 11,
275,5,Film Pokémon 12,
275,9,Pokémon Movie 12,
276,5,Film Pokémon 13,
276,9,Pokémon Movie 13,
277,5,Film Pokémon 14,
277,9,Pokémon Movie 14,
278,5,Film Pokémon 15,
278,9,Pokémon Movie 15,
279,5,Film Pokémon 16,
279,9,Pokémon Movie 16,
280,5,Dessin ani. PKMN,
280,9,Pokémon Cartoon,
281,5,Space World,
281,9,Space World,
282,5,Space World 06,
282,9,Space World 06,
283,5,Space World 07,
283,9,Space World 07,
284,5,Space World 08,
284,9,Space World 08,
285,5,Space World 09,
285,9,Space World 09,
286,5,Space World 10,
286,9,Space World 10,
287,5,Space World 11,
287,9,Space World 11,
288,5,Space World 12,
288,9,Space World 12,
289,5,Space World 13,
289,9,Space World 13,
290,5,Space World 14,
290,9,Space World 14,
291,5,Space World 15,
291,9,Space World 15,
292,5,Space World 16,
292,9,Space World 16,
293,5,Pokémon Festa,
293,9,Pokémon Festa,
294,5,Pokémon Festa 06,
294,9,Pokémon Festa 06,
295,5,Pokémon Festa 07,
295,9,Pokémon Festa 07,
296,5,Pokémon Festa 08,
296,9,Pokémon Festa 08,
297,5,Pokémon Festa 09,
297,9,Pokémon Festa 09,
298,5,Pokémon Festa 10,
298,9,Pokémon Festa 10,
299,5,Pokémon Festa 11,
299,9,Pokémon Festa 11,
300,5,Pokémon Festa 12,
300,9,Pokémon Festa 12,
301,5,Pokémon Festa 13,
301,9,Pokémon Festa 13,
302,5,Pokémon Festa 14,
302,9,Pokémon Festa 14,
303,5,Pokémon Festa 15,
303,9,Pokémon Festa 15,
304,5,Pokémon Festa 16,
304,9,Pokémon Festa 16,
305,5,POKéPARK,
305,9,POKéPARK,
306,5,POKéPARK 06,
306,9,POKéPARK 06,
307,5,POKéPARK 07,
307,9,POKéPARK 07,
308,5,POKéPARK 08,
308,9,POKéPARK 08,
309,5,POKéPARK 09,
309,9,POKéPARK 09,
310,5,POKéPARK 10,
310,9,POKéPARK 10,
311,5,POKéPARK 11,
311,9,POKéPARK 11,
312,5,POKéPARK 12,
312,9,POKéPARK 12,
313,5,POKéPARK 13,
313,9,POKéPARK 13,
314,5,POKéPARK 14,
314,9,POKéPARK 14,
315,5,POKéPARK 15,
315,9,POKéPARK 15,
316,5,POKéPARK 16,
316,9,POKéPARK 16,
317,5,Centre Pokémon,
317,9,Pokémon Center,
318,5,CP Tokyo,
318,9,PC Tokyo,
319,5,CP Osaka,
319,9,PC Osaka,
320,5,CP Fukuoka,
320,9,PC Fukuoka,
321,5,CP Nagoya,
321,9,PC Nagoya,
322,5,CP Sapporo,
322,9,PC Sapporo,
323,5,CP Yokohama,
323,9,PC Yokohama,
324,5,Nintendo World,
324,9,Nintendo World,
325,5,Evénem. Pokémon,
325,9,Pokémon Event,
326,5,Evén. Pokémon 06,
326,9,Pokémon Event 06,
327,5,Evén. Pokémon 07,
327,9,Pokémon Event 07,
328,5,Evén. Pokémon 08,
328,9,Pokémon Event 08,
329,5,Evén. Pokémon 09,
329,9,Pokémon Event 09,
330,5,Evén. Pokémon 10,
330,9,Pokémon Event 10,
331,5,Evén. Pokémon 11,
331,9,Pokémon Event 11,
332,5,Evén. Pokémon 12,
332,9,Pokémon Event 12,
333,5,Evén. Pokémon 13,
333,9,Pokémon Event 13,
334,5,Evén. Pokémon 14,
334,9,Pokémon Event 14,
335,5,Evén. Pokémon 15,
335,9,Pokémon Event 15,
336,5,Evén. Pokémon 16,
336,9,Pokémon Event 16,
337,5,Evénement Wi-Fi,
337,9,Wi-Fi Event,
338,5,Cadeau Wi-Fi,
338,9,Wi-Fi Gift,
339,5,Fan Club Pokémon,
339,9,Pokémon Fan Club,
340,5,Lieu d'Evénement,
340,9,Event Site,
341,5,Evénem. Concert,
341,9,Concert Event,
342,5,M. Pokémon,
342,9,Mr. Pokémon,
343,5,Castor,
343,9,Primo,
344,1,なぞの場所,
344,5,Endroit Mystérieux,
344,9,Mystery Zone,
345,1,遠い場所,
345,5,Endroit Lointain,
345,9,Faraway place,
346,1,カノコタウン,
346,5,Renouet,
346,9,Nuvema Town,
347,1,カラクサタウン,
347,5,Arabelle,
347,9,Accumula Town,
348,1,サンヨウシティ,
348,5,Ogoesse,
348,9,Striaton City,
349,1,シッポウシティ,
349,5,Maillard,
349,9,Nacrene City,
350,1,ヒウンシティ,
350,5,Volucité,
350,9,Castelia City,
351,1,ライモンシティ,
351,5,Méanville,
351,9,Nimbasa City,
352,1,ホドモエシティ,
352,5,Port Yoneuve,
352,9,Driftveil City,
353,1,フキヨセシティ,
353,5,Parsemille,
353,9,Mistralton City,
354,1,セッカシティ,
354,5,Flocombe,
354,9,Icirrus City,
355,1,ソウリュウシティ,
355,5,Janusia,
355,9,Opelucid City,
356,1,１番道路,
356,5,Route 1,
356,9,Route 1,
357,1,２番道路,
357,5,Route 2,
357,9,Route 2,
358,1,３番道路,
358,5,Route 3,
358,9,Route 3,
359,1,４番道路,
359,5,Route 4,
359,9,Route 4,
360,1,５番道路,
360,5,Route 5,
360,9,Route 5,
361,1,６番道路,
361,5,Route 6,
361,9,Route 6,
362,1,７番道路,
362,5,Route 7,
362,9,Route 7,
363,1,８番道路,
363,5,Route 8,
363,9,Route 8,
364,1,９番道路,
364,5,Route 9,
364,9,Route 9,
365,1,１０番道路,
365,5,Route 10,
365,9,Route 10,
366,1,１１番道路,
366,5,Route 11,
366,9,Route 11,
367,1,１２番道路,
367,5,Route 12,
367,9,Route 12,
368,1,１３番道路,
368,5,Route 13,
368,9,Route 13,
369,1,１４番道路,
369,5,Route 14,
369,9,Route 14,
370,1,１５番道路,
370,5,Route 15,
370,9,Route 15,
371,1,１６番道路,
371,5,Route 16,
371,9,Route 16,
372,1,１７番水道,
372,5,Chenal 17,
372,9,Route 17,
373,1,１８番道路,
373,5,Route 18,
373,9,Route 18,
374,1,夢の跡地,
374,5,Vestiges du Rêve,
374,9,Dreamyard,
375,1,ヤグルマの森,
