id,region_id,identifier
219,4,distortion-world
220,4,global-terminal
221,4,villa
222,4,battleground
223,4,rotoms-room
224,4,tg-eterna-bldg
225,4,iron-ruins
226,4,iceberg-ruins
227,4,rock-peak-ruins
228,2,azalea-town
229,2,goldenrod-city
230,2,mahogany-town
231,2,pewter-city
232,2,lavender-town
233,2,indigo-plateau
234,2,saffron-city
236,2,lighthouse
237,2,team-rocket-hq
238,2,goldenrod-tunnel
239,2,mt-silver-cave
241,2,pokeathlon-dome
242,2,ss-aqua
243,2,safari-zone-gate
244,2,cliff-cave
245,2,frontier-access
246,2,bellchime-trail
247,2,sinjoh-ruins
248,2,embedded-tower
249,2,pokewalker
250,2,cliff-edge-gate
252,2,radio-tower
253,,day-care-couple
254,,link-trade-arrive
255,,link-trade-met
256,,kanto
257,,johto
258,,hoenn
259,,sinnoh
260,,distant-land
261,,traveling-man
262,,riley
263,,cynthia
264,,mystery-zone
265,,lovely-place
266,,pokemon-ranger
267,,faraway-place
268,,pokemon-movie
269,,pokemon-movie-06
270,,pokemon-movie-07
271,,pokemon-movie-08
272,,pokemon-movie-09
273,,pokemon-movie-10
274,,pokemon-movie-11
275,,pokemon-movie-12
276,,pokemon-movie-13
277,,pokemon-movie-14
278,,pokemon-movie-15
279,,pokemon-movie-16
280,,pokemon-cartoon
281,,space-world
282,,space-world-06
283,,space-world-07
284,,space-world-08
285,,space-world-09
286,,space-world-10
287,,space-world-11
288,,space-world-12
289,,space-world-13
290,,space-world-14
291,,space-world-15
292,,space-world-16
293,,pokemon-festa
294,,pokemon-festa-06
295,,pokemon-festa-07
296,,pokemon-festa-08
297,,pokemon-festa-09
298,,pokemon-festa-10
299,,pokemon-festa-11
300,,pokemon-festa-12
301,,pokemon-festa-13
302,,pokemon-festa-14
303,,pokemon-festa-15
304,,pokemon-festa-16
305,,pokepark
306,,pokepark-06
307,,pokepark-07
308,,pokepark-08
309,,pokepark-09
310,,pokepark-10
311,,pokepark-11
312,,pokepark-12
313,,pokepark-13
314,,pokepark-14
315,,pokepark-15
316,,pokepark-16
317,,pokemon-center
318,,pc-tokyo
319,,pc-osaka
320,,pc-fukuoka
321,,pc-nagoya
322,,pc-sapporo
323,,pc-yokohama
324,,nintendo-world
325,,pokemon-event
326,,pokemon-event-06
327,,pokemon-event-07
328,,pokemon-event-08
329,,pokemon-event-09
330,,pokemon-event-10
331,,pokemon-event-11
332,,pokemon-event-12
333,,pokemon-event-13
334,,pokemon-event-14
335,,pokemon-event-15
336,,pokemon-event-16
337,,wi-fi-event
338,,wi-fi-gift
339,,pokemon-fan-club
340,,event-site
341,,concert-event
342,,mr-pokemon
343,,primo
