id,identifier,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id,z_power,z_effect_id,dynamax_power
75,razor-leaf,1,12,55,25,95,0,11,2,44,,1,2,5,100,,110
76,solar-beam,1,12,120,10,100,0,10,3,152,,1,1,6,190,,140
77,poison-powder,1,4,,35,75,0,10,1,67,,4,33,19,,4,
78,stun-spore,1,12,,30,75,0,10,1,68,,4,14,19,,10,
79,sleep-powder,1,12,,15,75,0,10,1,2,,4,5,19,,13,
80,petal-dance,1,12,120,10,100,0,8,3,28,,2,6,21,190,,140
81,string-shot,1,7,,40,95,0,11,1,61,,4,9,19,,13,
82,dragon-rage,1,16,,10,100,0,10,3,42,,1,26,5,100,,100
83,fire-spin,1,10,35,15,85,0,10,3,43,100,2,24,21,100,,90
84,thunder-shock,1,13,40,30,100,0,10,3,7,10,1,1,5,100,,90
85,thunderbolt,1,13,90,15,100,0,10,3,7,10,1,1,17,175,,130
86,thunder-wave,1,13,,20,90,0,10,1,68,,1,14,19,,10,
87,thunder,1,13,110,10,70,0,10,3,153,30,1,8,17,185,,140
88,rock-throw,1,6,50,15,90,0,10,2,1,,5,12,5,100,,100
89,earthquake,1,5,100,10,100,0,9,2,148,,5,5,18,180,,130
90,fissure,1,5,,5,30,0,10,2,39,,5,14,9,180,,130
91,dig,1,5,80,10,100,0,10,2,257,,4,15,6,160,,130
92,toxic,1,4,,10,90,0,10,1,34,,4,33,19,,4,
93,confusion,1,14,50,25,100,0,10,3,77,10,4,9,5,100,,100
94,psychic,1,14,90,10,100,0,10,3,73,10,4,5,17,175,,130
95,hypnosis,1,14,,20,60,0,10,1,2,,4,5,19,,13,
96,meditate,1,14,,40,,0,7,1,11,,2,32,11,,1,
97,agility,1,14,,30,,0,7,1,53,,1,30,1,,26,
98,quick-attack,1,1,40,30,100,1,10,2,104,,1,30,1,100,,90
99,rage,1,1,20,20,100,0,10,2,82,,1,17,11,100,,90
100,teleport,1,14,,20,,-6,7,1,154,,1,15,1,,27,
101,night-shade,1,8,,15,100,0,10,3,88,,4,23,5,100,,100
102,mimic,1,1,,10,,0,10,1,83,,3,19,12,,16,
103,screech,1,1,,40,85,0,10,1,60,,4,5,10,,1,
104,double-team,1,1,,15,,0,7,1,17,,1,16,1,,26,
105,recover,1,1,,10,,0,7,1,33,,4,23,8,,26,
106,harden,1,1,,30,,0,7,1,12,,5,16,13,,4,
107,minimize,1,1,,10,,0,7,1,109,,3,16,13,,26,
108,smokescreen,1,1,,20,100,0,10,1,24,,4,22,10,,19,
109,confuse-ray,1,8,,10,100,0,10,1,50,,4,21,10,,7,
110,withdraw,1,11,,40,,0,7,1,12,,3,15,13,,4,
111,defense-curl,1,1,,40,,0,7,1,157,,3,16,13,,16,
112,barrier,1,14,,20,,0,7,1,52,,1,15,13,,26,
113,light-screen,1,14,,30,,0,4,1,36,,2,15,13,,10,
114,haze,1,15,,30,,0,12,1,26,,2,33,13,,27,
115,reflect,1,14,,20,,0,4,1,66,,4,15,13,,4,
116,focus-energy,1,1,,30,,0,7,1,48,,1,5,11,,16,
117,bide,1,1,,10,,1,7,2,27,,5,15,15,100,,100
118,metronome,1,1,,10,,0,7,1,84,,3,17,14,,,
119,mirror-move,1,3,,20,,0,10,1,10,,4,19,15,,2,
120,self-destruct,1,1,200,5,100,0,9,2,8,,2,7,9,200,,150
121,egg-bomb,1,1,100,10,75,0,10,2,1,,5,1,5,180,,130
122,lick,1,8,30,30,100,0,10,2,7,30,5,4,16,100,,90
123,smog,1,4,30,20,70,0,10,3,3,40,5,5,5,100,,70
124,sludge,1,4,65,20,100,0,10,3,3,30,5,4,18,120,,85
125,bone-club,1,5,65,20,85,0,10,2,32,10,5,10,5,120,,120
126,fire-blast,1,10,110,5,85,0,10,3,5,10,2,1,17,185,,140
127,waterfall,1,11,80,15,100,0,10,2,32,20,5,28,5,160,,130
128,clamp,1,11,35,15,85,0,10,2,43,100,5,24,5,100,,90
129,swift,1,1,60,20,,0,11,3,18,,1,27,17,120,,110
130,skull-bash,1,1,130,10,100,0,10,2,146,100,5,4,6,195,,140
131,spike-cannon,1,1,20,15,100,0,10,2,30,,1,10,7,100,,120
132,constrict,1,1,10,35,100,0,10,2,71,10,5,9,21,100,,90
133,amnesia,1,14,,20,,0,7,1,55,,3,32,11,,26,
134,kinesis,1,14,,15,80,0,10,1,24,,4,24,11,,19,
135,soft-boiled,1,1,,10,,0,7,1,33,,2,1,8,,26,
136,high-jump-kick,1,2,130,10,90,0,10,2,46,,1,3,5,195,,95
137,glare,1,1,,30,100,0,10,1,68,,5,5,19,,10,
138,dream-eater,1,14,100,15,100,0,10,3,9,,4,8,20,180,,130
139,poison-gas,1,4,,40,90,0,11,1,67,,4,33,5,,4,
140,barrage,1,1,15,20,85,0,10,2,30,,5,12,7,100,,90
141,leech-life,1,7,80,10,100,0,10,2,4,,4,9,20,160,,130
142,lovely-kiss,1,1,,10,75,0,10,1,2,,2,5,19,,13,
143,sky-attack,1,3,140,5,90,0,10,2,76,30,1,2,6,200,,140
144,transform,1,1,,10,,0,10,1,58,,4,17,23,,27,
145,bubble,1,11,40,30,100,0,11,3,71,10,3,8,2,100,,90
146,dizzy-punch,1,1,70,10,100,0,10,2,77,20,1,4,16,140,,120
147,spore,1,12,,15,100,0,10,1,2,,2,5,10,,26,
148,flash,1,1,,20,100,0,10,1,24,,2,22,10,,19,
149,psywave,1,14,,15,100,0,10,3,89,,4,14,5,100,,100
150,splash,1,1,,40,,0,7,1,86,,3,28,16,,3,
151,acid-armor,1,4,,20,,0,7,1,52,,5,32,11,,26,
152,crabhammer,1,11,100,10,90,0,10,2,44,,5,2,18,180,,130
153,explosion,1,1,250,5,100,0,9,2,8,,2,7,9,200,,150
154,fury-swipes,1,1,18,15,80,0,10,2,30,,5,10,7,100,,100
155,bonemerang,1,5,50,10,90,0,10,2,45,,5,1,7,100,,130
156,rest,1,14,,10,,0,7,1,38,,3,16,8,,26,
157,rock-slide,1,6,75,10,90,0,11,2,32,30,5,5,5,140,,130
158,hyper-fang,1,1,80,15,90,0,10,2,32,10,1,4,18,160,,130
159,sharpen,1,1,,30,,0,7,1,11,,3,32,11,,1,
160,conversion,1,1,,30,,0,7,1,31,,2,12,23,,22,
161,tri-attack,1,1,80,10,100,0,10,3,37,20,2,8,5,160,,130
162,super-fang,1,1,,10,90,0,10,2,41,,5,14,5,100,,100
163,slash,1,1,70,20,100,0,10,2,44,,1,2,5,140,,120
164,substitute,1,1,,10,,0,7,1,80,,4,16,23,,26,
165,struggle,1,1,50,1,,0,8,2,255,,1,1,5,1,,1
166,sketch,2,1,,1,,0,10,1,96,,4,19,23,,22,
167,triple-kick,2,2,10,10,90,0,10,2,105,,1,1,7,120,,80
168,thief,2,17,60,25,100,0,10,2,106,,5,20,12,120,,110
169,spider-web,2,7,,10,,0,10,1,107,,4,18,13,,4,
170,mind-reader,2,1,,5,,0,10,1,95,,4,24,20,,7,
171,nightmare,2,8,,15,100,0,10,1,108,,4,5,19,,7,
172,flame-wheel,2,10,60,25,100,0,10,2,126,10,2,1,7,120,,110
173,snore,2,1,50,15,100,0,10,3,93,30,3,1,5,100,,100
174,curse,2,8,,10,,0,1,1,110,,5,31,21,,30,
175,flail,2,1,,15,100,0,10,2,100,,3,26,15,160,,130
176,conversion-2,2,1,,30,,0,10,1,94,,2,12,23,,27,
177,aeroblast,2,3,100,5,95,0,10,3,44,,1,2,22,180,,130
178,cotton-spore,2,12,,40,100,0,11,1,61,,2,10,1,,26,
179,reversal,2,2,,15,100,0,10,2,100,,1,28,15,160,,100
180,spite,2,8,,10,100,0,10,1,101,,5,26,19,,27,
181,powder-snow,2,15,40,25,100,0,11,3,6,10,2,1,5,100,,90
182,protect,2,1,,10,,4,7,1,112,,3,15,16,,26,
183,mach-punch,2,2,40,30,100,1,10,2,104,,1,30,1,100,,70
184,scary-face,2,1,,10,100,0,10,1,61,,5,10,2,,13,
185,feint-attack,2,17,60,20,,0,10,2,18,,4,27,18,120,,110
186,sweet-kiss,2,18,,10,75,0,10,1,50,,3,18,19,,7,
187,belly-drum,2,1,,10,,0,7,1,143,,3,32,11,,27,
188,sludge-bomb,2,4,90,10,100,0,10,3,3,30,5,10,18,175,,90
189,mud-slap,2,5,20,10,100,0,10,3,74,100,3,10,5,100,,90
190,octazooka,2,11,65,10,85,0,10,3,74,50,5,10,4,120,,120
191,spikes,2,5,,20,,0,6,1,113,,4,18,13,,4,
192,zap-cannon,2,13,120,5,50,0,10,3,7,100,1,1,4,190,,140
193,foresight,2,1,,40,,0,10,1,114,,4,33,20,,25,
194,destiny-bond,2,8,,5,,0,7,1,99,,4,7,9,,29,
195,perish-song,2,1,,5,,0,14,1,115,,2,14,10,,26,
196,icy-wind,2,15,55,15,95,0,11,3,71,100,2,5,2,100,,110
197,detect,2,2,,5,,4,7,1,112,,1,16,16,,19,
198,bone-rush,2,5,25,10,90,0,10,2,30,,5,1,7,140,,130
199,lock-on,2,1,,5,,0,10,1,95,,4,24,20,,13,
200,outrage,2,16,120,10,100,0,8,2,28,,1,6,7,190,,140
201,sandstorm,2,6,,10,,0,12,1,116,,5,21,13,,13,
202,giga-drain,2,12,75,10,100,0,10,3,4,,4,10,20,140,,130
203,endure,2,1,,10,,4,7,1,117,,5,16,13,,26,
204,charm,2,18,,20,100,0,10,1,59,,3,23,19,,4,
205,rollout,2,6,30,20,90,0,10,2,118,,5,24,7,100,,90
206,false-swipe,2,1,40,40,100,0,10,2,102,,1,5,16,100,,90
207,swagger,2,1,,15,85,0,10,1,119,,3,27,19,,26,
208,milk-drink,2,1,,10,,0,7,1,33,,3,12,8,,26,
209,spark,2,13,65,20,100,0,10,2,7,30,1,4,5,120,,120
210,fury-cutter,2,7,40,20,95,0,10,2,120,,1,17,7,100,,90
211,steel-wing,2,9,70,25,90,0,10,2,139,10,1,12,5,140,,120
212,mean-look,2,1,,5,,0,10,1,107,,2,18,10,,10,
213,attract,2,1,,15,100,0,10,1,121,,3,18,19,,26,
214,sleep-talk,2,1,,10,,0,7,1,98,,3,17,5,,25,
215,heal-bell,2,1,,5,,0,13,1,103,,2,28,8,,27,
216,return,2,1,,20,100,0,10,2,122,,3,13,17,160,,130
217,present,2,1,,15,90,0,10,2,123,,3,17,16,100,,100
218,frustration,2,1,,20,100,0,10,2,124,,3,13,18,160,,130
219,safeguard,2,1,,25,,0,4,1,125,,2,15,13,,13,
220,pain-split,2,1,,20,,0,10,1,92,,4,4,10,,4,
221,sacred-fire,2,10,100,5,95,0,10,2,126,50,2,1,22,180,,130
222,magnitude,2,5,,30,100,0,9,2,127,,5,11,18,140,,140
223,dynamic-punch,2,2,100,5,50,0,10,2,77,100,1,10,18,180,,90
224,megahorn,2,7,120,10,85,0,10,2,1,,1,12,18,190,,140
225,dragon-breath,2,16,60,20,100,0,10,3,7,30,1,5,17,120,,110
226,baton-pass,2,1,,40,,0,7,1,128,,3,18,16,,26,
227,encore,2,1,,5,100,0,10,1,91,,3,18,20,,13,
228,pursuit,2,17,40,20,100,0,10,2,129,,4,14,20,100,,90
229,rapid-spin,2,1,50,40,100,0,10,2,130,100,1,16,17,100,,100
230,sweet-scent,2,1,,20,100,0,11,1,25,,3,5,19,,16,
231,iron-tail,2,9,100,15,75,0,10,2,70,30,1,4,18,180,,130
232,metal-claw,2,9,50,35,95,0,10,2,140,10,1,1,18,100,,100
233,vital-throw,2,2,70,10,,-1,10,2,79,,1,31,2,140,,85
234,morning-sun,2,1,,5,,0,7,1,133,,2,25,8,,26,
235,synthesis,2,12,,5,,0,7,1,133,,4,25,8,,26,
236,moonlight,2,18,,5,,0,7,1,133,,2,25,8,,26,
237,hidden-power,2,1,60,15,100,0,10,3,136,,4,17,23,120,,110
238,cross-chop,2,2,100,5,80,0,10,2,44,,1,2,18,180,,90
239,twister,2,16,40,20,100,0,11,3,147,20,1,21,5,100,,90
240,rain-dance,2,11,,5,,0,12,1,137,,5,11,13,,13,
241,sunny-day,2,10,,5,,0,12,1,138,,2,11,13,,13,
242,crunch,2,17,80,15,100,0,10,2,70,20,5,4,18,160,,130
243,mirror-coat,2,14,,20,100,-5,1,3,145,,2,16,15,100,,100
244,psych-up,2,1,,10,,0,10,1,144,,4,12,11,,27,
245,extreme-speed,2,1,80,5,100,2,10,2,104,,1,30,1,160,,130
246,ancient-power,2,6,60,5,100,0,10,3,141,10,5,32,18,120,,110
247,shadow-ball,2,8,80,15,100,0,10,3,73,20,4,22,17,160,,130
248,future-sight,2,14,120,10,100,0,10,3,149,,4,24,17,190,,140
249,rock-smash,2,2,40,15,100,0,10,2,70,50,5,29,18,100,,70
250,whirlpool,2,11,35,15,85,0,10,3,262,100,2,24,21,100,,90
251,beat-up,2,17,,10,100,0,10,2,155,,4,14,7,100,,100
252,fake-out,3,1,40,10,100,3,10,2,159,100,3,23,17,100,,90
253,uproar,3,1,90,10,100,0,8,3,160,,3,21,10,175,,130
254,stockpile,3,1,,20,,0,7,1,161,,5,16,11,,27,
255,spit-up,3,1,,10,100,0,10,3,162,,5,1,18,100,,100
256,swallow,3,1,,10,,0,7,1,163,,5,32,8,,26,
257,heat-wave,3,10,95,10,90,0,11,3,5,10,2,1,17,175,,130
258,hail,3,15,,10,,0,12,1,165,,2,5,13,,13,
259,torment,3,17,,15,100,0,10,1,166,,5,18,16,,4,
260,flatter,3,17,,15,100,0,10,1,167,,4,18,19,,10,
261,will-o-wisp,3,10,,15,85,0,10,1,168,,2,4,17,,1,
262,memento,3,17,,10,100,0,10,1,169,,5,7,9,,28,
263,facade,3,1,70,20,100,0,10,2,170,,3,28,15,140,,120
264,focus-punch,3,2,150,20,100,-3,10,2,171,,5,31,6,200,,100
265,smelling-salts,3,1,70,10,100,0,10,2,172,,4,9,16,140,,120
266,follow-me,3,1,,20,,2,7,1,173,,3,24,14,,26,
267,nature-power,3,1,,20,,0,10,1,174,,2,11,14,,,
268,charge,3,13,,20,,0,7,1,175,,4,12,11,,10,
269,taunt,3,17,,20,100,0,10,1,176,,4,18,16,,1,
270,helping-hand,3,1,,20,,5,3,1,177,,4,18,20,,26,
271,trick,3,14,,10,100,0,10,1,178,,4,12,12,,14,
272,role-play,3,14,,10,,0,10,1,179,,3,20,23,,13,
273,wish,3,1,,10,,0,7,1,180,,3,24,8,,10,
274,assist,3,1,,20,,0,7,1,181,,3,25,14,,,
275,ingrain,3,12,,20,,0,7,1,182,,4,15,21,,10,
276,superpower,3,2,120,5,100,0,10,2,183,100,5,3,18,190,,95
277,magic-coat,3,14,,15,,4,7,1,184,,2,15,15,,11,
278,recycle,3,1,,10,,0,7,1,185,,4,17,12,,14,
279,revenge,3,2,60,10,100,-4,10,2,186,,5,31,15,120,,80
280,brick-break,3,2,75,15,100,0,10,2,187,,1,4,5,140,,90
281,yawn,3,1,,10,,0,10,1,188,,3,18,19,,13,
282,knock-off,3,17,65,20,100,0,10,2,189,,4,4,5,120,,120
283,endeavor,3,1,,5,100,0,10,2,190,,5,28,15,160,,130
284,eruption,3,10,150,5,100,0,11,3,191,,2,26,18,200,,150
285,skill-swap,3,14,,10,,0,10,1,192,,4,20,12,,13,
286,imprison,3,14,,10,,0,7,1,193,,4,33,20,,11,
287,refresh,3,1,,20,,0,7,1,194,,3,32,8,,27,
288,grudge,3,8,,5,,0,7,1,195,,5,26,10,,29,
289,snatch,3,17,,10,,4,7,1,196,,4,14,12,,14,
290,secret-power,3,1,70,20,100,0,10,2,198,30,4,29,14,140,,120
291,dive,3,11,80,10,100,0,10,2,256,,2,16,6,160,,130
292,arm-thrust,3,2,15,20,100,0,10,2,30,,5,10,7,100,,70
293,camouflage,3,1,,20,,0,7,1,214,,4,2,13,,19,
294,tail-glow,3,7,,20,,0,7,1,322,,2,32,11,,26,
295,luster-purge,3,14,70,5,100,0,10,3,73,50,4,9,22,140,,120
296,mist-ball,3,14,70,5,100,0,10,3,72,50,4,4,22,140,,120
297,feather-dance,3,3,,15,100,0,10,1,59,,2,28,19,,4,
298,teeter-dance,3,1,,20,100,0,9,1,200,,3,6,14,,7,
299,blaze-kick,3,10,85,10,90,0,10,2,201,10,2,1,17,160,,130
300,mud-sport,3,5,,15,,0,12,1,202,,3,1,13,,10,
301,ice-ball,3,15,30,20,90,0,10,2,118,,2,24,7,100,,90
302,needle-arm,3,12,60,15,100,0,10,2,32,30,4,4,5,120,,110
303,slack-off,3,1,,10,,0,7,1,33,,3,26,8,,26,
304,hyper-voice,3,1,90,10,100,0,11,3,1,,1,5,5,175,,130
305,poison-fang,3,4,50,15,100,0,10,2,203,50,4,33,4,100,,75
306,crush-claw,3,1,75,10,95,0,10,2,70,50,1,4,5,140,,130
307,blast-burn,3,10,150,5,90,0,10,3,81,,2,6,22,200,,150
308,hydro-cannon,3,11,150,5,90,0,10,3,81,,2,6,22,200,,150
309,meteor-mash,3,9,90,10,90,0,10,2,140,20,1,12,18,175,,130
310,astonish,3,8,30,15,100,0,10,2,32,30,4,9,5,100,,90
311,weather-ball,3,1,50,10,100,0,10,3,204,,4,1,4,160,,130
312,aromatherapy,3,12,,5,,0,13,1,103,,4,28,8,,27,
313,fake-tears,3,17,,20,100,0,10,1,63,,4,28,19,,7,
314,air-cutter,3,3,60,25,95,0,11,3,44,,1,23,5,120,,110
315,overheat,3,10,130,5,90,0,10,3,205,100,2,3,22,195,,140
316,odor-sleuth,3,1,,40,,0,10,1,114,,4,33,20,,1,
317,rock-tomb,3,6,60,15,95,0,10,2,71,100,4,24,2,120,,110
318,silver-wind,3,7,60,5,100,0,10,3,141,10,2,32,4,120,,110
319,metal-sound,3,9,,40,85,0,10,1,63,,4,5,10,,7,
320,grass-whistle,3,12,,15,55,0,10,1,2,,4,5,19,,13,
321,tickle,3,1,,20,100,0,10,1,206,,3,33,19,,4,
322,cosmic-power,3,14,,20,,0,7,1,207,,1,32,11,,10,
323,water-spout,3,11,150,5,100,0,11,3,191,,2,26,22,200,,150
324,signal-beam,3,7,75,15,100,0,10,3,77,10,2,21,4,140,,130
325,shadow-punch,3,8,60,20,,0,10,2,18,,4,27,17,120,,110
326,extrasensory,3,14,80,20,100,0,10,3,32,10,1,4,17,160,,130
327,sky-uppercut,3,2,85,15,90,0,10,2,208,,1,23,17,160,,90
328,sand-tomb,3,5,35,15,85,0,10,2,43,100,4,24,21,100,,90
329,sheer-cold,3,15,,5,30,0,10,3,39,,2,14,9,180,,130
330,muddy-water,3,11,90,10,85,0,11,3,74,30,5,10,18,175,,130
331,bullet-seed,3,12,25,30,100,0,10,2,30,,1,14,7,140,,130
332,aerial-ace,3,3,60,20,,0,10,2,18,,1,27,17,120,,110
333,icicle-spear,3,15,25,30,100,0,10,2,30,,2,23,7,140,,130
334,iron-defense,3,9,,15,,0,7,1,52,,5,15,13,,26,
335,block,3,1,,5,,0,10,1,107,,3,18,13,,4,
336,howl,3,1,,40,,0,13,1,11,,1,32,11,,1,
337,dragon-claw,3,16,80,15,100,0,10,2,1,,1,23,17,160,,130
338,frenzy-plant,3,12,150,5,90,0,10,3,81,,1,6,22,200,,150
339,bulk-up,3,2,,20,,0,7,1,209,,2,32,11,,1,
340,bounce,3,3,85,5,85,0,10,2,264,30,3,15,6,160,,130
341,mud-shot,3,5,55,15,95,0,10,3,71,100,5,5,2,100,,110
342,poison-tail,3,4,50,25,100,0,10,2,210,10,4,33,4,100,,75
343,covet,3,1,60,25,100,0,10,2,106,,3,20,12,120,,110
344,volt-tackle,3,13,120,15,100,0,10,2,263,10,1,3,22,190,,140
345,magical-leaf,3,12,60,20,,0,10,3,18,,2,27,17,120,,110
346,water-sport,3,11,,15,,0,12,1,211,,3,1,13,,10,
347,calm-mind,3,14,,20,,0,7,1,212,,4,16,11,,26,
348,leaf-blade,3,12,90,15,100,0,10,2,44,,1,2,17,175,,130
349,dragon-dance,3,16,,20,,0,7,1,213,,1,32,11,,26,
350,rock-blast,3,6,25,10,90,0,10,2,30,,5,12,7,140,,130
351,shock-wave,3,13,60,20,,0,10,3,18,,1,27,17,120,,110
352,water-pulse,3,11,60,20,100,0,10,3,77,20,2,21,17,120,,110
353,doom-desire,3,9,140,5,100,0,10,3,149,,1,24,17,200,,140
354,psycho-boost,3,14,140,5,90,0,10,3,205,100,4,3,22,200,,140
355,roost,4,3,,10,,0,7,1,215,,1,,8,,26,
356,gravity,4,14,,5,,0,12,1,216,,2,,13,,7,
357,miracle-eye,4,14,,40,,0,10,1,217,,3,,20,,7,
358,wake-up-slap,4,2,70,10,100,0,10,2,218,,4,,16,140,,85
359,hammer-arm,4,2,100,10,90,0,10,2,219,100,1,,2,180,,90
360,gyro-ball,4,9,,5,100,0,10,2,220,,2,,15,160,,130
361,healing-wish,4,14,,10,,0,7,1,221,,3,,8,,,
362,brine,4,11,65,10,100,0,10,3,222,,4,,4,120,,120
363,natural-gift,4,1,,15,100,0,10,2,223,,1,,18,160,,130
364,feint,4,1,30,10,100,2,10,2,224,,2,,16,100,,90
365,pluck,4,3,60,20,100,0,10,2,225,,3,,12,120,,110
366,tailwind,4,3,,15,,0,4,1,226,,4,,1,,25,
367,acupressure,4,1,,30,,0,5,1,227,,1,,11,,25,
368,metal-burst,4,9,,10,100,0,1,2,228,,2,,15,100,,100
369,u-turn,4,7,70,20,100,0,10,2,229,,3,,16,140,,120
370,close-combat,4,2,120,5,100,0,10,2,230,100,4,,22,190,,95
371,payback,4,17,50,10,100,0,10,2,231,,1,,6,100,,100
372,assurance,4,17,60,10,100,0,10,2,232,,2,,15,120,,110
373,embargo,4,17,,15,100,0,10,1,233,,3,,13,,7,
374,fling,4,17,,10,100,0,10,2,234,,5,,23,100,,100
375,psycho-shift,4,14,,10,100,0,10,1,235,,1,,16,,8,
376,trump-card,4,1,,5,,0,10,3,236,,1,,21,160,,130
377,heal-block,4,14,,15,100,0,11,1,237,,3,,13,,8,
378,wring-out,4,1,,5,100,0,10,3,238,,4,,22,190,,140
379,power-trick,4,14,,10,,0,7,1,239,,1,,16,,1,
380,gastro-acid,4,4,,10,100,0,10,1,240,,2,,13,,13,
381,lucky-chant,4,1,,30,,0,4,1,241,,3,,13,,19,
