pokemon_id,version_id,item_id,rarity
418,12,163,5
418,13,163,5
418,14,163,5
419,12,163,5
419,13,163,5
419,14,163,5
420,12,216,5
420,13,216,5
420,14,216,5
421,12,216,5
421,13,216,5
421,14,216,5
427,12,166,5
427,13,166,5
427,14,166,5
428,12,166,5
428,13,166,5
428,14,166,5
431,12,126,5
431,13,126,5
431,14,126,5
432,12,126,5
432,13,126,5
432,14,126,5
433,12,175,5
433,13,175,5
433,14,175,5
434,12,128,5
434,13,128,5
434,14,128,5
435,12,128,5
435,13,128,5
435,14,128,5
436,12,210,5
436,13,210,5
436,14,210,5
437,12,210,5
437,13,210,5
437,14,210,5
439,12,131,5
439,13,131,5
439,14,131,5
440,12,110,50
440,12,233,5
440,13,110,50
440,13,233,5
440,14,110,50
440,14,233,5
441,12,254,5
441,13,254,5
441,14,254,5
443,12,174,5
443,13,174,5
443,14,174,5
444,12,174,5
444,13,174,5
444,14,174,5
445,12,174,5
445,13,174,5
445,14,174,5
446,12,211,100
446,13,211,100
446,14,211,100
451,12,222,5
451,13,222,5
451,14,222,5
452,12,222,5
452,13,222,5
452,14,222,5
453,12,258,5
453,13,258,5
453,14,258,5
454,12,258,5
454,13,258,5
454,14,258,5
456,12,164,5
456,13,164,5
456,14,164,5
457,12,164,5
457,13,164,5
457,14,164,5
459,12,223,5
459,13,223,5
459,14,223,5
460,12,223,5
460,13,223,5
460,14,223,5
461,12,194,5
461,12,263,50
461,13,194,5
461,13,263,50
461,14,194,5
461,14,263,50
462,12,210,5
462,13,210,5
462,14,210,5
463,12,256,5
463,13,256,5
463,14,256,5
466,12,299,50
466,13,299,5
466,14,299,50
467,12,300,5
467,13,300,50
467,14,300,50
469,12,242,5
469,13,242,5
469,14,242,5
476,12,215,5
476,13,215,5
476,14,215,5
477,12,173,5
477,13,173,5
477,14,173,5
478,12,176,5
478,13,176,5
478,14,176,5
492,12,134,100
492,13,134,100
492,14,134,100
499,12,199,5
499,13,199,5
499,14,199,5
500,12,199,5
500,13,199,5
500,14,199,5
