ability_id,language_id,name
78,6,Starthilfe
78,7,Electromotor
78,8,Elettrorapid
79,1,とうそうしん
79,5,Rivalité
79,6,Rivalität
79,7,Rivalidad
79,8,Antagonismo
80,1,ふくつのこころ
80,5,Impassible
80,6,Felsenfest
80,7,Impasible
80,8,Cuordeciso
81,1,ゆきがくれ
81,5,Rideau Neige
81,6,Schneemantel
81,7,Manto Níveo
81,8,Mantelneve
82,1,くいしんぼう
82,5,Gloutonnerie
82,6,Völlerei
82,7,Gula
82,8,Voracità
83,1,いかりのつぼ
83,5,Colérique
83,6,Kurzschluss
83,7,Irascible
83,8,Grancollera
84,1,かるわざ
84,5,Délestage
84,6,Entlastung
84,7,Liviano
84,8,Agiltecnica
85,1,たいねつ
85,5,Ignifuge
85,6,Hitzeschutz
85,7,Ignífugo
85,8,Antifuoco
86,1,たんじゅん
86,5,Simple
86,6,Wankelmut
86,7,Simple
86,8,Disinvoltura
87,1,かんそうはだ
87,5,Peau Sèche
87,6,Trockenheit
87,7,Piel Seca
87,8,Pellearsa
88,1,ダウンロード
88,5,Télécharge
88,6,Download
88,7,Descarga
88,8,Download
89,1,てつのこぶし
89,5,Poing de Fer
89,6,Eisenfaust
89,7,Puño Férreo
89,8,Ferropugno
90,1,ポイズンヒール
90,5,Soin Poison
90,6,Aufheber
90,7,Antídoto
90,8,Velencura
91,1,てきおうりょく
91,5,Adaptabilité
91,6,Anpassung
91,7,Adaptable
91,8,Adattabilità
92,1,スキルリンク
92,5,Multi-Coups
92,6,Wertelink
92,7,Encadenado
92,8,Abillegame
93,1,うるおいボディ
93,5,Hydratation
93,6,Hydration
93,7,Hidratación
93,8,Idratazione
94,1,サンパワー
94,5,Force Soleil
94,6,Solarkraft
94,7,Poder Solar
94,8,Solarpotere
95,1,はやあし
95,5,Pied Véloce
95,6,Rasanz
95,7,Pies Rápidos
95,8,Piedisvelti
96,1,ノーマルスキン
96,5,Normalise
96,6,Regulierung
96,7,Normalidad
96,8,Normalità
97,1,スナイパー
97,5,Sniper
97,6,Superschütze
97,7,Francotirad.
97,8,Cecchino
98,1,マジックガード
98,5,Garde Magik
98,6,Magieschild
98,7,Muro Mágico
98,8,Magicscudo
99,1,ノーガード
99,5,Annule Garde
99,6,Schildlos
99,7,Indefenso
99,8,Nullodifesa
100,1,あとだし
100,5,Frein
100,6,Zeitspiel
100,7,Rezagado
100,8,Rallentatore
101,1,テクニシャン
101,5,Technicien
101,6,Techniker
101,7,Experto
101,8,Tecnico
102,1,リーフガード
102,5,Feuil. Garde
102,6,Floraschild
102,7,Defensa Hoja
102,8,Fogliamanto
103,1,ぶきよう
103,5,Maladresse
103,6,Tollpatsch
103,7,Zoquete
103,8,Impaccio
104,1,かたやぶり
104,5,Brise Moule
104,6,Überbrückung
104,7,Rompemoldes
104,8,Rompiforma
105,1,きょううん
105,5,Chanceux
105,6,Glückspilz
105,7,Afortunado
105,8,Supersorte
106,1,ゆうばく
106,5,Boom Final
106,6,Finalschlag
106,7,Resquicio
106,8,Scoppio
107,1,きけんよち
107,5,Anticipation
107,6,Vorahnung
107,7,Anticipación
107,8,Presagio
108,1,よちむ
108,5,Prédiction
108,6,Vorwarnung
108,7,Alerta
108,8,Premonizione
109,1,てんねん
109,5,Inconscient
109,6,Unkenntnis
109,7,Ignorante
109,8,Imprudenza
110,1,いろめがね
110,5,Lentiteintée
110,6,Aufwertung
110,7,Cromolente
110,8,Lentifumé
111,1,フィルター
111,5,Filtre
111,6,Filter
111,7,Filtro
111,8,Filtro
112,1,スロースタート
112,5,Début Calme
112,6,Saumselig
112,7,Inicio Lento
112,8,Lentoinizio
113,1,きもったま
113,5,Querelleur
113,6,Rauflust
113,7,Intrépido
113,8,Nervisaldi
114,1,よびみず
114,5,Lavabo
114,6,Sturmsog
114,7,Colector
114,8,Acquascolo
115,1,アイスボディ
115,5,Corps Gel
115,6,Eishaut
115,7,Gélido
115,8,Corpogelo
116,1,ハードロック
116,5,Solide Roc
116,6,Felskern
116,7,Roca Sólida
116,8,Solidroccia
117,1,ゆきふらし
117,5,Alerte Neige
117,6,Hagelalarm
117,7,Nevada
117,8,Scendineve
118,1,みつあつめ
118,5,Cherche Miel
118,6,Honigmaul
118,7,Recogemiel
118,8,Mielincetta
119,1,おみとおし
119,5,Fouille
119,6,Schnüffler
119,7,Cacheo
119,8,Indagine
120,1,すてみ
120,5,Téméraire
120,6,Achtlos
120,7,Audaz
120,8,Temerarietà
121,1,マルチタイプ
121,5,Multi-Type
121,6,Variabilität
121,7,Multitipo
121,8,Multitipo
122,1,フラワーギフト
122,5,Don Floral
122,6,Pflanzengabe
122,7,Don Floral
122,8,Regalfiore
123,1,ナイトメア
123,5,Mauvais Rêve
123,6,Alptraum
123,7,Mal Sueño
123,8,Sogniamari
124,1,わるいてぐせ
124,5,Pickpocket
124,6,Langfinger
124,7,Hurto
124,8,Arraffalesto
125,1,ちからずく
125,5,Sans Limite
125,6,Rohe Gewalt
125,7,Pot. Bruta
125,8,Forzabruta
126,1,あまのじゃく
126,5,Contestation
126,6,Umkehrung
126,7,Respondón
126,8,Inversione
127,1,きんちょうかん
127,5,Tension
127,6,Anspannung
127,7,Nerviosismo
127,8,Agitazione
128,1,まけんき
128,5,Acharné
128,6,Siegeswille
128,7,Competitivo
128,8,Agonismo
129,1,よわき
129,5,Défaitiste
129,6,Schwächling
129,7,Flaqueza
129,8,Sconforto
130,1,のろわれボディ
130,5,Corps Maudit
130,6,Tastfluch
130,7,Cue. Maldito
130,8,Corpofunesto
131,1,いやしのこころ
131,5,Cœur Soin
131,6,Heilherz
131,7,Alma Cura
131,8,Curacuore
132,1,フレンドガード
132,5,Garde Amie
132,6,Freundeshut
132,7,Compiescolta
132,8,Amicoscudo
133,1,くだけるよろい
133,5,Armurouillée
133,6,Bruchrüstung
133,7,Arm. Frágil
133,8,Sottilguscio
134,1,ヘヴィメタル
134,5,Heavy Metal
134,6,Schwermetall
134,7,Met. Pesado
134,8,Metalpesante
135,1,ライトメタル
135,5,Light Metal
135,6,Leichtmetall
135,7,Met. Liviano
135,8,Metalleggero
136,1,マルチスケイル
136,5,Multiécaille
136,6,Multischuppe
136,7,Compensación
136,8,Multisquame
137,1,どくぼうそう
137,5,Rage Poison
137,6,Giftwahn
137,7,Ím. Tóxico
137,8,Velenimpeto
138,1,ねつぼうそう
138,5,Rage Brûlure
138,6,Hitzewahn
138,7,Ím. Ardiente
138,8,Bruciaimpeto
139,1,しゅうかく
139,5,Récolte
139,6,Reiche Ernte
139,7,Cosecha
139,8,Coglibacche
140,1,テレパシー
140,5,Télépathe
140,6,Telepathie
140,7,Telepatía
140,8,Telepatia
141,1,ムラっけ
141,5,Lunatique
141,6,Gefühlswippe
141,7,Veleta
141,8,Altalena
142,1,ぼうじん
142,5,Envelocape
142,6,Wetterfest
142,7,Funda
142,8,Copricapo
143,1,どくしゅ
143,5,Toxitouche
143,6,Giftgriff
143,7,Toque Tóxico
143,8,Velentocco
144,1,さいせいりょく
144,5,Régé-Force
144,6,Belebekraft
144,7,Regeneración
144,8,Rigenergia
145,1,はとむね
145,5,Cœur de Coq
145,6,Brustbieter
145,7,Sacapecho
145,8,Pettinfuori
146,1,すなかき
146,5,Baigne Sable
146,6,Sandscharrer
146,7,Ímpetu Arena
146,8,Remasabbia
147,1,ミラクルスキン
147,5,Peau Miracle
147,6,Wunderhaut
147,7,Piel Milagro
147,8,Splendicute
148,1,アナライズ
148,5,Analyste
148,6,Analyse
148,7,Cálc. Final
148,8,Ponderazione
149,1,イリュージョン
149,5,Illusion
149,6,Trugbild
149,7,Ilusión
149,8,Illusione
150,1,かわりもの
150,5,Imposteur
150,6,Doppelgänger
150,7,Impostor
150,8,Sosia
151,1,すりぬけ
151,5,Infiltration
151,6,Schwebedurch
151,7,Allanamiento
151,8,Intrapasso
152,1,ミイラ
152,5,Momie
152,6,Mumie
152,7,Momia
152,8,Mummia
153,1,じしんかじょう
153,5,Impudence
153,6,Hochmut
153,7,Autoestima
153,8,Arroganza
154,1,せいぎのこころ
154,5,Cœur Noble
154,6,Redlichkeit
154,7,Justiciero
154,8,Giustizia
155,1,びびり
155,5,Phobique
155,6,Hasenfuß
155,7,Cobardía
155,8,Paura
156,1,マジックミラー
156,5,Miroir Magik
156,6,Magiespiegel
156,7,Espejomágico
156,8,Magispecchio
157,1,そうしょく
157,5,Herbivore
157,6,Vegetarier
157,7,Herbívoro
157,8,Mangiaerba
158,1,いたずらごころ
158,5,Farceur
158,6,Strolch
158,7,Bromista
158,8,Burla
159,1,すなのちから
159,5,Force Sable
159,6,Sandgewalt
159,7,Poder Arena
159,8,Silicoforza
160,1,てつのトゲ
160,5,Épine de Fer
160,6,Eisenstachel
160,7,Punta Acero
160,8,Spineferrate
161,1,ダルマモード
161,5,Mode Transe
161,6,Trance-Modus
161,7,Modo Daruma
161,8,Stato Zen
162,1,しょうりのほし
162,5,Victorieux
162,6,Triumphstern
162,7,Tinovictoria
162,8,Vittorstella
163,1,ターボブレイズ
163,5,TurboBrasier
163,6,Turbobrand
163,7,Turbollama
163,8,Piroturbina
164,1,テラボルテージ
164,5,Téra-Voltage
164,6,Teravolt
164,7,Terravoltaje
164,8,Teravolt
