ability_id,local_language_id,effect,short_effect
16,9,"Whenever this Pokémon takes damage from a move, the Pokémon's type changes to match the move.

If the Pokémon has two types, both are overridden.  The Pokémon must directly take damage; for example, moves blocked by a [Substitute]{move:substitute} will not trigger this ability, nor will moves that deal damage indirectly, such as [Spikes]{move:spikes}.

This ability takes effect on only the last hit of a multiple-hit attack.

In Pokémon Colosseum and XD: Gale of Darkness, this ability does not take effect on Shadow-type moves.",Changes type to match when hit by a damaging move.
17,9,"This Pokémon cannot be [poisoned]{mechanic:poison}.  This includes bad poison.

If a Pokémon is poisoned and acquires this ability, its poison is healed; this includes when regaining a lost ability upon leaving battle.",Prevents [poison]{mechanic:poison}.
18,9,"This Pokémon is immune to [Fire]{type:fire}-type moves.  Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle.

This ability has no effect while the Pokémon is [frozen]{mechanic:freezing}.  The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled.  Fire moves will ignore this Pokémon's [Substitute]{move:substitute}.  This ability takes effect even on non-damaging moves, i.e. [Will-O-Wisp]{move:will-o-wisp}.","Protects against [Fire]{type:fire} moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
19,9,"This Pokémon is immune to the extra effects of moves used against it.

An extra effect is a move's chance, listed as an ""effect chance"", to inflict a [status ailment]{mechanic:status ailment}, cause a [stat change]{mechanic:stat modifier}, or make the target [flinch]{mechanic:flinching} in addition to the move's main effect.  For example, [ThunderShock]{move:thundershock}'s [paralysis]{mechanic:paralysis} is an extra effect, but [Thunder Wave]{move:thunder-wave}'s is not, nor is [Knock Off]{move:knock-off}'s item removal.",Protects against incoming moves' extra effects.
20,9,"This Pokémon cannot be [confused]{mechanic:confusion}.

If a Pokémon is confused and acquires this ability, its confusion will immediately be healed.",Prevents [confusion]{mechanic:confusion}.
21,9,"This Pokémon cannot be forced out of battle by moves such as [Whirlwind]{move:whirlwind}.

[Dragon Tail]{move:dragon-tail} and [Circle Throw]{move:circle-throw} still inflict damage against this Pokémon.

Overworld: If the lead Pokémon has this ability, the encounter rate while fishing is increased.",Prevents being forced out of battle by other Pokémon's moves.
22,9,"When this Pokémon enters battle, the opponent's [Attack]{mechanic:attack} is lowered by one [stage]{mechanic:stat modifier}.  In a double battle, both opponents are affected.

This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle.

This ability has no effect on an opponent that has a [Substitute]{move:substitute}.

Overworld: If the lead Pokémon has this ability, lower-levelled Pokémon have their encounter rate decreased.",Lowers opponents' [Attack]{mechanic:attack} one [stage]{mechanic:stat modifier} upon entering battle.
23,9,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.

Other Pokémon with this ability are unaffected.  Pokémon can still switch out with [Baton Pass]{move:baton-pass}, [U-turn]{move:u-turn}, or a [Shed Shell]{item:shed-shell}.  Pokémon with [Run Away]{ability:run-away} can still flee.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved.",Prevents opponents from fleeing or switching out.
24,9,"Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum [HP]{mechanic:hp} in damage.

This ability functions identically to [Iron Barbs]{ability:iron-barbs}.",Damages attacking Pokémon for 1/8 their max [HP]{mechanic:hp} on contact.
25,9,"This Pokémon is immune to damaging moves that are not [super effective]{mechanic:super effective} against it.

Moves that inflict fixed damage, such as [Night Shade]{move:night-shade} or [Seismic Toss]{move:seismic-toss}, are considered super effective if their types are.  Damage not directly dealt by moves, such as damage from [weather]{mechanic:weather}, a [status ailment]{mechanic:status ailment}, or [Spikes]{move:spikes}, is not prevented.

This ability cannot be copied with [Role Play]{move:role-play} or traded away with [Skill Swap]{move:skill-swap}, but it can be copied with [Trace]{ability:trace}, disabled with [Gastro Acid]{move:gastro-acid}, or changed with [Worry Seed]{move:worry-seed}.  This Pokémon can still use Role Play itself to lose this ability, but not Skill Swap.

If this Pokémon has a [Substitute]{move:substitute}, this ability will block moves as usual and any moves not blocked will react to the Substitute as usual.",Protects against damaging moves that are not [super effective]{mechanic:super effective}.
26,9,"This Pokémon is immune to [Ground]{type:ground}-type moves, [Spikes]{move:spikes}, [Toxic Spikes]{move:toxic-spikes}, and [Arena Trap]{ability:arena-trap}.

This ability is disabled during [Gravity]{move:gravity} or [Ingrain]{move:ingrain}, or while holding an [Iron Ball]{item:iron-ball}.  This ability is not disabled during [Roost]{move:roost}.",Evades [Ground]{type:ground} moves.
27,9,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being [paralyzed]{mechanic:paralysis}, [poisoned]{mechanic:poison}, or put to [sleep]{mechanic:sleep}, chosen at random.

Nothing is done to compensate if the move's user is immune to one of these ailments; there is simply a lower chance that the move's user will be affected.","Has a 30% chance of inflcting either [paralysis]{mechanic:paralysis}, [poison]{mechanic:poison}, or [sleep]{mechanic:sleep} on attacking Pokémon on contact."
28,9,"Whenever this Pokémon is [burned]{mechanic:burn}, [paralyzed]{mechanic:paralysis}, or [poisoned]{mechanic:poison}, the Pokémon who gave this Pokémon that ailment is also given the ailment.

This ability passes back bad poison when this Pokémon is badly poisoned.  This ability cannot pass on a status ailment that the Pokémon did not directly receive from another Pokémon, such as the poison from [Toxic Spikes]{move:toxic-spikes} or the burn from a [Flame Orb]{item:flame-orb}.

Overworld: If the lead Pokémon has this ability, wild Pokémon have a 50% chance of having the lead Pokémon's nature, and a 50% chance of being given a random nature as usual, including the lead Pokémon's nature.  This does not work on Pokémon received outside of battle or roaming legendaries.","Copies [burns]{mechanic:burn}, [paralysis]{mechanic:paralysis}, and [poison]{mechanic:poison} received onto the Pokémon that inflicted them."
29,9,"This Pokémon cannot have its stats [lowered]{mechanic:stat modifier} by other Pokémon.

This ability does not prevent any stat losses other than [stat modifiers]{mechanic:stat modifiers}, such as the [Speed]{mechanic:speed} cut from [paralysis]{mechanic:paralysis}; nor self-inflicted stat drops, such as the [Attack]{mechanic:attack} and [Defense]{mechanic:defense} drops from [Superpower]{move:superpower}; nor opponent-triggered stat boosts, such as the Attack boost from [Swagger]{move:swagger}.  This Pokémon can still be passed negative stat modifiers through [Guard Swap]{move:guard-swap}, [Heart Swap]{move:heart-swap}, or [Power Swap]{move:power-swap}.

This ability functions identically to [White Smoke]{ability:white-smoke} in battle.",Prevents stats from being [lowered]{mechanic:stat modifier} by other Pokémon.
30,9,"This Pokémon is cured of any [major status ailment]{mechanic:major status ailment} when it is switched out for another Pokémon.

If this ability is acquired during battle, the Pokémon is cured upon leaving battle before losing the temporary ability.",Cures any [major status ailment]{mechanic:major status ailment} upon switching out.
31,9,"All other Pokémon's single-target [Electric]{type:electric}-type moves are redirected to this Pokémon if it is an eligible target.  Other Pokémon's Electric moves raise this Pokémon's [Special Attack]{mechanic:special attack} one [stage]{mechanic:stat modifier}, negating any other effect on it, and cannot miss it.

[Follow Me]{move:follow-me} takes precedence over this ability.  If the Pokémon is a [Ground]{type:ground}-type and thus immune to Electric moves, its immunity prevents the Special Attack boost.","Redirects single-target [Electric]{type:electric} moves to this Pokémon where possible.  Absorbs Electric moves, raising [Special Attack]{mechanic:special attack} one [stage]{mechanic:stat modifier}."
32,9,"This Pokémon's moves have twice their usual effect chance.

An effect chance is a move's chance to inflict a [status ailment]{mechanic:status ailment}, cause a [stat change]{mechanic:stat modifier}, or make the target [flinch]{mechanic:flinching} in addition to the move's main effect.  For example, [Flamethrower]{move:flamethrower}'s chance of [burning]{mechanic:burn} the target is doubled, but [Protect]{move:protect}'s chance of success and [Air Cutter]{move:air-cutter}'s increased [critical hit]{mechanic:critical hit} rate are unaffected.",Doubles the chance of moves' extra effects occurring.
33,9,"This Pokémon's [Speed]{mechanic:speed} is doubled during [rain]{mechanic:rain}.

This bonus does not count as a [stat modifier]{mechanic:stat modifier}.",Doubles [Speed]{mechanic:speed} during [rain]{mechanic:rain}.
34,9,"This Pokémon's [Speed]{mechanic:speed} is doubled during [strong sunlight]{mechanic:strong sunlight}.

This bonus does not count as a [stat modifier]{mechanic:stat modifier}.",Doubles [Speed]{mechanic:speed} during [strong sunlight]{mechanic:strong sunlight}.
35,9,"Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.

This ability has no effect in battle.",Increases the wild encounter rate.
36,9,"When this Pokémon enters battle, it copies a random opponent's ability.

This ability cannot copy [Multitype]{ability:multitype}.",Copies an opponent's ability upon entering battle.
37,9,"This Pokémon's [Attack]{mechanic:attack} is doubled while in battle.

This bonus does not count as a [stat modifier]{mechanic:stat modifier}.

This ability functions identically to [Pure Power]{ability:pure-power}.",Doubles [Attack]{mechanic:attack} in battle.
38,9,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being [poisoned]{mechanic:poison}.",Has a 30% chance of [poisoning]{mechanic:poison} attacking Pokémon on contact.
39,9,This Pokémon cannot [flinch]{mechanic:flinching}.,Prevents [flinching]{mechanic:flinching}.
40,9,"This Pokémon cannot be [frozen]{mechanic:freezing}.

If a Pokémon is frozen and acquires this ability, it will immediately thaw out; this includes when regaining a lost ability upon leaving battle.

Overworld: If any Pokémon in the party has this ability, each egg in the party has its [hatch counter]{mechanic:hatch counter} decreased by 2 (rather than 1) each [step cycle]{mechanic:step cycle}, making eggs hatch roughly twice as quickly.  This effect does not stack if multiple Pokémon have this ability or [Flame Body]{ability:flame-body}.",Prevents [freezing]{mechanic:freezing}.
41,9,"This Pokémon cannot be [burned]{mechanic:burn}.

If a Pokémon is burned and acquires this ability, its burn is healed; this includes when regaining a lost ability upon leaving battle.",Prevents [burns]{mechanic:burn}.
42,9,"While this Pokémon is in battle, opposing [Steel]{type:steel}-type Pokémon cannot flee or switch out.

Pokémon can still switch out with [Baton Pass]{move:baton-pass}, [U-turn]{move:u-turn}, or a [Shed Shell]{item:shed-shell}.  Pokémon with [Run Away]{ability:run-away} can still flee, but not switch out.

Overworld: If the lead Pokémon has this ability, Steel-type Pokémon have a higher encounter rate.",Prevents [Steel]{type:steel} opponents from fleeing or switching out.
43,9,"This Pokémon is immune to moves flagged as being sound-based.

[Heal Bell]{move:heal-bell} is unaffected.  This Pokémon can still receive a Perish Song counter through [Baton Pass]{move:baton-pass}, and will retain a Perish Song counter if it acquires this ability after Perish Song is used.

[Howl]{move:howl}, [Roar of Time]{move:roar-of-time}, and [SonicBoom]{move:sonicboom} are not flagged as sound-based.",Protects against sound-based moves.
44,9,This Pokémon heals for 1/16 of its maximum [HP]{mechanic:hp} after each turn during [rain]{mechanic:rain}.,Heals for 1/16 max [HP]{mechanic:hp} after each turn during [rain]{mechanic:rain}.
45,9,"The [weather]{mechanic:weather} changes to a [sandstorm]{mechanic:sandstorm} when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, [Drizzle]{ability:drizzle}, [Drought]{ability:drought}, or [Snow Warning]{ability:snow-warning} are sent out at the same time, the abilities will activate in order of [Speed]{mechanic:speed}, respecting [Trick Room]{move:trick-room}.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",Summons a [sandstorm]{mechanic:sandstorm} that lasts indefinitely upon entering battle.
46,9,"Moves targetting this Pokémon use one extra [PP]{mechanic:pp}.

This ability stacks if multiple targets have it.  This ability still affects moves that fail or miss.  This ability does not affect ally moves that target either the entire field or just its side, nor this Pokémon's self-targetted moves; it does, however, affect single-targetted ally moves aimed at this Pokémon, ally moves that target all other Pokémon, and opponents' moves that target the entire field.  If this ability raises a move's PP cost above its remaining PP, it will use all remaining PP.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",Increases the [PP]{mechanic:pp} cost of moves targetting the Pokémon by one.
47,9,This Pokémon takes half as much damage from [Fire]{type:fire}- and [Ice]{type:ice}-type moves.,Halves damage from [Fire]{type:fire} and [Ice]{type:ice} moves.
48,9,"This Pokémon awakens from [sleep]{mechanic:sleep} in half as many turns, rounded down.

When one-turn sleep is lowered to zero turns, the Pokémon still falls asleep, but wakes up at its first opportunity.",Halves the duration of [sleep]{mechanic:sleep}.
49,9,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being [burned]{mechanic:burn}.

Overworld: If any Pokémon in the party has this ability, each egg in the party has its [hatch counter]{mechanic:hatch counter} decreased by 2 (rather than 1) each [step cycle]{mechanic:step cycle}, making eggs hatch roughly twice as quickly.  This effect does not stack if multiple Pokémon have this ability or [Magma Armor]{ability:magma-armor}.",Has a 30% chance of [burning]{mechanic:burn} attacking Pokémon on contact.
50,9,"This Pokémon is always successful fleeing from wild battles, even if [trapped]{mechanic:trapped} by a move or ability.",Ensures success fleeing from wild battles.
51,9,"This Pokémon cannot have its [accuracy]{mechanic:accuracy} [lowered]{mechanic:stat modifier}.

This ability does not prevent any accuracy losses other than [stat modifiers]{mechanic:stat modifiers}, such as the accuracy cut from [fog]{mechanic:fog}; nor does it prevent other Pokémon's [evasion]{mechanic:evasion} from making this Pokémon's moves less accurate.  This Pokémon can still be passed negative accuracy modifiers through [Heart Swap]{move:heart-swap}.

Overworld: If the lead Pokémon has this ability, lower-levelled Pokémon have their encounter rate increased.",Prevents [accuracy]{mechanic:accuracy} from being [lowered]{mechanic:stat modifier}.
52,9,"This Pokémon cannot have its [Attack]{mechanic:attack} [lowered]{mechanic:stat modifier} by other Pokémon.

This ability does not prevent any Attack losses other than [stat modifiers]{mechanic:stat modifiers}, such as the Attack cut from a [burn]{mechanic:burn}; nor self-inflicted Attack drops, such as the Attack drop from [Superpower]{move:superpower}; nor opponent-triggered Attack boosts, such as the Attack boost from [Swagger]{move:swagger}.  This Pokémon can still be passed negative Attack modifiers through [Heart Swap]{move:heart-swap} or [Power Swap]{move:power-swap}.

Overworld: In Pokémon Emerald, if any Pokémon in the party has this ability, [Cut]{move:cut}'s radius for cutting grass is doubled.  (After Generation III, Cut can no longer cut down tall grass.)",Prevents [Attack]{mechanic:attack} from being [lowered]{mechanic:stat modifiers} by other Pokémon.
53,9,"At the end of each turn, if another Pokémon consumed or [Flung]{move:fling} a held item that turn, this Pokémon picks up the item if it is not already holding one.  After each battle, this Pokémon has a 10% chance of picking up an item if it is not already holding one.

The [Air Balloon]{item:air-balloon} and [Eject Button]{item:eject-button} cannot be picked up.

The items that may be found vary by game, and, since Pokémon Emerald, by the Pokémon's level.  This ability is checked after the battle ends, at which point any temporary ability changes have worn off.",Picks up other Pokémon's used and [Flung]{move:fling} held items.  May also pick up an item after battle.
54,9,"Every second turn on which this Pokémon should attempt to use a move, it will instead do nothing (""loaf around"").

Loafing around interrupts moves that take multiple turns the same way [paralysis]{mechanic:paralysis}, [flinching]{mechanic:flinching}, etc do.  Most such moves, for example [Bide]{move:bide} or [Rollout]{move:rollout}, are simply cut off upon loafing around.  Attacks with a recharge turn, such as [Hyper Beam]{move:hyper-beam}, do not have to recharge; attacks with a preparation turn, such as [Fly]{move:fly}, do not end up being used.  Moves that are forced over multiple turns and keep going through failure, such as [Outrage]{move:outrage}, [Uproar]{move:uproar}, or any move forced by [Encore]{move:encore}, keep going as usual.

If this Pokémon is [confused]{mechanic:confusion}, its confusion is not checked when loafing around; the Pokémon cannot hurt itself, and its confusion does not end or come closer to ending.

If this Pokémon attempts to move but fails, e.g. because of [paralysis]{mechanic:paralysis} or [Gravity]{move:gravity}, it still counts as having moved and will loaf around the next turn.  If it does not attempt to move, e.g. because it is [asleep]{mechanic:sleep} or [frozen]{mechanic:freezing}, whatever it would have done will be postponed until its next attempt; that is, it will either loaf around or move as usual, depending on what it last did.

This ability cannot be changed with [Worry Seed]{move:worry-seed}, but it can be disabled with [Gastro Acid]{move:gastro-acid}, changed with [Role Play]{move:role-play}, or traded away with [Skill Swap]{move:skill-swap}.",Skips every second turn.
55,9,"This Pokémon's physical moves do 1.5× as much [regular damage]{mechanic:regular damage}, but have 0.8× their usual [accuracy]{mechanic:accuracy}.

Special moves are unaffected.  Moves that do set damage, such as [Seismic Toss]{move:seismic-toss}, have their accuracy affected, but not their damage.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.","Strengthens physical moves to inflict 1.5× damage, but decreases their [accuracy]{mechanic:accuracy} to 0.8×."
56,9,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being [infatuated]{mechanic:infatuation}.

Overworld: If the lead Pokémon has this ability, any wild Pokémon whose species can be either gender has an increased chance of being the opposite gender.",Has a 30% chance of [infatuating]{mechanic:infatuation} attacking Pokémon on contact.
57,9,"This Pokémon has 1.5× its [Special Attack]{mechanic:special attack} if any friendly Pokémon has [Minus]{ability:minus}.

This bonus does not count as a [stat modifier]{mechanic:stat modifier}.  If either ability is disabled by [Gastro Acid]{move:gastro-acid}, both lose their effect.",Increases [Special Attack]{mechanic:special attack} to 1.5× when a friendly Pokémon has [Minus]{ability:minus}.
58,9,"This Pokémon has 1.5× its [Special Attack]{mechanic:special attack} if any friendly Pokémon has [Plus]{ability:plus}.

This bonus does not count as a [stat modifier]{mechanic:stat modifier}.  If either ability is disabled by [Gastro Acid]{move:gastro-acid}, both lose their effect.",Increases [Special Attack]{mechanic:special attack} to 1.5× when a friendly Pokémon has [Plus]{ability:plus}.
59,9,"During [rain]{mechanic:rain}, [strong sunlight]{mechanic:strong sunlight}, or [hail]{mechanic:hail}, this Pokémon's type changes to [Water]{type:water}, [Fire]{type:fire}, or [Ice]{type:ice}, respectively, and its form changes to match.

This ability has no effect for any Pokémon other than [Castform]{pokemon:castform}.

If the [weather]{mechanic:weather} ends or becomes anything that does not trigger this ability, or a Pokémon with [Air Lock]{ability:air-lock} or [Cloud Nine]{ability:cloud-nine} enters battle, this Pokémon's type and form revert to their default.  If this ability is lost or disabled, this Pokémon cannot change its current type and form until it regains its ability.",Changes [Castform]{pokemon:castform}'s type and form to match the [weather]{mechanic:weather}.
60,9,"This Pokémon's hold item cannot be removed by other Pokémon.

Damaging moves that would remove this Pokémon's item can still inflict damage against this Pokémon, e.g. [Knock Off]{move:knock-off} or [Pluck]{move:pluck}.  This Pokémon can still use moves that involve the loss of its own item, e.g. [Fling]{move:fling} or [Trick]{move:trick}.

Overworld: If the lead Pokémon has this ability, the encounter rate while fishing is increased.",Prevents a held item from being removed by other Pokémon.
61,9,"After each turn, this Pokémon has a 30% of being cured of any [major status ailment]{mechanic:major status ailment}.",Has a 30% chance of curing any [major status ailment]{mechanic:major status ailment} after each turn.
62,9,"Whenever this Pokémon is [asleep]{mechanic:sleep}, [burned]{mechanic:burn}, [paralyzed]{mechanic:paralysis}, or [poisoned]{mechanic:poison}, it has 1.5× its [Attack]{mechanic:attack}.  This Pokémon is not affected by the usual Attack cut from a burn.

This bonus does not count as a [stat modifier]{mechanic:stat modifier}.",Increases [Attack]{mechanic:attack} to 1.5× with a [major status ailment]{mechanic:major status ailment}.
63,9,"Whenever this Pokémon has a [major status ailment]{mechanic:major status ailment}, it has 1.5× its [Defense]{mechanic:defense}.

This bonus does not count as a [stat modifier]{mechanic:stat modifier}.",Increases [Defense]{mechanic:defense} to 1.5× with a [major status ailment]{mechanic:major status ailment}.
64,9,"Whenever a Pokémon would heal after hitting this Pokémon with a leeching move like [Absorb]{move:absorb}, it instead loses as many [HP]{mechanic:hp} as it would usually gain.

[Dream Eater]{move:dream-eater} is unaffected.",Damages opponents using leeching moves for as much as they would heal.
65,9,"When this Pokémon has 1/3 or less of its [HP]{mechanic:hp} remaining, its [Grass]{type:grass}-type moves inflict 1.5× as much [regular damage]{mechanic:regular damage}.",Strengthens [Grass]{type:grass} moves to inflict 1.5× damage at 1/3 max [HP]{mechanic:hp} or less.
66,9,"When this Pokémon has 1/3 or less of its [HP]{mechanic:hp} remaining, its [Fire]{type:fire}-type moves inflict 1.5× as much [regular damage]{mechanic:regular damage}.",Strengthens [Fire]{type:fire} moves to inflict 1.5× damage at 1/3 max [HP]{mechanic:hp} or less.
67,9,"When this Pokémon has 1/3 or less of its [HP]{mechanic:hp} remaining, its [Water]{type:water}-type moves inflict 1.5× as much [regular damage]{mechanic:regular damage}.",Strengthens [Water]{type:water} moves to inflict 1.5× damage at 1/3 max [HP]{mechanic:hp} or less.
68,9,"When this Pokémon has 1/3 or less of its [HP]{mechanic:hp} remaining, its [Bug]{type:bug}-type moves inflict 1.5× as much [regular damage]{mechanic:regular damage}.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is increased.",Strengthens [Bug]{type:bug} moves to inflict 1.5× damage at 1/3 max [HP]{mechanic:hp} or less.
69,9,"This Pokémon does not receive recoil damage from its recoil moves.

[Struggle]{move:struggle}'s recoil is unaffected.  This ability does not prevent crash damage from missing with [Jump Kick]{move:jump-kick} or [Hi Jump Kick]{move:hi-jump-kick}.",Protects against recoil damage.
70,9,"The [weather]{mechanic:weather} changes to [strong sunlight]{mechanic:strong sunlight} when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, [Drizzle]{ability:drizzle}, [Sand Stream]{ability:sand-stream}, or [Snow Warning]{ability:snow-warning} are sent out at the same time, the abilities will activate in order of [Speed]{mechanic:speed}, respecting [Trick Room]{move:trick-room}.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",Summons [strong sunlight]{mechanic:strong sunlight} that lasts indefinitely upon entering battle.
71,9,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.  [Flying]{type:flying}-type Pokémon and Pokémon in the air, e.g. due to [Levitate]{ability:levitate} or [Magnet Rise]{move:magnet-rise}, are unaffected.

Pokémon can still switch out with [Baton Pass]{move:baton-pass}, [U-turn]{move:u-turn}, or a [Shed Shell]{item:shed-shell}.  Pokémon with [Run Away]{ability:run-away} can still flee, but not switch out.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is increased.",Prevents opponents from fleeing or switching out.  Eluded by [Flying]{type:flying}-types and Pokémon in the air.
72,9,"This Pokémon cannot be [asleep]{mechanic:sleep}.

This causes [Rest]{move:rest} to fail altogether.  If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle.

This ability functions identically to [Insomnia]{ability:insomnia} in battle.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",Prevents [sleep]{mechanic:sleep}.
