move_effect_id,local_language_id,short_effect,effect
39,9,Causes a one-hit KO.,"Inflicts damage equal to the target's max [HP]{mechanic:hp}.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.  This move's [accuracy]{mechanic:accuracy} is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will [fail]{mechanic:fail}.

Because this move inflicts a specific and finite amount of damage, [Endure]{move:endure} still prevents the target from fainting.

The effects of [Lock-On]{move:lock-on}, [Mind Reader]{move:mind-reader}, and [No Guard]{ability:no-guard} still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through [Detect]{move:detect} or [Protect]{move:protect}."
40,9,Requires a turn to charge before attacking.,"Inflicts [regular damage]{mechanic:regular damage}.  User's [critical hit]{mechanic:critical hit} rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by [Sleep Talk]{move:sleep-talk}."
41,9,Inflicts damage equal to half the target's HP.,Inflicts [typeless]{mechanic:typeless} damage equal to half the target's remaining [HP]{mechanic:hp}.
42,9,Inflicts 40 points of damage.,Inflicts exactly 40 damage.
43,9,Prevents the target from fleeing and inflicts damage for 2-5 turns.,"Inflicts [regular damage]{mechanic:regular damage}.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the [field]{mechanic:field}, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

[Rapid Spin]{move:rapid-spin} cancels this effect."
44,9,Has an increased chance for a critical hit.,Inflicts [regular damage]{mechanic:regular damage}.  User's [critical hit]{mechanic:critical hit} rate is one level higher when using this move.
45,9,Hits twice in one turn.,Inflicts [regular damage]{mechanic:regular damage}.  Hits twice in one turn.
46,9,"If the user misses, it takes half the damage it would have inflicted in recoil.","Inflicts [regular damage]{mechanic:regular damage}.  If this move misses, is blocked by Protect or Detect, or has no effect, the user takes half the damage it would have inflicted in recoil.  This recoil damage will not exceed half the user's max HP.

This move cannot be used while [Gravity]{move:gravity} is in effect."
47,9,Protects the user's stats from being changed by enemy moves.,"Pokémon on the user's side of the [field]{mechanic:field} are immune to stat-lowering effects for five turns.

[Guard Swap]{move:guard-swap}, [Heart Swap]{move:heart-swap}, and [Power Swap]{move:power-swap} may still be used.

[Defog]{move:defog} used by an opponent will end this effect."
48,9,Increases the user's chance to score a critical hit.,"User's [critical hit]{mechanic:critical hit} rate is two levels higher until it leaves the field.  If the user has already used [Focus Energy]{move:focus-energy} since entering the field, this move will fail.

This effect is passed on by [Baton Pass]{move:baton-pass}."
49,9,User receives 1/4 the damage it inflicts in recoil.,Inflicts [regular damage]{mechanic:regular damage}.  User takes 1/4 the damage it inflicts in recoil.
50,9,Confuses the target.,[Confuse]{mechanic:confuse}s the target.
51,9,Raises the user's Attack by two stages.,Raises the user's [Attack]{mechanic:attack} by two [stages]{mechanic:stage}.
52,9,Raises the user's Defense by two stages.,Raises the user's [Defense]{mechanic:defense} by two [stages]{mechanic:stage}.
53,9,Raises the user's Speed by two stages.,Raises the user's [Speed]{mechanic:speed} by two [stages]{mechanic:stage}.
54,9,Raises the user's Special Attack by two stages.,Raises the user's [Special Attack]{mechanic:special attack} by two [stages]{mechanic:stage}.
55,9,Raises the user's Special Defense by two stages.,Raises the user's [Special Defense]{mechanic:special defense} by two [stages]{mechanic:stage}.
58,9,User becomes a copy of the target until it leaves battle.,"User copies the target's species, weight, type, [ability]{mechanic:ability}, [calculated stats]{mechanic:calculated stats} (except [HP]{mechanic:hp}), and moves.  Copied moves will all have 5 [PP]{mechanic:pp} remaining.  [IV]{mechanic:iv}s are copied for the purposes of [Hidden Power]{move:hidden-power}, but stats are not recalculated.

[Choice Band]{item:choice-band}, [Choice Scarf]{item:choice-scarf}, and [Choice Specs]{item:choice-specs} stay in effect, and the user must select a new move.

This move cannot be copied by [Mirror Move]{move:mirror-move}, nor forced by [Encore]{move:encore}."
59,9,Lowers the target's Attack by two stages.,Lowers the target's [Attack]{mechanic:attack} by two [stages]{mechanic:stage}.
60,9,Lowers the target's Defense by two stages.,Lowers the target's [Defense]{mechanic:defense} by two [stages]{mechanic:stage}.
61,9,Lowers the target's Speed by two stages.,Lowers the target's [Speed]{mechanic:speed} by two [stages]{mechanic:stage}.
63,9,Lowers the target's Special Defense by two stages.,Lowers the target's [Special Defense]{mechanic:special defense} by two [stages]{mechanic:stage}.
66,9,Reduces damage from physical attacks by half.,"Erects a barrier around the user's side of the field that reduces damage from [physical]{mechanic:physical} attacks by half for five turns.  In double battles, the reduction is 1/3.  [Critical hit]{mechanic:critical hit}s are not affected by the barrier.

If the user is holding [Light Clay]{item:light-clay}, the barrier lasts for eight turns.

[Brick Break]{move:brick-break} or [Defog]{move:defog} used by an opponent will destroy the barrier."
67,9,Poisons the target.,[Poisons]{mechanic:poisons} the target.
68,9,Paralyzes the target.,[Paralyzes]{mechanic:paralyzes} the target.
69,9,Has a $effect_chance% chance to lower the target's Attack by one stage.,Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to lower the target's [Attack]{mechanic:attack} by one [stage]{mechanic:stage}.
70,9,Has a $effect_chance% chance to lower the target's Defense by one stage.,Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to lower the target's [Defense]{mechanic:defense} by one [stage]{mechanic:stage}.
71,9,Has a $effect_chance% chance to lower the target's Speed by one stage.,Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to lower the target's [Speed]{mechanic:speed} by one [stage]{mechanic:stage}.
72,9,Has a $effect_chance% chance to lower the target's Special Attack by one stage.,Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to lower the target's [Special Attack]{mechanic:special attack} by one [stage]{mechanic:stage}.
73,9,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to lower the target's [Special Defense]{mechanic:special defense} by one [stage]{mechanic:stage}.
74,9,Has a $effect_chance% chance to lower the target's accuracy by one stage.,Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to lower the target's [accuracy]{mechanic:accuracy} by one [stage]{mechanic:stage}.
76,9,User charges for one turn before attacking.  Has a $effect_chance% chance to make the target flinch.,"Inflicts [regular damage]{mechanic:regular damage}.  User charges for one turn before attacking.  [Critical hit chance]{mechanic:critical hit chance} is one level higher than normal.  Has a $effect_chance% chance to make the target [flinch]{mechanic:flinch}.

This move cannot be selected by [Sleep Talk]{move:sleep-talk}."
77,9,Has a $effect_chance% chance to confuse the target.,Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to [confuse]{mechanic:confuse} the target.
78,9,Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.,Inflicts [regular damage]{mechanic:regular damage}.  Hits twice in the same turn.  Has a $effect_chance% chance to [poison]{mechanic:poison} the target.
79,9,Never misses.,Inflicts [regular damage]{mechanic:regular damage}.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.
80,9,"Transfers 1/4 of the user's max HP into a doll, protecting the user from further damage or status changes until it breaks.","Transfers 1/4 the user's max [HP]{mechanic:hp} into a doll that absorbs damage and causes most negative move effects to fail.  If the user leaves the [field]{mechanic:field}, the doll will vanish.  If the user cannot pay the [HP]{mechanic:hp} cost, this move will fail.

The doll takes damage as normal, using the user's stats and types, and will break when its [HP]{mechanic:hp} reaches zero.  Self-inflicted damage from [confusion]{mechanic:confusion} or recoil is not absorbed.  Healing effects from opponents ignore the doll and heal the user as normal.  Moves that work based on the user's [HP]{mechanic:hp} still do so; the doll's [HP]{mechanic:hp} does not influence any move.

The doll will block [major status effect]{mechanic:major status effect}s, [confusion]{mechanic:confusion}, and [flinch]{mechanic:flinch}ing.  The effects of [Smellingsalt]{move:smellingsalt} and [Wake-up Slap]{move:wake-up-slap} do not trigger against a doll, even if the Pokémon behind the doll has the appropriate [major status effect]{mechanic:major status effect}.  Multi-turn trapping moves like [Wrap]{move:wrap} will hit the doll for their [regular damage]{mechanic:regular damage}, but the multi-turn trapping and damage effects will not activate.

Moves blocked or damage absorbed by the doll do not count as hitting the user or inflicting damage for any effects that respond to such, e.g., [Avalanche]{move:avalanche}, [Counter]{move:counter}, or a [Rowap Berry]{item:rowap-berry}.  [Magic Coat]{move:magic-coat} still works as normal, even against moves the doll would block.  Opposing Pokémon that damage the doll with a leech move like [Absorb]{move:absorb} are healed as normal.

It will also block [Acupressure]{move:acupressure}, [Block]{move:block}, the curse effect of [Curse]{move:curse}, [Dream Eater]{move:dream-eater}, [Embargo]{move:embargo}, [Flatter]{move:flatter}, [Gastro Acid]{move:gastro-acid}, [Grudge]{move:grudge}, [Heal Block]{move:heal-block}, [Leech Seed]{move:leech-seed}, [Lock-On]{move:lock-on}, [Mean Look]{move:mean-look}, [Mimic]{move:mimic}, [Mind Reader]{move:mind-reader}, [Nightmare]{move:nightmare}, [Pain Split]{move:pain-split}, [Psycho Shift]{move:psycho-shift}, [Spider Web]{move:spider-web}, [Sketch]{move:sketch}, [Swagger]{move:swagger}, [Switcheroo]{move:switcheroo}, [Trick]{move:trick}, [Worry Seed]{move:worry-seed}, and [Yawn]{move:yawn}.  A Pokémon affected by [Yawn]{move:yawn} before summoning the doll will still fall to [sleep]{mechanic:sleep}.

The doll blocks [Intimidate]{ability:intimidate}, but all other abilities act as though the doll did not exist.  If the user has an ability that absorbs moves of a certain type for [HP]{mechanic:hp} (such as [Volt Absorb]{ability:volt-absorb} absorbing [Thunder Wave]{move:thunder-wave}), such moves will not be blocked.

[Life Orb]{item:life-orb} and berries that cause [confusion]{mechanic:confusion} still work as normal, but their respective [HP]{mechanic:hp} loss and [confusion]{mechanic:confusion} are absorbed/blocked by the doll.

The user is still vulnerable to damage inflicted when entering or leaving the [field]{mechanic:field}, such as by [Pursuit]{move:pursuit} or [Spikes]{move:spikes}; however, the doll will block the [poison]{mechanic:poison} effect of [Toxic Spikes]{move:toxic-spikes}.

The doll is passed on by [Baton Pass]{move:baton-pass}.  It keeps its existing [HP]{mechanic:hp}, but uses the replacement Pokémon's stats and types for damage calculation.

All other effects work as normal."
81,9,User foregoes its next turn to recharge.,"Inflicts [regular damage]{mechanic:regular damage}.  User loses its next turn to ""recharge"", and cannot attack or [switch]{mechanic:switch} out during that turn."
82,9,"If the user is hit after using this move, its Attack rises by one stage.","Inflicts [regular damage]{mechanic:regular damage}.  Every time the user is hit after it uses this move but before its next action, its [Attack]{mechanic:attack} raises by one [stage]{mechanic:stage}."
83,9,Copies the target's last used move.,"This move is replaced by the target's last successfully used move, and its PP changes to 5.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and [failed]{mechanic:failed}, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.

If [Chatter]{move:chatter}, [Metronome]{move:metronome}, [Mimic]{move:mimic}, [Sketch]{move:sketch}, or [Struggle]{move:struggle} is selected, this move will fail.

This move cannot be copied by [Mirror Move]{move:mirror-move}, nor selected by [Assist]{move:assist} or [Metronome]{move:metronome}, nor forced by [Encore]{move:encore}."
84,9,Randomly selects and uses any move in the game.,"Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, [Assist]{move:assist}, [Chatter]{move:chatter}, [Copycat]{move:copycat}, [Counter]{move:counter}, [Covet]{move:covet}, [Destiny Bond]{move:destiny-bond}, [Detect]{move:detect}, [Endure]{move:endure}, [Feint]{move:feint}, [Focus Punch]{move:focus-punch}, [Follow Me]{move:follow-me}, [Helping Hand]{move:helping-hand}, [Me First]{move:me-first}, [Metronome]{move:metronome}, [Mimic]{move:mimic}, [Mirror Coat]{move:mirror-coat}, [Mirror Move]{move:mirror-move}, [Protect]{move:protect}, [Quick Guard]{move:quick-guard}, [Sketch]{move:sketch}, [Sleep Talk]{move:sleep-talk}, [Snatch]{move:snatch}, [Struggle]{move:struggle}, [Switcheroo]{move:switcheroo}, [Thief]{move:thief}, [Trick]{move:trick}, and [Wide Guard]{move:wide-guard} will not be selected by this move.

This move cannot be copied by [Mimic]{move:mimic} or [Mirror Move]{move:mirror-move}, nor selected by [Assist]{move:assist}, [Metronome]{move:metronome}, or [Sleep Talk]{move:sleep-talk}."
85,9,"Seeds the target, stealing HP from it every turn.","Plants a seed on the target that steals 1/8 of its max [HP]{mechanic:hp} at the end of every turn and heals the user for the amount taken.  Has no effect on [Grass]{type:grass} Pokémon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has [Liquid Ooze]{ability:liquid-ooze}.

[Rapid Spin]{move:rapid-spin} will remove this effect.

This effect is passed on by [Baton Pass]{move:baton-pass}."
86,9,Does nothing.,"Does nothing.

This move cannot be used while [Gravity]{move:gravity} is in effect."
87,9,Disables the target's last used move for 1-8 turns.,"Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the [field]{mechanic:field}.  If the target hasn't used a move since entering the [field]{mechanic:field}, if it tried to use a move this turn and [failed]{mechanic:failed},  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail."
88,9,Inflicts damage equal to the user's level.,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored."
89,9,Inflicts damage between 50% and 150% of the user's level.,"Inflicts [typeless]{mechanic:typeless} damage between 50% and 150% of the user's level, selected at random in increments of 10%."
90,9,Inflicts twice the damage the user received from the last physical hit it took.,"Targets the last opposing Pokémon to hit the user with a [physical]{mechanic:physical} move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will [fail]{mechanic:fail}.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by [Mirror Move]{move:mirror-move}, nor selected by [Assist]{move:assist} or [Metronome]{move:metronome}."
91,9,Forces the target to repeat its last used move every turn for 2 to 6 turns.,"The next 4–8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect, [Struggle]{move:struggle} will be used instead.  This effect ends if the selected move runs out of [PP]{mechanic:pp}.

If the target hasn't used a move since entering the [field]{mechanic:field}, if it tried to use a move this turn and [failed]{mechanic:failed}, if it does not know the selected move, or if the selected move has 0 [PP]{mechanic:pp} remaining, this move will fail.  If the target's last used move was [Encore]{move:encore}, [Mimic]{move:mimic}, [Mirror Move]{move:mirror-move}, [Sketch]{move:sketch}, [Struggle]{move:struggle}, or [Transform]{move:transform}, this move will fail."
92,9,Sets the user's and targets's HP to the average of their current HP.,"Changes the user's and target's remaining [HP]{mechanic:hp} to the average of their current remaining [HP]{mechanic:hp}.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.  This effect does not count as inflicting damage for other moves and effects that respond to damage taken.

This effect fails against a [Substitute]{move:substitute}."
93,9,Has a $effect_chance% chance to make the target flinch.  Only works if the user is sleeping.,Only usable if the user is [sleep]{mechanic:sleep}ing.  Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to make the target flinch.
94,9,Changes the user's type to a random type either resistant or immune to the last move used against it.,"Changes the user's type to a type either resistant or immune to the last damaging move that hit it.  The new type is selected at random and cannot be a type the user already is.  If there is no eligible new type, this move will fail."
95,9,Ensures that the user's next move will hit the target.,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as [Dig]{move:dig} or [Fly]{move:fly}.

If the target uses [Detect]{move:detect} or [Protect]{move:protect} while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by [Baton Pass]{move:baton-pass}."
96,9,Permanently becomes the target's last used move.,"Permanently replaces itself with the target's last used move.  If that move is [Chatter]{move:chatter} or [Struggle]{move:struggle}, this move will fail.

This move cannot be copied by [Mimic]{move:mimic} or [Mirror Move]{move:mirror-move}, nor selected by [Assist]{move:assist} or [Metronome]{move:metronome}, nor forced by [Encore]{move:encore}."
98,9,Randomly uses one of the user's other three moves.  Only works if the user is sleeping.,"Only usable if the user is [sleep]{mechanic:sleep}ing.  Randomly selects and uses one of the user's other three moves.  Use of the selected move requires and costs 0 [PP]{mechanic:pp}.

This move will not select [Assist]{move:assist}, [Bide]{move:bide}, [Bounce]{move:bounce}, [Chatter]{move:chatter}, [Copycat]{move:copycat}, [Dig]{move:dig}, [Dive]{move:dive}, [Fly]{move:fly}, [Focus Punch]{move:focus-punch}, [Me First]{move:me-first}, [Metronome]{move:metronome}, [Mirror Move]{move:mirror-move}, [Shadow Force]{move:shadow-force}, [Skull Bash]{move:skull-bash}, [Sky Attack]{move:sky-attack}, [Sky Drop]{move:sky-drop}, [Sleep Talk]{move:sleep-talk}, [SolarBeam]{move:solarbeam}, [Razor Wind]{move:razor-wind}, or [Uproar]{move:uproar}.

If the selected move requires a recharge turn—i.e., one of [Blast Burn]{move:blast-burn}, [Frenzy Plant]{move:frenzy-plant}, [Giga Impact]{move:giga-impact}, [Hydro Cannon]{move:hydro-cannon}, [Hyper Beam]{move:hyper-beam}, [Roar of Time]{move:roar-of-time}, or [Rock Wrecker]{move:rock-wrecker}—and the user is still [sleep]{mechanic:sleep}ing next turn, then it's forced to use this move again and pay another [PP]{mechanic:pp} for the recharge turn.

This move cannot be copied by [Mirror Move]{move:mirror-move}, nor selected by [Assist]{move:assist}, [Metronome]{move:metronome}, or [Sleep Talk]{move:sleep-talk}."
99,9,"If the user faints this turn, the target automatically will, too.","If the user [faints]{mechanic:faints} before its next move, the Pokémon that [faint]{mechanic:faint}ed it will automatically [faint]{mechanic:faint}.  End-of-turn damage is ignored.

This move cannot be selected by [Assist]{move:assist} or [Metronome]{move:metronome}."
100,9,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.","Inflicts [regular damage]{mechanic:regular damage}.  Power varies inversely with the user's proportional remaining [HP]{mechanic:hp}.

64 * current HP / max HP | Power
-----------------------: | ----:
 0– 1                    |  200
 2– 5                    |  150
 6–12                    |  100
13–21                    |   80
22–42                    |   40
43–64                    |   20
"
101,9,Lowers the PP of the target's last used move by 4.,"Lowers the PP of the target's last used move by 4.  If the target hasn't used a move since entering the [field]{mechanic:field}, if it tried to use a move this turn and [failed]{mechanic:failed}, or if its last used move has 0 PP remaining, this move will fail."
102,9,Cannot lower the target's HP below 1.,Inflicts [regular damage]{mechanic:regular damage}.  Will not reduce the target's [HP]{mechanic:hp} below 1.
103,9,Cures the entire party of major status effects.,Removes [major status effects]{mechanic:major status effects} and [confusion]{mechanic:confusion} from every Pokémon in the user's party.
104,9,Inflicts regular damage with no additional effect.,Inflicts [regular damage]{mechanic:regular damage}.
105,9,"Hits three times, increasing power by 100% with each successful hit.","Inflicts [regular damage]{mechanic:regular damage}.  Hits three times in the same turn.  The second hit has double power, and the third hit has triple power.  Each hit has a separate [accuracy]{mechanic:accuracy} check, and this move stops if a hit misses.

[Skill Link]{ability:skill-link} does not apply."
106,9,Takes the target's item.,"Inflicts [regular damage]{mechanic:regular damage}.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.

Pokémon with [Sticky Hold]{ability:sticky-hold} or [Multitype]{ability:multitype} are immune to the item theft effect.

The target cannot recover its item with [Recycle]{move:recycle}.

This move cannot be selected by [Assist]{move:assist} or [Metronome]{move:metronome}."
107,9,Prevents the target from leaving battle.,"The target cannot [switch out]{mechanic:switch out} normally.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.  This effect ends when the user leaves the [field]{mechanic:field}.

The target may still escape by using [Baton Pass]{move:baton-pass}, [U-turn]{move:u-turn}, or a [Shed Shell]{item:shed-shell}.

Both the user and the target pass on this effect with [Baton Pass]{move:baton-pass}."
