version_group_id,min_level,max_level,slot,item_id,rarity
9,41,50,4,2,10
9,41,50,5,28,10
9,41,50,6,50,10
9,41,50,7,108,5
9,41,50,8,107,3
9,41,50,9,191,1
9,41,50,10,38,1
9,51,60,0,78,30
9,51,60,1,27,10
9,51,60,2,25,10
9,51,60,3,2,10
9,51,60,4,28,10
9,51,60,5,50,10
9,51,60,6,108,10
9,51,60,7,107,5
9,51,60,8,109,3
9,51,60,9,348,1
9,51,60,10,191,1
9,61,70,0,27,30
9,61,70,1,25,10
9,61,70,2,2,10
9,61,70,3,28,10
9,61,70,4,50,10
9,61,70,5,108,10
9,61,70,6,107,10
9,61,70,7,109,5
9,61,70,8,23,3
9,61,70,9,40,1
9,61,70,10,348,1
9,71,80,0,25,30
9,71,80,1,2,10
9,71,80,2,28,10
9,71,80,3,50,10
9,71,80,4,108,10
9,71,80,5,107,10
9,71,80,6,109,10
9,71,80,7,23,5
9,71,80,8,29,3
9,71,80,9,305,1
9,71,80,10,40,1
9,81,90,0,2,30
9,81,90,1,28,10
9,81,90,2,50,10
9,81,90,3,108,10
9,81,90,4,107,10
9,81,90,5,109,10
9,81,90,6,23,10
9,81,90,7,29,5
9,81,90,8,51,3
9,81,90,9,211,1
9,81,90,10,305,1
9,91,100,0,28,30
9,91,100,1,50,10
9,91,100,2,108,10
9,91,100,3,107,10
9,91,100,4,109,10
9,91,100,5,23,10
9,91,100,6,29,10
9,91,100,7,51,5
9,91,100,8,41,3
9,91,100,9,330,1
9,91,100,10,211,1
10,1,10,0,17,30
10,1,10,1,18,10
10,1,10,2,26,10
10,1,10,3,3,10
10,1,10,4,79,10
10,1,10,5,78,10
10,1,10,6,27,10
10,1,10,7,25,5
10,1,10,8,2,3
10,1,10,9,92,1
10,1,10,10,25,1
10,11,20,0,18,30
10,11,20,1,26,10
10,11,20,2,3,10
10,11,20,3,79,10
10,11,20,4,78,10
10,11,20,5,27,10
10,11,20,6,25,10
10,11,20,7,2,5
10,11,20,8,28,3
10,11,20,9,198,1
10,11,20,10,92,1
10,21,30,0,26,30
10,21,30,1,3,10
10,21,30,2,79,10
10,21,30,3,78,10
10,21,30,4,27,10
10,21,30,5,25,10
10,21,30,6,2,10
10,21,30,7,28,5
10,21,30,8,50,3
10,21,30,9,23,1
10,21,30,10,198,1
10,31,40,0,3,30
10,31,40,1,79,10
10,31,40,2,78,10
10,31,40,3,27,10
10,31,40,4,25,10
10,31,40,5,2,10
10,31,40,6,28,10
10,31,40,7,50,5
10,31,40,8,80,3
10,31,40,9,38,1
10,31,40,10,23,1
10,41,50,0,79,30
10,41,50,1,78,10
10,41,50,2,27,10
10,41,50,3,25,10
10,41,50,4,2,10
10,41,50,5,28,10
10,41,50,6,50,10
10,41,50,7,80,5
10,41,50,8,81,3
10,41,50,9,255,1
10,41,50,10,38,1
10,51,60,0,78,30
10,51,60,1,27,10
10,51,60,2,25,10
10,51,60,3,2,10
10,51,60,4,28,10
10,51,60,5,50,10
10,51,60,6,80,10
10,51,60,7,81,5
10,51,60,8,93,3
10,51,60,9,360,1
10,51,60,10,255,1
10,61,70,0,27,30
10,61,70,1,25,10
10,61,70,2,2,10
10,61,70,3,28,10
10,61,70,4,50,10
10,61,70,5,80,10
10,61,70,6,81,10
10,61,70,7,93,5
10,61,70,8,23,3
10,61,70,9,40,1
10,61,70,10,360,1
10,71,80,0,25,30
10,71,80,1,2,10
10,71,80,2,28,10
10,71,80,3,50,10
10,71,80,4,80,10
10,71,80,5,81,10
10,71,80,6,93,10
10,71,80,7,23,5
10,71,80,8,29,3
10,71,80,9,390,1
10,71,80,10,40,1
10,81,90,0,2,30
10,81,90,1,28,10
10,81,90,2,50,10
10,81,90,3,80,10
10,81,90,4,81,10
10,81,90,5,93,10
10,81,90,6,23,10
10,81,90,7,29,5
10,81,90,8,51,3
10,81,90,9,211,1
10,81,90,10,390,1
10,91,100,0,28,30
10,91,100,1,50,10
10,91,100,2,80,10
10,91,100,3,81,10
10,91,100,4,93,10
10,91,100,5,23,10
10,91,100,6,29,10
10,91,100,7,51,5
10,91,100,8,41,3
10,91,100,9,330,1
10,91,100,10,211,1
11,1,10,0,17,30
11,1,10,1,18,10
11,1,10,2,26,10
11,1,10,3,3,10
11,1,10,4,79,10
11,1,10,5,78,10
11,1,10,6,27,10
11,1,10,7,25,4
11,1,10,8,2,4
11,1,10,9,92,1
11,1,10,10,25,1
11,11,20,0,18,30
11,11,20,1,26,10
11,11,20,2,3,10
11,11,20,3,79,10
11,11,20,4,78,10
11,11,20,5,27,10
11,11,20,6,25,10
11,11,20,7,2,4
11,11,20,8,28,4
11,11,20,9,198,1
11,11,20,10,92,1
11,21,30,0,26,30
11,21,30,1,3,10
11,21,30,2,79,10
11,21,30,3,78,10
11,21,30,4,27,10
11,21,30,5,25,10
11,21,30,6,2,10
11,21,30,7,28,4
11,21,30,8,50,4
11,21,30,9,23,1
11,21,30,10,198,1
11,31,40,0,3,30
11,31,40,1,79,10
11,31,40,2,78,10
11,31,40,3,27,10
11,31,40,4,25,10
11,31,40,5,2,10
11,31,40,6,28,10
11,31,40,7,50,4
11,31,40,8,80,4
11,31,40,9,38,1
11,31,40,10,23,1
11,41,50,0,79,30
11,41,50,1,78,10
11,41,50,2,27,10
11,41,50,3,25,10
11,41,50,4,2,10
11,41,50,5,28,10
11,41,50,6,50,10
11,41,50,7,80,4
11,41,50,8,81,4
11,41,50,9,255,1
11,41,50,10,38,1
11,51,60,0,78,30
11,51,60,1,27,10
11,51,60,2,25,10
11,51,60,3,2,10
11,51,60,4,28,10
11,51,60,5,50,10
11,51,60,6,80,10
11,51,60,7,81,4
11,51,60,8,93,4
11,51,60,9,580,1
11,51,60,10,255,1
11,61,70,0,27,30
11,61,70,1,25,10
11,61,70,2,2,10
11,61,70,3,28,10
11,61,70,4,50,10
11,61,70,5,80,10
11,61,70,6,81,10
11,61,70,7,93,4
11,61,70,8,23,4
11,61,70,9,40,1
11,61,70,10,580,1
11,71,80,0,25,30
11,71,80,1,2,10
11,71,80,2,28,10
11,71,80,3,50,10
11,71,80,4,80,10
11,71,80,5,81,10
11,71,80,6,93,10
11,71,80,7,23,4
11,71,80,8,29,4
11,71,80,9,580,1
11,71,80,10,40,1
11,81,90,0,2,30
11,81,90,1,28,10
11,81,90,2,50,10
11,81,90,3,80,10
11,81,90,4,81,10
11,81,90,5,93,10
11,81,90,6,23,10
11,81,90,7,29,4
11,81,90,8,51,4
11,81,90,9,211,1
11,81,90,10,580,1
11,91,100,0,28,30
11,91,100,1,50,10
11,91,100,2,80,10
11,91,100,3,81,10
11,91,100,4,93,10
11,91,100,5,23,10
11,91,100,6,29,10
11,91,100,7,51,4
11,91,100,8,41,4
11,91,100,9,580,1
11,91,100,10,211,1
14,1,10,0,17,30
14,1,10,1,18,10
14,1,10,2,26,10
14,1,10,3,3,10
14,1,10,4,79,10
14,1,10,5,78,10
14,1,10,6,27,10
14,1,10,7,25,4
14,1,10,8,2,4
14,1,10,9,92,1
14,1,10,10,25,1
14,11,20,0,18,30
14,11,20,1,26,10
14,11,20,2,3,10
14,11,20,3,79,10
14,11,20,4,78,10
14,11,20,5,27,10
14,11,20,6,25,10
14,11,20,7,2,4
14,11,20,8,28,4
14,11,20,9,198,1
14,11,20,10,92,1
14,21,30,0,26,30
14,21,30,1,3,10
14,21,30,2,79,10
14,21,30,3,78,10
14,21,30,4,27,10
14,21,30,5,25,10
14,21,30,6,2,10
14,21,30,7,28,4
14,21,30,8,50,4
14,21,30,9,23,1
14,21,30,10,198,1
14,31,40,0,3,30
14,31,40,1,79,10
14,31,40,2,78,10
14,31,40,3,27,10
14,31,40,4,25,10
14,31,40,5,2,10
14,31,40,6,28,10
14,31,40,7,50,4
14,31,40,8,80,4
14,31,40,9,38,1
14,31,40,10,23,1
14,41,50,0,79,30
14,41,50,1,78,10
14,41,50,2,27,10
14,41,50,3,25,10
14,41,50,4,2,10
14,41,50,5,28,10
14,41,50,6,50,10
14,41,50,7,80,4
14,41,50,8,81,4
14,41,50,9,255,1
14,41,50,10,38,1
14,51,60,0,78,30
14,51,60,1,27,10
14,51,60,2,25,10
14,51,60,3,2,10
14,51,60,4,28,10
14,51,60,5,50,10
14,51,60,6,80,10
14,51,60,7,81,4
14,51,60,8,93,4
14,51,60,9,580,1
14,51,60,10,255,1
14,61,70,0,27,30
14,61,70,1,25,10
14,61,70,2,2,10
14,61,70,3,28,10
14,61,70,4,50,10
14,61,70,5,80,10
14,61,70,6,81,10
14,61,70,7,93,4
14,61,70,8,23,4
14,61,70,9,40,1
14,61,70,10,580,1
14,71,80,0,25,30
14,71,80,1,2,10
14,71,80,2,28,10
14,71,80,3,50,10
14,71,80,4,80,10
14,71,80,5,81,10
14,71,80,6,93,10
14,71,80,7,23,4
14,71,80,8,29,4
14,71,80,9,580,1
14,71,80,10,40,1
14,81,90,0,2,30
14,81,90,1,28,10
14,81,90,2,50,10
14,81,90,3,80,10
14,81,90,4,81,10
14,81,90,5,93,10
14,81,90,6,23,10
14,81,90,7,29,4
14,81,90,8,51,4
14,81,90,9,211,1
14,81,90,10,580,1
14,91,100,0,28,30
14,91,100,1,50,10
14,91,100,2,80,10
14,91,100,3,81,10
14,91,100,4,93,10
14,91,100,5,23,10
14,91,100,6,29,10
14,91,100,7,51,4
14,91,100,8,41,4
14,91,100,9,580,1
14,91,100,10,211,1
