item_id,version_group_id,language_id,flavor_text
5,10,9,"A special Poké Ball that is used only in
the Great Marsh. It is decorated in a
camouflage pattern."
5,11,5,"Une Poké Ball spéciale dont l’usage
est réservé au Parc Safari. Elle est
décorée d’un motif camouflage."
5,11,9,"A special Poké Ball that is used only in
the Great Marsh. It is decorated in a
camouflage pattern."
5,14,9,"A special Poké Ball that is used only in
the Great Marsh. It is decorated in a
camouflage pattern."
6,5,9,"A BALL that works
well on WATER- and
BUG-type POKéMON."
6,6,9,"A BALL that works
well on WATER- and
BUG-type POKéMON."
6,7,9,"A somewhat different BALL that
works especially well on WATER- and
BUG-type POKéMON."
6,8,9,"A somewhat different Poké Ball that
works especially well on Water- and
Bug-type Pokémon."
6,9,9,"A somewhat different Poké Ball that
works especially well on Water- and
Bug-type Pokémon."
6,10,9,"A somewhat different Poké Ball that
works especially well on Water- and
Bug-type Pokémon."
6,11,5,"Une Poké Ball un peu spéciale qui
fonctionne particulièrement bien
sur les Pokémon Eau ou Insecte."
6,11,9,"A somewhat different Poké Ball that
works especially well on Water- and
Bug-type Pokémon."
6,14,9,"A somewhat different Poké Ball that
works especially well on Water- and
Bug-type Pokémon."
6,15,9,"A somewhat different Poké ball that
is more effective when attempting
to catch Water- or Bug-type Pokémon."
7,5,9,"A BALL that works
better on POKéMON
on the ocean floor."
7,6,9,"A BALL that works
better on POKéMON
on the ocean floor."
7,7,9,"A somewhat different BALL that
works especially well on POKéMON
deep in the sea."
7,8,9,"A somewhat different Poké Ball that
works especially well on Pokémon that
live in the sea."
7,9,9,"A somewhat different Poké Ball that
works especially well on Pokémon that
live in the sea."
7,10,9,"A somewhat different Poké Ball that
works especially well on Pokémon that
live in the sea."
7,11,5,"Une Poké Ball un peu spéciale qui
fonctionne particulièrement bien
sur les Pokémon sous-marins."
7,11,9,"A somewhat different Poké Ball that
works especially well on Pokémon that
live underwater."
7,14,9,"A somewhat different Poké Ball that
works especially well on Pokémon that
live underwater."
7,15,9,"A somewhat different Poké Ball that
works especially well when catching
Pokémon that live underwater."
8,5,9,"A BALL that works
better on weaker
POKéMON."
8,6,9,"A BALL that works
better on weaker
POKéMON."
8,7,9,"A somewhat different BALL that
works especially well on weaker
POKéMON."
8,8,9,"A somewhat different Poké Ball that
works especially well on weaker
Pokémon in the wild."
8,9,9,"A somewhat different Poké Ball that
works especially well on weaker
Pokémon in the wild."
8,10,9,"A somewhat different Poké Ball that
works especially well on weaker
Pokémon in the wild."
8,11,5,"Une Poké Ball un peu spéciale qui
fonctionne particulièrement bien
sur les Pokémon les plus faibles."
8,11,9,"A somewhat different Poké Ball that
works especially well on weaker
Pokémon in the wild."
8,14,9,"A somewhat different Poké Ball that
works especially well on weaker
Pokémon in the wild."
8,15,9,"A somewhat different Poké Ball that
becomes more effective the lower
the level of the wild Pokémon."
9,5,9,"A BALL that works
better on POKéMON
caught before."
9,6,9,"A BALL that works
better on POKéMON
caught before."
9,7,9,"A somewhat different BALL that
works especially well on POKéMON
caught before."
9,8,9,"A somewhat different Poké Ball that
works especially well on Pokémon
species that were previously caught."
9,9,9,"A somewhat different Poké Ball that
works especially well on Pokémon
species that were previously caught."
9,10,9,"A somewhat different Poké Ball that
works especially well on Pokémon
species that were previously caught."
9,11,5,"Une Poké Ball un peu spéciale qui
fonctionne particulièrement bien sur
les espèces de Pokémon déjà capturées."
9,11,9,"A somewhat different Poké Ball that
works especially well on Pokémon
species that were previously caught."
9,14,9,"A somewhat different Poké Ball that
works especially well on Pokémon
species that were previously caught."
9,15,9,"A somewhat different Poké Ball that
works especially well on a Pokémon
species that has been caught before."
10,5,9,"More effective as
more turns are
taken in battle."
10,6,9,"A BALL that gains
power in battles
taking many turns."
10,7,9,"A somewhat different BALL that
becomes progressively better the
more turns there are in a battle."
10,8,9,"A somewhat different Ball that
becomes progressively better the
more turns there are in a battle."
10,9,9,"A somewhat different Ball that
becomes progressively better the
more turns there are in a battle."
10,10,9,"A somewhat different Ball that
becomes progressively better the
more turns there are in a battle."
10,11,5,"Une Poké Ball un peu spéciale qui
fonctionne de mieux en mieux à
mesure que le combat s’éternise."
10,11,9,"A somewhat different Ball that
becomes progressively better the
more turns there are in a battle."
10,14,9,"A somewhat different Ball that
becomes progressively better the
more turns there are in a battle."
10,15,9,"A somewhat different Poké Ball that
becomes progressively more effective
the more turns that are taken in battle."
11,5,9,"A cozy BALL that
makes POKéMON
more friendly."
11,6,9,"A cozy BALL that
makes POKéMON
more friendly."
11,7,9,"A comfortable BALL that makes a
captured wild POKéMON quickly grow
friendly."
11,8,9,"A comfortable Poké Ball that makes a
caught wild Pokémon quickly grow
friendly."
11,9,9,"A comfortable Poké Ball that makes a
caught wild Pokémon quickly grow
friendly."
11,10,9,"A comfortable Poké Ball that makes a
caught wild Pokémon quickly grow
friendly."
11,11,5,"Une Poké Ball pratique qui permet
de gagner rapidement l’amitié d’un
Pokémon sauvage attrapé."
11,11,9,"A comfortable Poké Ball that makes a
caught wild Pokémon quickly grow
friendly."
11,14,9,"A comfortable Poké Ball that makes a
caught wild Pokémon quickly grow
friendly."
11,15,9,"A particularly comfortable Poké Ball
that makes a wild Pokémon quickly
grow friendlier after being caught."
12,5,9,"A rare BALL made
in commemoration
of some event."
12,6,9,"A rare BALL made
in commemoration
of some event."
12,7,9,"A rare BALL that has been
specially made to commemorate an
event of some sort."
12,8,9,"A somewhat rare Poké Ball that has
been specially made to commemorate
an event of some sort."
12,9,9,"A somewhat rare Poké Ball that has
been specially made to commemorate
an event of some sort."
12,10,9,"A somewhat rare Poké Ball that has
been specially made to commemorate
an event of some sort."
12,11,5,"Une Poké Ball assez rare qui fut créée
pour un événement particulier."
12,11,9,"A somewhat rare Poké Ball that has
been specially made to commemorate
an event of some sort."
12,14,9,"A somewhat rare Poké Ball that has
been specially made to commemorate
an event of some sort."
12,15,9,"A somewhat rare Poké Ball that was
made as a commemorative item used
to celebrate an event of some sort."
13,8,9,"A somewhat different Poké Ball that
makes it easier to catch wild Pokémon
at night or in dark places like caves."
13,9,9,"A somewhat different Poké Ball that
makes it easier to catch wild Pokémon
at night or in dark places like caves."
13,10,9,"A somewhat different Poké Ball that
makes it easier to catch wild Pokémon
at night or in dark places like caves."
13,11,5,"Une Poké Ball efficace pour attraper
les Pokémon de nuit ou dans des
endroits sombres tels que les grottes."
13,11,9,"A somewhat different Poké Ball that
makes it easier to catch wild Pokémon
at night or in dark places like caves."
13,14,9,"A somewhat different Poké Ball that
makes it easier to catch wild Pokémon
at night or in dark places like caves."
13,15,9,"A somewhat different Poké Ball that
makes it easier to catch wild Pokémon
at night or in dark places like caves."
14,8,9,"A remedial Poké Ball that restores the
caught Pokémon’s HP and eliminates
any status problem."
14,9,9,"A remedial Poké Ball that restores the
caught Pokémon’s HP and eliminates
any status problem."
14,10,9,"A remedial Poké Ball that restores the
caught Pokémon’s HP and eliminates
any status problem."
14,11,5,"Une Poké Ball de soin qui rend tous les
PV du Pokémon attrapé et qui soigne
tous les changements de statut."
14,11,9,"A remedial Poké Ball that restores the
caught Pokémon’s HP and eliminates
any status problem."
14,14,9,"A remedial Poké Ball that restores the
caught Pokémon’s HP and eliminates
any status problem."
14,15,9,"A remedial Poké Ball that restores
the HP of a Pokémon caught with it
and eliminates any status conditions."
15,8,9,"A somewhat different Poké Ball that
provides a better catch rate if it is
used at the start of a wild encounter."
15,9,9,"A somewhat different Poké Ball that
provides a better catch rate if it is
used at the start of a wild encounter."
15,10,9,"A somewhat different Poké Ball that
provides a better catch rate if it is
used at the start of a wild encounter."
15,11,5,"Une Poké Ball qui permet d’attraper un
Pokémon sauvage plus facilement si on
l’utilise au début du combat."
15,11,9,"A somewhat different Poké Ball that
provides a better catch rate if it is
used at the start of a wild encounter."
15,14,9,"A somewhat different Poké Ball that
provides a better catch rate if it is
used at the start of a wild encounter."
15,15,9,"A somewhat different Poké Ball that
has a more successful catch rate if
used at the start of a wild encounter."
16,8,9,"A quite rare Poké Ball that has been
specially crafted to commemorate
an occasion of some sort."
16,9,9,"A quite rare Poké Ball that has been
specially crafted to commemorate
an occasion of some sort."
16,10,9,"A quite rare Poké Ball that has been
specially crafted to commemorate
an occasion of some sort."
16,11,5,"Une Poké Ball plutôt rare qui fut créée
pour une occasion spéciale."
16,11,9,"A quite rare Poké Ball that has been
specially crafted to commemorate
an occasion of some sort."
16,14,9,"A quite rare Poké Ball that has been
specially crafted to commemorate
an occasion of some sort."
17,5,9,"Restores the HP of
a POKéMON by
20 points."
17,6,9,"Restores the HP of
a POKéMON by
20 points."
17,7,9,"A spray-type wound medicine.
It restores the HP of one POKéMON
by 20 points."
17,8,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
just 20 points."
17,9,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
just 20 points."
17,10,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
just 20 points."
17,11,5,"Un spray qui soigne les blessures.
Restaure 20 PV à un Pokémon."
17,11,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
just 20 points."
17,14,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
just 20 points."
17,15,9,"A spray-type medicine for treating
wounds. It can be used to restore
20 HP to an injured Pokémon."
18,5,9,"Heals a poisoned
POKéMON."
18,6,9,"Heals a poisoned
POKéMON."
18,7,9,"A spray-type medicine.
It heals one POKéMON from a
poisoning."
18,8,9,"A spray-type medicine.
It lifts the effect of poison from one
Pokémon."
18,9,9,"A spray-type medicine.
It lifts the effect of poison from one
Pokémon."
18,10,9,"A spray-type medicine.
It lifts the effect of poison from one
Pokémon."
18,11,5,"Un médicament sous forme de spray.
Guérit un Pokémon empoisonné."
18,11,9,"A spray-type medicine.
It lifts the effect of poison from one
Pokémon."
18,14,9,"A spray-type medicine.
It lifts the effect of poison from one
Pokémon."
18,15,9,"A spray-type medicine for poisoning.
It can be used once to lift the effects
of being poisoned from a Pokémon."
19,5,9,"Heals POKéMON
of a burn."
19,6,9,"Heals POKéMON
of a burn."
19,7,9,"A spray-type medicine.
It heals one POKéMON of a burn."
19,8,9,"A spray-type medicine.
It heals a single Pokémon that is
suffering from a burn."
19,9,9,"A spray-type medicine.
It heals a single Pokémon that is
suffering from a burn."
19,10,9,"A spray-type medicine.
It heals a single Pokémon that is
suffering from a burn."
19,11,5,"Un médicament sous forme de spray.
Soigne les brûlures d’un Pokémon."
19,11,9,"A spray-type medicine.
It heals a single Pokémon that is
suffering from a burn."
19,14,9,"A spray-type medicine.
It heals a single Pokémon that is
suffering from a burn."
19,15,9,"A spray-type medicine for treating
burns. It can be used once to heal
a Pokémon suffering from a burn."
20,5,9,"Defrosts a frozen
POKéMON."
20,6,9,"Defrosts a frozen
POKéMON."
20,7,9,"A spray-type medicine.
It defrosts a frozen POKéMON."
20,8,9,"A spray-type medicine.
It defrosts a Pokémon that has been
frozen solid."
20,9,9,"A spray-type medicine.
It defrosts a Pokémon that has been
frozen solid."
20,10,9,"A spray-type medicine.
It defrosts a Pokémon that has been
frozen solid."
20,11,5,"Un médicament sous forme de spray.
Réchauffe un Pokémon gelé."
20,11,9,"A spray-type medicine.
It defrosts a Pokémon that has been
frozen solid."
20,14,9,"A spray-type medicine.
It defrosts a Pokémon that has been
frozen solid."
20,15,9,"A spray-type medicine for freezing.
It can be used once to defrost a
Pokémon that has been frozen solid."
21,5,9,"Awakens a sleeping
POKéMON."
21,6,9,"Awakens a sleeping
POKéMON."
21,7,9,"A spray-type medicine.
It awakens a sleeping POKéMON."
21,8,9,"A spray-type medicine.
It awakens a Pokémon from the
clutches of sleep."
21,9,9,"A spray-type medicine.
It awakens a Pokémon from the
clutches of sleep."
21,10,9,"A spray-type medicine.
It awakens a Pokémon from the
clutches of sleep."
21,11,5,"Un médicament sous forme de spray.
Réveille un Pokémon endormi."
21,11,9,"A spray-type medicine.
It awakens a Pokémon from the
clutches of sleep."
21,14,9,"A spray-type medicine.
It awakens a Pokémon from the
clutches of sleep."
21,15,9,"A spray-type medicine used against
sleep. It can be used once to rouse a 
Pokémon from the clutches of sleep."
22,5,9,"Heals a paralyzed
POKéMON."
22,6,9,"Heals a paralyzed
POKéMON."
22,7,9,"A spray-type medicine.
It heals one POKéMON from
paralysis."
22,8,9,"A spray-type medicine.
It eliminates paralysis from a single
Pokémon."
22,9,9,"A spray-type medicine.
It eliminates paralysis from a single
Pokémon."
22,10,9,"A spray-type medicine.
It eliminates paralysis from a single
Pokémon."
22,11,5,"Un médicament sous forme de spray.
Soigne un Pokémon de la paralysie."
22,11,9,"A spray-type medicine.
It eliminates paralysis from a single
Pokémon."
22,14,9,"A spray-type medicine.
It eliminates paralysis from a single
Pokémon."
22,15,9,"A spray-type medicine for paralysis.
It can be used once to free a
Pokémon that has been paralyzed."
23,5,9,"Fully restores the
HP and status of a
POKéMON."
23,6,9,"Fully restores the
HP and status of a
POKéMON."
23,7,9,"A medicine that fully restores the
HP and heals any status problems
of one POKéMON."
23,8,9,"A medicine that fully restores the HP
and heals any status problems of a
single Pokémon."
23,9,9,"A medicine that fully restores the HP
and heals any status problems of a
single Pokémon."
23,10,9,"A medicine that fully restores the HP
and heals any status problems of a
single Pokémon."
23,11,5,"Un médicament qui restaure tous les
PV d’un Pokémon et soigne tous ses
problèmes de statut."
23,11,9,"A medicine that fully restores the HP
and heals any status problems of a
single Pokémon."
23,14,9,"A medicine that fully restores the HP
and heals any status problems of a
single Pokémon."
23,15,9,"A medicine that can be used to fully
restore the HP of a single Pokémon
and heal any status conditions it has."
24,5,9,"Fully restores the
HP of a POKéMON."
24,6,9,"Fully restores the
HP of a POKéMON."
24,7,9,"A spray-type wound medicine.
It fully restores the HP of one
POKéMON."
24,8,9,"A spray-type medicine for wounds.
It completely restores the HP of a
single Pokémon."
24,9,9,"A spray-type medicine for wounds.
It completely restores the HP of a
single Pokémon."
24,10,9,"A spray-type medicine for wounds.
It completely restores the HP of a
single Pokémon."
24,11,5,"Un spray qui soigne les blessures.
Restaure tous les PV d’un Pokémon."
24,11,9,"A spray-type medicine for wounds.
It completely restores the HP of a
single Pokémon."
24,14,9,"A spray-type medicine for wounds.
It completely restores the HP of a
single Pokémon."
24,15,9,"A spray-type medicine for treating
wounds. It will completely restore
the max HP of a single Pokémon."
25,5,9,"Restores the HP of
a POKéMON by
200 points."
25,6,9,"Restores the HP of
a POKéMON by
200 points."
25,7,9,"A spray-type wound medicine.
It restores the HP of one POKéMON
by 200 points."
25,8,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
200 points."
25,9,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
200 points."
25,10,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
200 points."
25,11,5,"Un spray qui soigne les blessures.
Restaure 200 PV à un Pokémon."
25,11,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
200 points."
25,14,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
200 points."
25,15,9,"A spray-type medicine for treating
wounds. It can be used to restore
200 HP to an injured Pokémon."
26,5,9,"Restores the HP of
a POKéMON by
50 points."
26,6,9,"Restores the HP of
a POKéMON by
50 points."
26,7,9,"A spray-type wound medicine.
It restores the HP of one POKéMON
by 50 points."
26,8,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
50 points."
26,9,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
50 points."
26,10,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
50 points."
26,11,5,"Un spray qui soigne les blessures.
Restaure 50 PV à un Pokémon."
26,11,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
50 points."
26,14,9,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
50 points."
26,15,9,"A spray-type medicine for treating
wounds. It can be used to restore
50 HP to an injured Pokémon."
27,5,9,"Heals all the status
problems of one
POKéMON."
27,6,9,"Heals all the
status problems of
one POKéMON."
27,7,9,"A spray-type medicine.
It heals all the status problems of
one POKéMON."
27,8,9,"A spray-type medicine.
It heals all the status problems of a
single Pokémon."
27,9,9,"A spray-type medicine.
It heals all the status problems of a
single Pokémon."
27,10,9,"A spray-type medicine.
It heals all the status problems of a
single Pokémon."
27,11,5,"Un médicament sous forme de spray.
Soigne tous les problèmes de statut
d’un Pokémon."
27,11,9,"A spray-type medicine.
It heals all the status problems of a
single Pokémon."
27,14,9,"A spray-type medicine.
It heals all the status problems of a
single Pokémon."
27,15,9,"A spray-type medicine that is broadly
effective. It can be used once to heal
all the status conditions of a Pokémon."
28,5,9,"Revives a fainted
POKéMON with half
its HP."
28,6,9,"Revives a fainted
POKéMON with half
its HP."
28,7,9,"A medicine that revives a fainted
POKéMON, restoring HP by half the
maximum amount."
28,8,9,"A medicine that revives a fainted
Pokémon. It restores half the
Pokémon’s maximum HP."
28,9,9,"A medicine that revives a fainted
Pokémon. It restores half the
Pokémon’s maximum HP."
28,10,9,"A medicine that revives a fainted
Pokémon. It restores half the
Pokémon’s maximum HP."
28,11,5,"Un médicament qui ranime un Pokémon
K.O. et restaure la moitié de ses PV
max."
28,11,9,"A medicine that revives a fainted
Pokémon. It restores half the
Pokémon’s maximum HP."
28,14,9,"A medicine that revives a fainted
Pokémon. It restores half the
Pokémon’s maximum HP."
28,15,9,"A medicine that can revive fainted
Pokémon. It also restores half of
a fainted Pokémon's maximum HP."
29,5,9,"Revives a fainted
POKéMON with all
its HP."
29,6,9,"Revives a fainted
POKéMON with all
its HP."
29,7,9,"A medicine that revives a fainted
POKéMON, restoring HP fully."
29,8,9,"A medicine that revives a fainted
Pokémon. It fully restores the
Pokémon’s HP."
29,9,9,"A medicine that revives a fainted
Pokémon. It fully restores the
Pokémon’s HP."
29,10,9,"A medicine that revives a fainted
Pokémon. It fully restores the
Pokémon’s HP."
29,11,5,"Un médicament qui ranime un Pokémon
K.O. et restaure tous ses PV."
29,11,9,"A medicine that revives a fainted
Pokémon. It fully restores the
Pokémon’s HP."
29,14,9,"A medicine that revives a fainted
Pokémon. It fully restores the
Pokémon’s HP."
29,15,9,"A medicine that can revive fainted
Pokémon. It also fully restores a 
fainted Pokémon's maximum HP."
30,5,9,"A mineral water
that restores HP
by 50 points."
30,6,9,"A mineral water
that restores HP
by 50 points."
30,7,9,"Water with a high mineral content.
It restores the HP of one POKéMON
by 50 points."
30,8,9,"Water with a high mineral content.
It restores the HP of one Pokémon by
50 points."
30,9,9,"Water with a high mineral content.
It restores the HP of one Pokémon by
50 points."
30,10,9,"Water with a high mineral content.
It restores the HP of one Pokémon by
50 points."
30,11,5,"Une eau riche en minéraux.
Restaure 50 PV à un Pokémon."
30,11,9,"Water with a high mineral content.
It restores the HP of one Pokémon by
50 points."
30,14,9,"Water with a high mineral content.
It restores the HP of one Pokémon by
50 points."
31,5,9,"A fizzy soda drink
that restores HP
by 60 points."
31,6,9,"A fizzy soda drink
that restores HP
by 60 points."
31,7,9,"A fizzy soda drink.
It restores the HP of one POKéMON
by 60 points."
31,8,9,"A fizzy soda drink.
It restores the HP of one Pokémon by
60 points."
31,9,9,"A fizzy soda drink.
It restores the HP of one Pokémon by
60 points."
31,10,9,"A fizzy soda drink.
It restores the HP of one Pokémon by
60 points."
31,11,5,"Une boisson pétillante.
Restaure 60 PV à un Pokémon."
31,11,9,"A fizzy soda drink.
It restores the HP of one Pokémon by
60 points."
31,14,9,"A fizzy soda drink.
It restores the HP of one Pokémon by
60 points."
31,15,9,"A highly carbonated soda drink.
When consumed, it restores
60 HP to an injured Pokémon."
32,5,9,"A very sweet drink
that restores HP
by 80 points."
32,6,9,"A very sweet drink
that restores HP
by 80 points."
32,7,9,"A very sweet drink.
It restores the HP of one POKéMON
by 80 points."
32,8,9,"A very sweet drink.
It restores the HP of one Pokémon by
80 points."
32,9,9,"A very sweet drink.
It restores the HP of one Pokémon by
80 points."
32,10,9,"A very sweet drink.
It restores the HP of one Pokémon by
80 points."
32,11,5,"Une boisson très sucrée.
Restaure 80 PV à un Pokémon."
32,11,9,"A very sweet drink.
It restores the HP of one Pokémon by
80 points."
32,14,9,"A very sweet drink.
It restores the HP of one Pokémon by
80 points."
33,5,9,"A nutritious milk
that restores HP
by 100 points."
33,6,9,"A nutritious milk
that restores HP
by 100 points."
33,7,9,"Highly nutritious milk.
It restores the HP of one POKéMON
by 100 points."
33,8,9,"Milk with a very high nutrition content.
It restores the HP of one Pokémon by
100 points."
33,9,9,"Milk with a very high nutrition content.
It restores the HP of one Pokémon by
100 points."
33,10,9,"Milk with a very high nutrition content.
It restores the HP of one Pokémon by
100 points."
33,11,5,"Un lait très nourrissant.
Restaure 100 PV à un Pokémon."
33,11,9,"Milk with a very high nutrition content.
It restores the HP of one Pokémon by
100 points."
33,14,9,"Milk with a very high nutrition content.
It restores the HP of one Pokémon by
100 points."
33,15,9,"A bottle of highly nutritious milk.
When consumed, it restores
100 HP to an injured Pokémon."
34,5,9,"A bitter powder
that restores HP
by 50 points."
34,6,9,"A bitter powder
that restores HP
by 50 points."
34,7,9,"A very bitter medicine powder.
It restores the HP of one POKéMON
by 50 points."
34,8,9,"A very bitter medicine powder.
It restores the HP of one Pokémon by
50 points."
34,9,9,"A very bitter medicine powder.
It restores the HP of one Pokémon by
50 points."
34,10,9,"A very bitter medicine powder.
It restores the HP of one Pokémon by
50 points."
34,11,5,"Une poudre médicinale très amère.
Restaure 50 PV à un Pokémon."
34,11,9,"A very bitter medicine powder.
It restores the HP of one Pokémon by
50 points."
34,14,9,"A very bitter medicine powder.
It restores the HP of one Pokémon by
50 points."
35,5,9,"A bitter root
that restores HP
by 200 points."
35,6,9,"A bitter root
that restores HP
by 200 points."
35,7,9,"A very bitter root.
It restores the HP of one POKéMON
by 200 points."
35,8,9,"A very bitter root.
It restores the HP of one Pokémon by
200 points."
35,9,9,"A very bitter root.
It restores the HP of one Pokémon by
200 points."
35,10,9,"A very bitter root.
It restores the HP of one Pokémon by
200 points."
35,11,5,"Une racine très amère.
Restaure 200 PV à un Pokémon."
35,11,9,"A very bitter root.
It restores the HP of one Pokémon by
200 points."
35,14,9,"A very bitter root.
It restores the HP of one Pokémon by
200 points."
36,5,9,"A bitter powder
that heals all
status problems."
36,6,9,"A bitter powder
that heals all
status problems."
36,7,9,"A very bitter medicine powder.
It heals all the status problems of
one POKéMON."
36,8,9,"A very bitter medicine powder.
It heals all the status problems of a
single Pokémon."
36,9,9,"A very bitter medicine powder.
It heals all the status problems of a
single Pokémon."
36,10,9,"A very bitter medicine powder.
It heals all the status problems of a
single Pokémon."
36,11,5,"Une poudre médicinale très amère.
Soigne tous les problèmes de statut
d’un Pokémon."
36,11,9,"A very bitter medicine powder.
It heals all the status problems of a
single Pokémon."
36,14,9,"A very bitter medicine powder.
It heals all the status problems of a
single Pokémon."
37,5,9,"A very bitter herb
that revives a
fainted POKéMON."
37,6,9,"A very bitter herb
that revives a
fainted POKéMON."
37,7,9,"A very bitter medicinal herb.
It revives a fainted POKéMON,
restoring HP fully."
37,8,9,"A very bitter medicinal herb.
It revives a fainted Pokémon, fully
restoring its HP."
37,9,9,"A very bitter medicinal herb.
It revives a fainted Pokémon, fully
restoring its HP."
37,10,9,"A very bitter medicinal herb.
It revives a fainted Pokémon, fully
restoring its HP."
37,11,5,"Une herbe médicinale très amère.
Ranime un Pokémon K.O. et restaure
tous ses PV."
37,11,9,"A very bitter medicinal herb.
It revives a fainted Pokémon, fully
restoring its HP."
37,14,9,"A very bitter medicinal herb.
It revives a fainted Pokémon, fully
restoring its HP."
38,5,9,"Restores the PP
of a selected move
by 10."
38,6,9,"Restores the PP
of a selected move
by 10."
38,7,9,"Restores a selected move’s PP by
10 points for one POKéMON."
38,8,9,"It restores the PP of a Pokémon’s
selected move by a maximum of
10 points."
38,9,9,"It restores the PP of a Pokémon’s
selected move by a maximum of
10 points."
38,10,9,"It restores the PP of a Pokémon’s
selected move by a maximum of
10 points."
